"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"IL181","IL18",-0.0821309090909086,0.49672879069045,0.598993028400335,"C1-Ctrl"
"NCR11","NCR1",-0.0808463636363637,0.508534832180672,0.598993028400335,"C1-Ctrl"
"IL.1.alpha1","IL.1.alpha",0.145687272727273,0.509744842956845,0.598993028400335,"C1-Ctrl"
"ANGPT21","ANGPT2",-0.04149,0.514352709169853,0.598993028400335,"C1-Ctrl"
"MUC.161","MUC.16",-0.105024545454546,0.530185614468207,0.609713456638438,"C1-Ctrl"
"KIR3DL11","KIR3DL1",0.0810054545454544,0.58992680569125,0.670040322513518,"C1-Ctrl"
"IL71","IL7",-0.0456699999999994,0.59955778149918,0.672674584121032,"C1-Ctrl"
"HO.11","HO.1",-0.139097272727271,0.707777125247748,0.784524042443287,"C1-Ctrl"
"PTN1","PTN",0.0372118181818181,0.731328260738584,0.800978571285116,"C1-Ctrl"
"IL41","IL4",-0.0518063636363635,0.740777195587173,0.801782376400234,"C1-Ctrl"
"ICOSLG1","ICOSLG",-0.021927272727273,0.839797704780732,0.898388242323574,"C1-Ctrl"
"PGF1","PGF",0.0176309090909079,0.850105147926706,0.898961765623643,"C1-Ctrl"
"TRAIL1","TRAIL",0.0160318181818182,0.867183904360778,0.906601354558996,"C1-Ctrl"
"IL21","IL2",-0.0143372727272724,0.930030875374735,0.961380230724445,"C1-Ctrl"
"IL331","IL33",0.00982363636363642,0.943950042440079,0.964926710049858,"C1-Ctrl"
"ADGRG11","ADGRG1",-0.00570636363636401,0.960475236319656,0.971029909246246,"C1-Ctrl"
"CX3CL11","CX3CL1",-0.0017999999999998,0.98319553538446,0.98319553538446,"C1-Ctrl"
"CXCL132","CXCL13",-4.80073727272727,6.40173476244094e-07,5.88959598144566e-05,"C2-Ctrl"
"EGF2","EGF",-1.02681090909091,2.68765814029075e-05,0.000583543698732308,"C2-Ctrl"
"TNFRSF42","TNFRSF4",-2.06982090909091,3.39456043448539e-05,0.000583543698732308,"C2-Ctrl"
"PDGF.subunit.B2","PDGF.subunit.B",-1.57529181818182,3.54074064324609e-05,0.000583543698732308,"C2-Ctrl"
"TNFRSF92","TNFRSF9",-1.97323363636364,3.69676561717247e-05,0.000583543698732308,"C2-Ctrl"
"IFN.gamma2","IFN.gamma",-4.54735181818182,3.80571977434114e-05,0.000583543698732308,"C2-Ctrl"
"CCL192","CCL19",-1.23312454545455,7.7764418246685e-05,0.000927898031432988,"C2-Ctrl"
"IL152","IL15",-1.23346454545455,8.06867853419989e-05,0.000927898031432988,"C2-Ctrl"
"ANGPT12","ANGPT1",-0.774934545454546,0.000130855302249368,0.00132040753788581,"C2-Ctrl"
"TNF2","TNF",-2.7226,0.000148625929787366,0.00132040753788581,"C2-Ctrl"
