"","Localisation","HumanName","BrainRegion"
"24732","Postsynaptic","TOMM20","Cerebral cortex"
"24747","Postsynaptic","TBC1D17","Cerebral cortex"
"24752","Postsynaptic","FKBP1B","Cerebral cortex"
"24759","Postsynaptic","ATP6V1G1","Cerebral cortex"
"24762","Postsynaptic","APPL2","Cerebral cortex"
"24778","Postsynaptic","HGS","Cerebral cortex"
"24785","Postsynaptic","TPP1","Cerebral cortex"
"24790","Postsynaptic","VTA1","Cerebral cortex"
"24795","Postsynaptic","C3","Cerebral cortex"
"24797","Postsynaptic","GRHPR","Cerebral cortex"
"24798","Postsynaptic","ACP1","Cerebral cortex"
"24800","Postsynaptic","ATXN10","Cerebral cortex"
"24806","Postsynaptic","PGD","Cerebral cortex"
"24808","Postsynaptic","CDK5RAP3","Cerebral cortex"
"24810","Postsynaptic","BLVRB","Cerebral cortex"
"24814","Postsynaptic","SNX9","Cerebral cortex"
"24816","Postsynaptic","AHCY","Cerebral cortex"
"24829","Postsynaptic","PMVK","Cerebral cortex"
"24863","Postsynaptic","CST3","Cerebral cortex"
"24877","Postsynaptic","STX4","Cerebral cortex"
"24880","Postsynaptic","SNX5","Cerebral cortex"
"24892","Postsynaptic","CA1","Cerebral cortex"
"24893","Postsynaptic","AP3B1","Cerebral cortex"
"24897","Postsynaptic","FABP3","Cerebral cortex"
"24901","Postsynaptic","CHMP1A","Cerebral cortex"
"24912","Postsynaptic","FIS1","Cerebral cortex"
"24913","Postsynaptic","EIF2AK2","Cerebral cortex"
"24915","Postsynaptic","GLOD4","Cerebral cortex"
"24917","Postsynaptic","FKBP4","Cerebral cortex"
"24925","Postsynaptic","CMC1","Cerebral cortex"
"24932","Postsynaptic","FGF2","Cerebral cortex"
"24940","Postsynaptic","LGALS8","Cerebral cortex"
"24952","Postsynaptic","SLC9A3R2","Cerebral cortex"
"24954","Postsynaptic","MPO","Cerebral cortex"
"29784","Postsynaptic","DLG4","Frontal lobe"
"29793","Postsynaptic","BAIAP2","Frontal lobe"
"29804","Postsynaptic","CNP","Frontal lobe"
"29805","Postsynaptic","CIT","Frontal lobe"
"29828","Postsynaptic","STXBP1","Frontal lobe"
"29830","Postsynaptic","DNM1","Frontal lobe"
"29832","Postsynaptic","ADD1","Frontal lobe"
"29842","Postsynaptic","IMMT","Frontal lobe"
"29843","Postsynaptic","MAP2","Frontal lobe"
"29848","Postsynaptic","PPP1R9B","Frontal lobe"
"29876","Postsynaptic","AP2B1","Frontal lobe"
"29877","Postsynaptic","MYH9","Frontal lobe"
"29881","Postsynaptic","NFASC","Frontal lobe"
"29883","Postsynaptic","DBN1","Frontal lobe"
"29885","Postsynaptic","WASF1","Frontal lobe"
"29890","Postsynaptic","YWHAQ","Frontal lobe"
"29934","Postsynaptic","BCAN","Frontal lobe"
"29938","Postsynaptic","PRDX2","Frontal lobe"
"29943","Postsynaptic","DCTN1","Frontal lobe"
"29956","Postsynaptic","GIT1","Frontal lobe"
"29957","Postsynaptic","MINK1","Frontal lobe"
"29958","Postsynaptic","DNAJA2","Frontal lobe"
"29962","Postsynaptic","MAPT","Frontal lobe"
"30003","Postsynaptic","ERC2","Frontal lobe"
"30006","Postsynaptic","NCAN","Frontal lobe"
"30010","Postsynaptic","DNM3","Frontal lobe"
"30024","Postsynaptic","PPIB","Frontal lobe"
"30045","Postsynaptic","CHCHD6","Frontal lobe"
"30054","Postsynaptic","DNAJC6","Frontal lobe"
"30056","Postsynaptic","RAB10","Frontal lobe"
"30082","Postsynaptic","PCBP2","Frontal lobe"
"30088","Postsynaptic","CCT5","Frontal lobe"
"30112","Postsynaptic","VSNL1","Frontal lobe"
"30115","Postsynaptic","ENO2","Frontal lobe"
"30118","Postsynaptic","DECR1","Frontal lobe"
"30123","Postsynaptic","CLIP2","Frontal lobe"
