"","Localisation","HumanName","BrainRegion"
"1099","Postsynaptic","FSCN1","Brain"
"1100","Postsynaptic","TUFM","Brain"
"1101","Postsynaptic","ATP1B2","Brain"
"1102","Postsynaptic","CHCHD3","Brain"
"1103","Postsynaptic","VSNL1","Brain"
"1104","Postsynaptic","TCP1","Brain"
"1105","Postsynaptic","PTPRZ1","Brain"
"1106","Postsynaptic","ENO2","Brain"
"1107","Postsynaptic","ADRBK1","Brain"
"1108","Postsynaptic","DLD","Brain"
"1109","Postsynaptic","DECR1","Brain"
"1110","Postsynaptic","DGKB","Brain"
"1111","Postsynaptic","GPM6A","Brain"
"1112","Postsynaptic","MAPRE2","Brain"
"1113","Postsynaptic","TPM1","Brain"
"1114","Postsynaptic","ADGRB3","Brain"
"1115","Postsynaptic","CSNK2A1","Brain"
"1116","Postsynaptic","VIM","Brain"
"1117","Postsynaptic","CYFIP1","Brain"
"1118","Postsynaptic","BIN1","Brain"
"1119","Postsynaptic","CLIP2","Brain"
"1120","Postsynaptic","FBXO41","Brain"
"1121","Postsynaptic","FBXO2","Brain"
"1122","Postsynaptic","CTTN","Brain"
"1123","Postsynaptic","CCT4","Brain"
"1124","Postsynaptic","SNAP91","Brain"
"1125","Postsynaptic","CKAP5","Brain"
"1126","Postsynaptic","KIF5C","Brain"
"1127","Postsynaptic","AAK1","Brain"
"1128","Postsynaptic","ARHGEF2","Brain"
"1129","Postsynaptic","PABPC1","Brain"
"1130","Postsynaptic","OPA1","Brain"
"1131","Postsynaptic","CASK","Brain"
"1132","Postsynaptic","CCT8","Brain"
"1133","Postsynaptic","CTBP1","Brain"
"1134","Postsynaptic","PPP1R9A","Brain"
"1135","Postsynaptic","PKP4","Brain"
"1136","Postsynaptic","NPTN","Brain"
"1137","Postsynaptic","CACNA1E","Brain"
"1138","Postsynaptic","CALM1","Brain"
"1139","Postsynaptic","KIF5B","Brain"
"1140","Postsynaptic","KCNA2","Brain"
"1141","Postsynaptic","SGIP1","Brain"
"1142","Postsynaptic","DNAJB6","Brain"
"1143","Postsynaptic","SLC25A13","Brain"
"1144","Postsynaptic","RPL14","Brain"
"1145","Postsynaptic","MAPRE3","Brain"
"1146","Postsynaptic","DDOST","Brain"
"1147","Postsynaptic","SFXN1","Brain"
"1148","Postsynaptic","SFXN5","Brain"
"1149","Postsynaptic","RPS14","Brain"
"1150","Postsynaptic","RPS3A","Brain"
"1151","Postsynaptic","RPL9","Brain"
"1152","Postsynaptic","MAP4","Brain"
"1153","Postsynaptic","AGAP3","Brain"
"1154","Postsynaptic","RPL30","Brain"
"1155","Postsynaptic","NEBL","Brain"
"1156","Postsynaptic","RPL7","Brain"
"1157","Postsynaptic","IGSF8","Brain"
"1158","Postsynaptic","HSPH1","Brain"
"1159","Postsynaptic","SCAI","Brain"
"1160","Postsynaptic","TUBB4A","Brain"
"1161","Postsynaptic","EFR3B","Brain"
"1162","Postsynaptic","AUH","Brain"
"1163","Postsynaptic","PRDX5","Brain"
"1164","Postsynaptic","04-Sep","Brain"
"1165","Postsynaptic","ATP5H","Brain"
"1166","Postsynaptic","ARPC1A","Brain"
"1167","Postsynaptic","VAPB","Brain"
"1168","Postsynaptic","GPI","Brain"
"1169","Postsynaptic","ATP6V1D","Brain"
"1170","Postsynaptic","OGDH","Brain"
"1171","Postsynaptic","NDUFV1","Brain"
"1172","Postsynaptic","DCTN2","Brain"
"1173","Postsynaptic","CCT7","Brain"
"1174","Postsynaptic","HSPA2","Brain"
"1175","Postsynaptic","PKM","Brain"
"1176","Postsynaptic","DYNC1I1","Brain"
"1177","Postsynaptic","NAPA","Brain"
"1178","Postsynaptic","09-Sep","Brain"
"1179","Postsynaptic","ATP5PO","Brain"
"1180","Postsynaptic","HADHB","Brain"
"1181","Postsynaptic","RPN1","Brain"
"1182","Postsynaptic","SLC17A7","Brain"
"1183","Postsynaptic","ACLY","Brain"
"1184","Postsynaptic","ADAM23","Brain"
"1185","Postsynaptic","ITPR1","Brain"
"1186","Postsynaptic","DYNC1LI1","Brain"
"1187","Postsynaptic","TOMM70A","Brain"
"1188","Postsynaptic","VPS35","Brain"
"1189","Postsynaptic","SND1","Brain"
"1190","Postsynaptic","CCT2","Brain"
"1191","Postsynaptic","NCKIPSD","Brain"
"1192","Postsynaptic","ACSL6","Brain"
"1193","Postsynaptic","PTK2B","Brain"
"1194","Postsynaptic","ATAD3A","Brain"
"1195","Postsynaptic","MAP2K1","Brain"
"1196","Postsynaptic","NDUFA10","Brain"
"1197","Postsynaptic","NDUFV2","Brain"
"1198","Postsynaptic","RALA","Brain"
"1199","Postsynaptic","USMG5","Brain"
"1200","Postsynaptic","CEND1","Brain"
"1201","Postsynaptic","ATP2B1","Brain"
"1202","Postsynaptic","SCCPDH","Brain"
"1203","Postsynaptic","CORO1A","Brain"
"1204","Postsynaptic","DCTN4","Brain"
"1205","Postsynaptic","EIF4A2","Brain"
"1206","Postsynaptic","ROCK2","Brain"
"1207","Postsynaptic","KCNMA1","Brain"
"1208","Postsynaptic","ITSN1","Brain"
"1209","Postsynaptic","CLU","Brain"
"1210","Postsynaptic","FAM81A","Brain"
"1211","Postsynaptic","RAP1A","Brain"
"1212","Postsynaptic","SOGA3","Brain"
"1213","Postsynaptic","HSP90AA1","Brain"
"1214","Postsynaptic","HNRNPK","Brain"
"1215","Postsynaptic","NF1","Brain"
"1216","Postsynaptic","PAK1","Brain"
"1217","Postsynaptic","ADGRB2","Brain"
"1218","Postsynaptic","TRIO","Brain"
"1219","Postsynaptic","ICAM5","Brain"
"1220","Postsynaptic","CCT3","Brain"
"1221","Postsynaptic","NGEF","Brain"
"1222","Postsynaptic","BRSK1","Brain"
