"","Gene_name","LFC_HA_AA","FDR_HA_AA"
"RPL6P10","RPL6P10",NA,NA
"RPL6P11","RPL6P11",NA,NA
"RPL6P12","RPL6P12",NA,NA
"RPL6P13","RPL6P13",NA,NA
"RPL6P14","RPL6P14",NA,NA
"RPL6P15","RPL6P15",NA,NA
"RPL6P16","RPL6P16",NA,NA
"RPL6P17","RPL6P17",NA,NA
"RPL6P18","RPL6P18",NA,NA
"RPL6P19","RPL6P19",NA,NA
"RPL6P2","RPL6P2",NA,NA
"RPL6P20","RPL6P20",NA,NA
"RPL6P21","RPL6P21",NA,NA
"RPL6P22","RPL6P22",NA,NA
"RPL6P23","RPL6P23",NA,NA
"RPL6P24","RPL6P24",NA,NA
"RPL6P25","RPL6P25",NA,NA
"RPL6P26","RPL6P26",NA,NA
"RPL6P27","RPL6P27",NA,NA
"RPL6P28","RPL6P28",NA,NA
"RPL6P29","RPL6P29",NA,NA
"RPL6P3","RPL6P3",NA,NA
"RPL6P30","RPL6P30",NA,NA
"RPL6P4","RPL6P4",NA,NA
"RPL6P5","RPL6P5",NA,NA
"RPL6P6","RPL6P6",NA,NA
"RPL6P7","RPL6P7",NA,NA
"RPL7","RPL7",NA,NA
"RPL7A","RPL7A",NA,NA
"RPL7AP10","RPL7AP10",NA,NA
"RPL7AP11","RPL7AP11",NA,NA
"RPL7AP12","RPL7AP12",NA,NA
"RPL7AP14","RPL7AP14",NA,NA
"RPL7AP15","RPL7AP15",NA,NA
"RPL7AP16","RPL7AP16",NA,NA
"RPL7AP17","RPL7AP17",NA,NA
"RPL7AP19","RPL7AP19",NA,NA
"RPL7AP20","RPL7AP20",NA,NA
"RPL7AP21","RPL7AP21",NA,NA
"RPL7AP22","RPL7AP22",NA,NA
"RPL7AP24","RPL7AP24",NA,NA
"RPL7AP25","RPL7AP25",NA,NA
"RPL7AP26","RPL7AP26",NA,NA
"RPL7AP27","RPL7AP27",NA,NA
"RPL7AP28","RPL7AP28",NA,NA
"RPL7AP29","RPL7AP29",NA,NA
"RPL7AP3","RPL7AP3",NA,NA
"RPL7AP30","RPL7AP30",NA,NA
"RPL7AP31","RPL7AP31",NA,NA
"RPL7AP32","RPL7AP32",NA,NA
"RPL7AP33","RPL7AP33",NA,NA
"RPL7AP34","RPL7AP34",NA,NA
"RPL7AP35","RPL7AP35",NA,NA
"RPL7AP36","RPL7AP36",NA,NA
"RPL7AP37","RPL7AP37",NA,NA
"RPL7AP38","RPL7AP38",NA,NA
"RPL7AP39","RPL7AP39",NA,NA
"RPL7AP4","RPL7AP4",NA,NA
"RPL7AP40","RPL7AP40",NA,NA
"RPL7AP41","RPL7AP41",NA,NA
"RPL7AP42","RPL7AP42",NA,NA
"RPL7AP43","RPL7AP43",NA,NA
"RPL7AP44","RPL7AP44",NA,NA
"RPL7AP45","RPL7AP45",NA,NA
"RPL7AP46","RPL7AP46",NA,NA
"RPL7AP47","RPL7AP47",NA,NA
"RPL7AP48","RPL7AP48",NA,NA
"RPL7AP5","RPL7AP5",NA,NA
"RPL7AP50","RPL7AP50",NA,NA
"RPL7AP51","RPL7AP51",NA,NA
"RPL7AP52","RPL7AP52",NA,NA
"RPL7AP53","RPL7AP53",NA,NA
"RPL7AP54","RPL7AP54",NA,NA
"RPL7AP55","RPL7AP55",NA,NA
"RPL7AP56","RPL7AP56",NA,NA
"RPL7AP57","RPL7AP57",NA,NA
"RPL7AP58","RPL7AP58",NA,NA
"RPL7AP6","RPL7AP6",NA,NA
"RPL7AP60","RPL7AP60",NA,NA
"RPL7AP61","RPL7AP61",NA,NA
"RPL7AP62","RPL7AP62",NA,NA
"RPL7AP63","RPL7AP63",NA,NA
"RPL7AP64","RPL7AP64",NA,NA
"RPL7AP65","RPL7AP65",NA,NA
"RPL7AP66","RPL7AP66",NA,NA
"RPL7AP67","RPL7AP67",NA,NA
"RPL7AP69","RPL7AP69",NA,NA
"RPL7AP7","RPL7AP7",NA,NA
"RPL7AP70","RPL7AP70",NA,NA
"RPL7AP71","RPL7AP71",NA,NA
"RPL7AP72","RPL7AP72",NA,NA
"RPL7AP73","RPL7AP73",NA,NA
"RPL7AP8","RPL7AP8",NA,NA
"RPL7AP9","RPL7AP9",NA,NA
"RPL7L1","RPL7L1",NA,NA
"RPL7L1P1","RPL7L1P1",NA,NA
"RPL7L1P10","RPL7L1P10",NA,NA
"RPL7L1P12","RPL7L1P12",NA,NA
"RPL7L1P2","RPL7L1P2",NA,NA
"RPL7L1P8","RPL7L1P8",NA,NA
"RPL7L1P9","RPL7L1P9",NA,NA
"RPL7P1","RPL7P1",NA,NA
"RPL7P10","RPL7P10",NA,NA
"RPL7P11","RPL7P11",NA,NA
"RPL7P12","RPL7P12",NA,NA
"RPL7P13","RPL7P13",NA,NA
"RPL7P16","RPL7P16",NA,NA
"RPL7P17","RPL7P17",NA,NA
"RPL7P18","RPL7P18",NA,NA
"RPL7P19","RPL7P19",NA,NA
"RPL7P20","RPL7P20",NA,NA
"RPL7P22","RPL7P22",NA,NA
"RPL7P23","RPL7P23",NA,NA
"RPL7P24","RPL7P24",NA,NA
"RPL7P25","RPL7P25",NA,NA
"RPL7P27","RPL7P27",NA,NA
"RPL7P28","RPL7P28",NA,NA
"RPL7P29","RPL7P29",NA,NA
"RPL7P3","RPL7P3",NA,NA
"RPL7P30","RPL7P30",NA,NA
"RPL7P32","RPL7P32",NA,NA
"RPL7P33","RPL7P33",NA,NA
"RPL7P35","RPL7P35",NA,NA
"RPL7P36","RPL7P36",NA,NA
"RPL7P37","RPL7P37",NA,NA
"RPL7P38","RPL7P38",NA,NA
"RPL7P39","RPL7P39",NA,NA
"RPL7P4","RPL7P4",NA,NA
"RPL7P40","RPL7P40",NA,NA
"RPL7P43","RPL7P43",NA,NA
"RPL7P44","RPL7P44",NA,NA
"RPL7P45","RPL7P45",NA,NA
"RPL7P47","RPL7P47",NA,NA
"RPL7P48","RPL7P48",NA,NA
"RPL7P49","RPL7P49",NA,NA
"RPL7P5","RPL7P5",NA,NA
"RPL7P50","RPL7P50",NA,NA
"RPL7P51","RPL7P51",NA,NA
"RPL7P52","RPL7P52",NA,NA
"RPL7P53","RPL7P53",NA,NA
"RPL7P54","RPL7P54",NA,NA
"RPL7P55","RPL7P55",NA,NA
"RPL7P56","RPL7P56",NA,NA
"RPL7P57","RPL7P57",NA,NA
"RPL7P6","RPL7P6",NA,NA
"RPL7P60","RPL7P60",NA,NA
"RPL7P61","RPL7P61",NA,NA
"RPL7P7","RPL7P7",NA,NA
"RPL7P9","RPL7P9",NA,NA
"RPL8","RPL8",NA,NA
"RPL8P2","RPL8P2",NA,NA
"RPL8P3","RPL8P3",NA,NA
"RPL8P4","RPL8P4",NA,NA
"RPL8P5","RPL8P5",NA,NA
"RPL9","RPL9",NA,NA
"RPL9P10","RPL9P10",NA,NA
"RPL9P11","RPL9P11",0.771027102286331,0.0797848817021493
"RPL9P12","RPL9P12",NA,NA
"RPL9P13","RPL9P13",NA,NA
"RPL9P14","RPL9P14",NA,NA
"RPL9P15","RPL9P15",NA,NA
"RPL9P16","RPL9P16",NA,NA
"RPL9P17","RPL9P17",NA,NA
"RPL9P18","RPL9P18",NA,NA
"RPL9P19","RPL9P19",NA,NA
"RPL9P2","RPL9P2",NA,NA
"RPL9P20","RPL9P20",NA,NA
"RPL9P22","RPL9P22",NA,NA
"RPL9P24","RPL9P24",NA,NA
"RPL9P25","RPL9P25",NA,NA
"RPL9P26","RPL9P26",NA,NA
"RPL9P27","RPL9P27",NA,NA
"RPL9P28","RPL9P28",NA,NA
"RPL9P3","RPL9P3",NA,NA
"RPL9P30","RPL9P30",NA,NA
"RPL9P32","RPL9P32",NA,NA
"RPL9P33","RPL9P33",NA,NA
"RPL9P6","RPL9P6",NA,NA
"RPL9P7","RPL9P7",NA,NA
"RPL9P8","RPL9P8",NA,NA
"RPLP0","RPLP0",NA,NA
"RPLP0P10","RPLP0P10",NA,NA
"RPLP0P11","RPLP0P11",NA,NA
"RPLP0P2","RPLP0P2",NA,NA
"RPLP0P3","RPLP0P3",NA,NA
"RPLP0P4","RPLP0P4",NA,NA
"RPLP0P5","RPLP0P5",NA,NA
"RPLP0P6","RPLP0P6",NA,NA
"RPLP0P7","RPLP0P7",NA,NA
"RPLP0P8","RPLP0P8",NA,NA
"RPLP1","RPLP1",NA,NA
"RPLP1P10","RPLP1P10",NA,NA
"RPLP1P13","RPLP1P13",NA,NA
"RPLP1P3","RPLP1P3",NA,NA
"RPLP1P9","RPLP1P9",NA,NA
"RPLP2","RPLP2",NA,NA
"RPLP2P1","RPLP2P1",NA,NA
"RPLP2P4","RPLP2P4",NA,NA
"RPN1","RPN1",NA,NA
"RPN2","RPN2",NA,NA
"RPP14","RPP14",NA,NA
"RPP21","RPP21",NA,NA
"RPP25","RPP25",NA,NA
"RPP25L","RPP25L",NA,NA
"RPP30","RPP30",NA,NA
"RPP38","RPP38",NA,NA
"RPP38-DT","RPP38-DT",NA,NA
"RPP40","RPP40",NA,NA
"RPP40P1","RPP40P1",NA,NA
"RPPH1","RPPH1",NA,NA
"RPPH1-2P","RPPH1-2P",NA,NA
"RPPH1-3P","RPPH1-3P",NA,NA
"RPRD1A","RPRD1A",NA,NA
"RPRD1B","RPRD1B",NA,NA
"RPRD2","RPRD2",NA,NA
"RPRM","RPRM",NA,NA
"RPRML","RPRML",NA,NA
"RPS10","RPS10",NA,NA
"RPS10-NUDT3","RPS10-NUDT3",NA,NA
"RPS10P1","RPS10P1",NA,NA
"RPS10P10","RPS10P10",NA,NA
"RPS10P11","RPS10P11",NA,NA
"RPS10P12","RPS10P12",NA,NA
"RPS10P13","RPS10P13",NA,NA
"RPS10P14","RPS10P14",NA,NA
"RPS10P15","RPS10P15",NA,NA
"RPS10P2","RPS10P2",NA,NA
"RPS10P20","RPS10P20",NA,NA
"RPS10P21","RPS10P21",NA,NA
"RPS10P22","RPS10P22",NA,NA
"RPS10P23","RPS10P23",NA,NA
"RPS10P24","RPS10P24",NA,NA
"RPS10P26","RPS10P26",NA,NA
"RPS10P27","RPS10P27",NA,NA
"RPS10P3","RPS10P3",NA,NA
"RPS10P30","RPS10P30",NA,NA
"RPS10P31","RPS10P31",NA,NA
"RPS10P4","RPS10P4",NA,NA
"RPS10P5","RPS10P5",NA,NA
"RPS10P6","RPS10P6",NA,NA
"RPS10P8","RPS10P8",NA,NA
"RPS10P9","RPS10P9",NA,NA
"RPS11","RPS11",NA,NA
"RPS11P1","RPS11P1",NA,NA
"RPS11P2","RPS11P2",NA,NA
"RPS11P4","RPS11P4",NA,NA
"RPS11P5","RPS11P5",NA,NA
"RPS11P7","RPS11P7",NA,NA
"RPS12","RPS12",NA,NA
"RPS12P10","RPS12P10",NA,NA
"RPS12P12","RPS12P12",NA,NA
"RPS12P13","RPS12P13",NA,NA
"RPS12P15","RPS12P15",NA,NA
"RPS12P17","RPS12P17",NA,NA
"RPS12P18","RPS12P18",NA,NA
"RPS12P2","RPS12P2",NA,NA
"RPS12P20","RPS12P20",NA,NA
"RPS12P24","RPS12P24",NA,NA
"RPS12P25","RPS12P25",NA,NA
"RPS12P28","RPS12P28",NA,NA
"RPS12P29","RPS12P29",NA,NA
"RPS12P31","RPS12P31",NA,NA
"RPS12P5","RPS12P5",NA,NA
"RPS12P6","RPS12P6",NA,NA
"RPS12P7","RPS12P7",NA,NA
"RPS12P9","RPS12P9",NA,NA
"RPS13","RPS13",NA,NA
"RPS13P1","RPS13P1",NA,NA
"RPS13P2","RPS13P2",NA,NA
"RPS13P3","RPS13P3",NA,NA
"RPS13P4","RPS13P4",NA,NA
"RPS13P6","RPS13P6",NA,NA
"RPS13P7","RPS13P7",NA,NA
"RPS13P8","RPS13P8",NA,NA
"RPS14","RPS14",NA,NA
"RPS14P1","RPS14P1",NA,NA
"RPS14P10","RPS14P10",NA,NA
"RPS14P6","RPS14P6",NA,NA
"RPS14P7","RPS14P7",NA,NA
"RPS15","RPS15",NA,NA
"RPS15A","RPS15A",NA,NA
"RPS15AP1","RPS15AP1",NA,NA
"RPS15AP11","RPS15AP11",NA,NA
"RPS15AP12","RPS15AP12",NA,NA
"RPS15AP13","RPS15AP13",NA,NA
"RPS15AP14","RPS15AP14",NA,NA
"RPS15AP15","RPS15AP15",NA,NA
"RPS15AP16","RPS15AP16",NA,NA
"RPS15AP17","RPS15AP17",NA,NA
"RPS15AP18","RPS15AP18",NA,NA
"RPS15AP19","RPS15AP19",NA,NA
"RPS15AP20","RPS15AP20",NA,NA
"RPS15AP21","RPS15AP21",NA,NA
"RPS15AP22","RPS15AP22",NA,NA
"RPS15AP23","RPS15AP23",NA,NA
"RPS15AP24","RPS15AP24",NA,NA
"RPS15AP25","RPS15AP25",NA,NA
"RPS15AP26","RPS15AP26",NA,NA
"RPS15AP27","RPS15AP27",NA,NA
"RPS15AP28","RPS15AP28",NA,NA
"RPS15AP29","RPS15AP29",NA,NA
"RPS15AP3","RPS15AP3",NA,NA
"RPS15AP30","RPS15AP30",NA,NA
"RPS15AP31","RPS15AP31",NA,NA
"RPS15AP32","RPS15AP32",NA,NA
"RPS15AP34","RPS15AP34",NA,NA
"RPS15AP35","RPS15AP35",NA,NA
"RPS15AP36","RPS15AP36",NA,NA
"RPS15AP37","RPS15AP37",NA,NA
"RPS15AP39","RPS15AP39",NA,NA
"RPS15AP4","RPS15AP4",NA,NA
"RPS15AP40","RPS15AP40",NA,NA
"RPS15AP5","RPS15AP5",NA,NA
"RPS15AP6","RPS15AP6",NA,NA
"RPS15AP7","RPS15AP7",NA,NA
"RPS15AP8","RPS15AP8",NA,NA
"RPS15P1","RPS15P1",NA,NA
"RPS15P2","RPS15P2",NA,NA
"RPS15P4","RPS15P4",NA,NA
"RPS15P5","RPS15P5",NA,NA
"RPS15P6","RPS15P6",NA,NA
"RPS15P7","RPS15P7",NA,NA
"RPS15P8","RPS15P8",NA,NA
"RPS15P9","RPS15P9",NA,NA
"RPS16","RPS16",NA,NA
"RPS16P1","RPS16P1",NA,NA
"RPS16P2","RPS16P2",NA,NA
"RPS16P3","RPS16P3",NA,NA
"RPS16P4","RPS16P4",NA,NA
"RPS16P6","RPS16P6",NA,NA
"RPS16P7","RPS16P7",NA,NA
"RPS16P8","RPS16P8",NA,NA
"RPS17","RPS17",NA,NA
"RPS17P1","RPS17P1",NA,NA
"RPS17P10","RPS17P10",NA,NA
"RPS17P11","RPS17P11",NA,NA
"RPS17P12","RPS17P12",NA,NA
"RPS17P13","RPS17P13",NA,NA
"RPS17P15","RPS17P15",NA,NA
"RPS17P16","RPS17P16",NA,NA
"RPS17P17","RPS17P17",NA,NA
"RPS17P2","RPS17P2",NA,NA
"RPS17P3","RPS17P3",NA,NA
"RPS17P5","RPS17P5",NA,NA
"RPS17P6","RPS17P6",NA,NA
"RPS17P7","RPS17P7",NA,NA
"RPS18","RPS18",NA,NA
"RPS18P1","RPS18P1",NA,NA
"RPS18P10","RPS18P10",NA,NA
"RPS18P11","RPS18P11",NA,NA
"RPS18P12","RPS18P12",NA,NA
"RPS18P13","RPS18P13",NA,NA
"RPS18P14","RPS18P14",NA,NA
"RPS18P2","RPS18P2",NA,NA
"RPS18P3","RPS18P3",NA,NA
"RPS18P4","RPS18P4",NA,NA
"RPS18P5","RPS18P5",NA,NA
"RPS18P6","RPS18P6",NA,NA
"RPS18P7","RPS18P7",NA,NA
"RPS18P8","RPS18P8",NA,NA
"RPS19","RPS19",NA,NA
"RPS19BP1","RPS19BP1",NA,NA
"RPS19P1","RPS19P1",NA,NA
"RPS19P2","RPS19P2",NA,NA
"RPS19P5","RPS19P5",NA,NA
"RPS19P6","RPS19P6",NA,NA
"RPS19P7","RPS19P7",NA,NA
"RPS2","RPS2",NA,NA
"RPS20","RPS20",NA,NA
"RPS20P15","RPS20P15",NA,NA
"RPS20P17","RPS20P17",NA,NA
"RPS20P20","RPS20P20",NA,NA
"RPS20P23","RPS20P23",NA,NA
"RPS20P25","RPS20P25",NA,NA
"RPS20P28","RPS20P28",NA,NA
"RPS20P29","RPS20P29",NA,NA
"RPS20P30","RPS20P30",NA,NA
"RPS20P31","RPS20P31",NA,NA
"RPS20P33","RPS20P33",NA,NA
"RPS20P6","RPS20P6",NA,NA
"RPS20P9","RPS20P9",NA,NA
"RPS21","RPS21",NA,NA
"RPS21P1","RPS21P1",NA,NA
"RPS21P5","RPS21P5",NA,NA
"RPS21P6","RPS21P6",NA,NA
"RPS21P7","RPS21P7",NA,NA
"RPS23","RPS23",NA,NA
"RPS23P1","RPS23P1",NA,NA
"RPS23P10","RPS23P10",NA,NA
"RPS23P2","RPS23P2",NA,NA
"RPS23P3","RPS23P3",NA,NA
"RPS23P5","RPS23P5",NA,NA
"RPS23P8","RPS23P8",NA,NA
"RPS23P9","RPS23P9",NA,NA
"RPS24","RPS24",NA,NA
"RPS24P10","RPS24P10",NA,NA
"RPS24P12","RPS24P12",NA,NA
"RPS24P17","RPS24P17",NA,NA
"RPS24P4","RPS24P4",NA,NA
"RPS24P5","RPS24P5",NA,NA
"RPS24P6","RPS24P6",NA,NA
"RPS25","RPS25",NA,NA
"RPS25P10","RPS25P10",NA,NA
"RPS25P3","RPS25P3",NA,NA
"RPS25P7","RPS25P7",NA,NA
"RPS26","RPS26",NA,NA
"RPS26P12","RPS26P12",NA,NA
"RPS26P19","RPS26P19",NA,NA
"RPS26P21","RPS26P21",NA,NA
"RPS26P22","RPS26P22",NA,NA
"RPS26P23","RPS26P23",NA,NA
"RPS26P24","RPS26P24",NA,NA
"RPS26P27","RPS26P27",NA,NA
"RPS26P30","RPS26P30",NA,NA
"RPS26P31","RPS26P31",NA,NA
"RPS26P4","RPS26P4",NA,NA
"RPS26P45","RPS26P45",NA,NA
"RPS26P46","RPS26P46",NA,NA
"RPS26P48","RPS26P48",NA,NA
"RPS26P49","RPS26P49",NA,NA
"RPS26P57","RPS26P57",NA,NA
"RPS26P9","RPS26P9",NA,NA
"RPS27","RPS27",NA,NA
"RPS27A","RPS27A",NA,NA
"RPS27AP1","RPS27AP1",NA,NA
"RPS27AP11","RPS27AP11",NA,NA
"RPS27AP12","RPS27AP12",NA,NA
"RPS27AP14","RPS27AP14",NA,NA
"RPS27AP15","RPS27AP15",NA,NA
"RPS27AP16","RPS27AP16",NA,NA
"RPS27AP18","RPS27AP18",NA,NA
"RPS27AP2","RPS27AP2",NA,NA
"RPS27AP20","RPS27AP20",NA,NA
"RPS27AP3","RPS27AP3",NA,NA
"RPS27AP5","RPS27AP5",NA,NA
"RPS27AP6","RPS27AP6",NA,NA
"RPS27AP8","RPS27AP8",NA,NA
"RPS27AP9","RPS27AP9",NA,NA
"RPS27L","RPS27L",NA,NA
"RPS27P1","RPS27P1",NA,NA
"RPS27P16","RPS27P16",NA,NA
"RPS27P18","RPS27P18",NA,NA
"RPS27P22","RPS27P22",NA,NA
"RPS27P26","RPS27P26",NA,NA
"RPS27P27","RPS27P27",NA,NA
"RPS27P28","RPS27P28",NA,NA
"RPS27P5","RPS27P5",NA,NA
"RPS28","RPS28",NA,NA
"RPS28P2","RPS28P2",NA,NA
"RPS28P5","RPS28P5",NA,NA
"RPS28P8","RPS28P8",NA,NA
"RPS29","RPS29",NA,NA
"RPS29P10","RPS29P10",NA,NA
"RPS29P14","RPS29P14",NA,NA
"RPS29P19","RPS29P19",NA,NA
"RPS29P20","RPS29P20",NA,NA
"RPS29P22","RPS29P22",NA,NA
"RPS29P23","RPS29P23",NA,NA
"RPS29P24","RPS29P24",NA,NA
"RPS29P25","RPS29P25",NA,NA
"RPS29P26","RPS29P26",NA,NA
"RPS29P27","RPS29P27",NA,NA
"RPS29P28","RPS29P28",NA,NA
"RPS29P31","RPS29P31",NA,NA
"RPS29P32","RPS29P32",NA,NA
"RPS29P4","RPS29P4",NA,NA
"RPS29P6","RPS29P6",NA,NA
"RPS2P1","RPS2P1",NA,NA
"RPS2P10","RPS2P10",NA,NA
"RPS2P11","RPS2P11",NA,NA
"RPS2P13","RPS2P13",NA,NA
"RPS2P14","RPS2P14",NA,NA
"RPS2P15","RPS2P15",NA,NA
"RPS2P16","RPS2P16",NA,NA
"RPS2P17","RPS2P17",NA,NA
"RPS2P18","RPS2P18",NA,NA
"RPS2P19","RPS2P19",NA,NA
"RPS2P20","RPS2P20",NA,NA
"RPS2P21","RPS2P21",NA,NA
"RPS2P23","RPS2P23",NA,NA
"RPS2P24","RPS2P24",NA,NA
"RPS2P28","RPS2P28",NA,NA
"RPS2P29","RPS2P29",NA,NA
"RPS2P3","RPS2P3",NA,NA
"RPS2P30","RPS2P30",NA,NA
"RPS2P31","RPS2P31",NA,NA
"RPS2P32","RPS2P32",NA,NA
"RPS2P33","RPS2P33",NA,NA
"RPS2P34","RPS2P34",NA,NA
"RPS2P35","RPS2P35",NA,NA
"RPS2P36","RPS2P36",0.617621658998972,0.0104299359878958
"RPS2P37","RPS2P37",NA,NA
"RPS2P38","RPS2P38",NA,NA
"RPS2P39","RPS2P39",NA,NA
"RPS2P4","RPS2P4",NA,NA
"RPS2P40","RPS2P40",NA,NA
"RPS2P42","RPS2P42",NA,NA
"RPS2P46","RPS2P46",NA,NA
"RPS2P47","RPS2P47",NA,NA
"RPS2P48","RPS2P48",NA,NA
"RPS2P49","RPS2P49",NA,NA
"RPS2P5","RPS2P5",NA,NA
"RPS2P50","RPS2P50",NA,NA
"RPS2P51","RPS2P51",NA,NA
"RPS2P52","RPS2P52",NA,NA
"RPS2P53","RPS2P53",NA,NA
"RPS2P54","RPS2P54",NA,NA
"RPS2P55","RPS2P55",NA,NA
"RPS2P6","RPS2P6",NA,NA
"RPS2P7","RPS2P7",NA,NA
"RPS2P8","RPS2P8",NA,NA
"RPS3","RPS3",NA,NA
"RPS3A","RPS3A",NA,NA
"RPS3AP1","RPS3AP1",NA,NA
"RPS3AP10","RPS3AP10",NA,NA
"RPS3AP11","RPS3AP11",NA,NA
"RPS3AP12","RPS3AP12",NA,NA
"RPS3AP14","RPS3AP14",NA,NA
"RPS3AP15","RPS3AP15",NA,NA
"RPS3AP16","RPS3AP16",NA,NA
"RPS3AP18","RPS3AP18",NA,NA
"RPS3AP19","RPS3AP19",NA,NA
"RPS3AP20","RPS3AP20",NA,NA
"RPS3AP21","RPS3AP21",NA,NA
"RPS3AP22","RPS3AP22",NA,NA
"RPS3AP23","RPS3AP23",NA,NA
"RPS3AP24","RPS3AP24",NA,NA
"RPS3AP25","RPS3AP25",NA,NA
"RPS3AP26","RPS3AP26",NA,NA
"RPS3AP28","RPS3AP28",NA,NA
"RPS3AP29","RPS3AP29",NA,NA
"RPS3AP3","RPS3AP3",NA,NA
"RPS3AP30","RPS3AP30",NA,NA
"RPS3AP31","RPS3AP31",NA,NA
"RPS3AP32","RPS3AP32",NA,NA
"RPS3AP34","RPS3AP34",NA,NA
"RPS3AP35","RPS3AP35",NA,NA
"RPS3AP36","RPS3AP36",NA,NA
"RPS3AP37","RPS3AP37",NA,NA
"RPS3AP38","RPS3AP38",NA,NA
"RPS3AP39","RPS3AP39",NA,NA
"RPS3AP4","RPS3AP4",NA,NA
"RPS3AP40","RPS3AP40",NA,NA
"RPS3AP41","RPS3AP41",NA,NA
"RPS3AP42","RPS3AP42",NA,NA
"RPS3AP43","RPS3AP43",NA,NA
"RPS3AP44","RPS3AP44",NA,NA
"RPS3AP46","RPS3AP46",NA,NA
"RPS3AP47","RPS3AP47",NA,NA
"RPS3AP48","RPS3AP48",NA,NA
"RPS3AP49","RPS3AP49",NA,NA
"RPS3AP5","RPS3AP5",NA,NA
"RPS3AP52","RPS3AP52",NA,NA
"RPS3AP53","RPS3AP53",NA,NA
"RPS3AP6","RPS3AP6",NA,NA
"RPS3AP7","RPS3AP7",NA,NA
"RPS3AP8","RPS3AP8",NA,NA
"RPS3AP9","RPS3AP9",NA,NA
"RPS3P1","RPS3P1",NA,NA
"RPS3P2","RPS3P2",1.07498769144895,0.0517634481805929
"RPS3P3","RPS3P3",NA,NA
"RPS3P4","RPS3P4",NA,NA
"RPS3P5","RPS3P5",NA,NA
"RPS3P6","RPS3P6",NA,NA
"RPS3P7","RPS3P7",NA,NA
"RPS4X","RPS4X",NA,NA
"RPS4XP1","RPS4XP1",NA,NA
"RPS4XP10","RPS4XP10",NA,NA
"RPS4XP11","RPS4XP11",NA,NA
"RPS4XP12","RPS4XP12",NA,NA
"RPS4XP13","RPS4XP13",NA,NA
"RPS4XP14","RPS4XP14",NA,NA
"RPS4XP15","RPS4XP15",NA,NA
"RPS4XP16","RPS4XP16",NA,NA
"RPS4XP17","RPS4XP17",NA,NA
"RPS4XP18","RPS4XP18",NA,NA
"RPS4XP19","RPS4XP19",NA,NA
"RPS4XP2","RPS4XP2",NA,NA
"RPS4XP20","RPS4XP20",NA,NA
"RPS4XP21","RPS4XP21",NA,NA
"RPS4XP22","RPS4XP22",NA,NA
"RPS4XP3","RPS4XP3",NA,NA
"RPS4XP4","RPS4XP4",NA,NA
"RPS4XP5","RPS4XP5",NA,NA
"RPS4XP6","RPS4XP6",NA,NA
"RPS4XP7","RPS4XP7",NA,NA
"RPS4XP8","RPS4XP8",NA,NA
"RPS4Y1","RPS4Y1",NA,NA
"RPS4Y1P1","RPS4Y1P1",NA,NA
"RPS4Y2","RPS4Y2",NA,NA
"RPS5","RPS5",NA,NA
"RPS5P2","RPS5P2",NA,NA
"RPS5P3","RPS5P3",NA,NA
"RPS5P4","RPS5P4",NA,NA
"RPS5P5","RPS5P5",NA,NA
"RPS5P6","RPS5P6",NA,NA
"RPS5P7","RPS5P7",NA,NA
"RPS5P8","RPS5P8",NA,NA
"RPS6","RPS6",NA,NA
"RPS6KA1","RPS6KA1",NA,NA
"RPS6KA2","RPS6KA2",NA,NA
"RPS6KA2-IT1","RPS6KA2-IT1",NA,NA
"RPS6KA3","RPS6KA3",NA,NA
"RPS6KA4","RPS6KA4",NA,NA
"RPS6KA5","RPS6KA5",NA,NA
"RPS6KA6","RPS6KA6",NA,NA
"RPS6KB1","RPS6KB1",NA,NA
"RPS6KB2","RPS6KB2",NA,NA
"RPS6KC1","RPS6KC1",NA,NA
"RPS6KL1","RPS6KL1",NA,NA
"RPS6P1","RPS6P1",NA,NA
"RPS6P10","RPS6P10",NA,NA
"RPS6P11","RPS6P11",NA,NA
"RPS6P12","RPS6P12",NA,NA
"RPS6P14","RPS6P14",NA,NA
"RPS6P15","RPS6P15",NA,NA
"RPS6P16","RPS6P16",NA,NA
"RPS6P17","RPS6P17",NA,NA
"RPS6P19","RPS6P19",NA,NA
"RPS6P21","RPS6P21",NA,NA
"RPS6P22","RPS6P22",NA,NA
"RPS6P23","RPS6P23",NA,NA
"RPS6P24","RPS6P24",NA,NA
"RPS6P25","RPS6P25",NA,NA
"RPS6P26","RPS6P26",NA,NA
"RPS6P3","RPS6P3",NA,NA
"RPS6P5","RPS6P5",NA,NA
"RPS6P8","RPS6P8",NA,NA
"RPS6P9","RPS6P9",NA,NA
"RPS7","RPS7",NA,NA
"RPS7P1","RPS7P1",NA,NA
"RPS7P10","RPS7P10",NA,NA
"RPS7P11","RPS7P11",NA,NA
"RPS7P12","RPS7P12",NA,NA
"RPS7P14","RPS7P14",NA,NA
"RPS7P3","RPS7P3",NA,NA
"RPS7P4","RPS7P4",NA,NA
"RPS7P6","RPS7P6",NA,NA
"RPS7P7","RPS7P7",NA,NA
"RPS7P8","RPS7P8",NA,NA
"RPS7P9","RPS7P9",NA,NA
"RPS8","RPS8",NA,NA
"RPS8P1","RPS8P1",NA,NA
"RPS8P10","RPS8P10",NA,NA
"RPS8P3","RPS8P3",NA,NA
"RPS8P4","RPS8P4",NA,NA
"RPS8P5","RPS8P5",NA,NA
"RPS8P6","RPS8P6",NA,NA
"RPS8P7","RPS8P7",NA,NA
