"","Gene_name","LFC_HA_AA","FDR_HA_AA"
"ADD1","ADD1",NA,NA
"ADD2","ADD2",NA,NA
"ADD3","ADD3",NA,NA
"ADD3-AS1","ADD3-AS1",NA,NA
"ADGB","ADGB",NA,NA
"ADGB-DT","ADGB-DT",NA,NA
"ADGRA1","ADGRA1",NA,NA
"ADGRA2","ADGRA2",NA,NA
"ADGRA3","ADGRA3",NA,NA
"ADGRB1","ADGRB1",NA,NA
"ADGRB2","ADGRB2",NA,NA
"ADGRB3","ADGRB3",NA,NA
"ADGRD1","ADGRD1",NA,NA
"ADGRD2","ADGRD2",NA,NA
"ADGRE1","ADGRE1",NA,NA
"ADGRE2","ADGRE2",NA,NA
"ADGRE3","ADGRE3",NA,NA
"ADGRE4P","ADGRE4P",NA,NA
"ADGRE5","ADGRE5",NA,NA
"ADGRF1","ADGRF1",NA,NA
"ADGRF2","ADGRF2",NA,NA
"ADGRF3","ADGRF3",NA,NA
"ADGRF4","ADGRF4",NA,NA
"ADGRF5","ADGRF5",NA,NA
"ADGRF5P1","ADGRF5P1",NA,NA
"ADGRG1","ADGRG1",NA,NA
"ADGRG2","ADGRG2",NA,NA
"ADGRG3","ADGRG3",NA,NA
"ADGRG4","ADGRG4",NA,NA
"ADGRG5","ADGRG5",NA,NA
"ADGRG6","ADGRG6",NA,NA
"ADGRG7","ADGRG7",NA,NA
"ADGRL1","ADGRL1",NA,NA
"ADGRL1-AS1","ADGRL1-AS1",NA,NA
"ADGRL2","ADGRL2",NA,NA
"ADGRL3","ADGRL3",NA,NA
"ADGRL4","ADGRL4",NA,NA
"ADGRV1","ADGRV1",NA,NA
"ADH1A","ADH1A",NA,NA
"ADH1B","ADH1B",NA,NA
"ADH1C","ADH1C",NA,NA
"ADH4","ADH4",NA,NA
"ADH5","ADH5",NA,NA
"ADH5P2","ADH5P2",NA,NA
"ADH5P3","ADH5P3",NA,NA
"ADH5P5","ADH5P5",NA,NA
"ADH6","ADH6",NA,NA
"ADH7","ADH7",NA,NA
"ADHFE1","ADHFE1",NA,NA
"ADI1","ADI1",NA,NA
"ADI1P3","ADI1P3",NA,NA
"ADIG","ADIG",NA,NA
"ADIPOQ","ADIPOQ",NA,NA
"ADIPOQ-AS1","ADIPOQ-AS1",NA,NA
"ADIPOR1","ADIPOR1",NA,NA
"ADIPOR2","ADIPOR2",NA,NA
"ADIRF","ADIRF",NA,NA
"ADK","ADK",NA,NA
"ADM","ADM",NA,NA
"ADM2","ADM2",NA,NA
"ADM5","ADM5",NA,NA
"ADNP","ADNP",NA,NA
"ADNP-AS1","ADNP-AS1",NA,NA
"ADNP2","ADNP2",NA,NA
"ADO","ADO",NA,NA
"ADORA1","ADORA1",NA,NA
"ADORA2A","ADORA2A",NA,NA
"ADORA2A-AS1","ADORA2A-AS1",NA,NA
"ADORA2B","ADORA2B",NA,NA
"ADORA3","ADORA3",NA,NA
"ADPGK","ADPGK",NA,NA
"ADPGK-AS1","ADPGK-AS1",NA,NA
"ADPRH","ADPRH",NA,NA
"ADPRHL1","ADPRHL1",NA,NA
"ADPRM","ADPRM",NA,NA
"ADPRS","ADPRS",NA,NA
"ADRA1A","ADRA1A",NA,NA
"ADRA1B","ADRA1B",NA,NA
"ADRA1D","ADRA1D",NA,NA
"ADRA2A","ADRA2A",NA,NA
"ADRA2B","ADRA2B",NA,NA
"ADRA2C","ADRA2C",NA,NA
"ADRB1","ADRB1",NA,NA
"ADRB2","ADRB2",NA,NA
"ADRB3","ADRB3",NA,NA
"ADRM1","ADRM1",NA,NA
"ADSL","ADSL",NA,NA
"ADSS1","ADSS1",NA,NA
"ADSS2","ADSS2",NA,NA
"ADTRP","ADTRP",NA,NA
"AEBP1","AEBP1",NA,NA
"AEBP2","AEBP2",NA,NA
"AEN","AEN",NA,NA
"AFAP1","AFAP1",NA,NA
"AFAP1-AS1","AFAP1-AS1",NA,NA
"AFAP1L1","AFAP1L1",NA,NA
"AFAP1L2","AFAP1L2",NA,NA
"AFDN","AFDN",NA,NA
"AFF1","AFF1",NA,NA
"AFF2","AFF2",NA,NA
"AFF3","AFF3",NA,NA
"AFF4","AFF4",NA,NA
"AFG1L","AFG1L",NA,NA
"AFG3L1P","AFG3L1P",NA,NA
"AFG3L2","AFG3L2",NA,NA
"AFM","AFM",NA,NA
"AFMID","AFMID",NA,NA
"AFP","AFP",NA,NA
"AFTPH","AFTPH",NA,NA
"AFTPH-DT","AFTPH-DT",NA,NA
"AGA","AGA",NA,NA
"AGAP1","AGAP1",NA,NA
"AGAP1-IT1","AGAP1-IT1",NA,NA
"AGAP11","AGAP11",NA,NA
"AGAP12P","AGAP12P",NA,NA
"AGAP2","AGAP2",NA,NA
"AGAP2-AS1","AGAP2-AS1",NA,NA
"AGAP3","AGAP3",NA,NA
"AGAP4","AGAP4",NA,NA
"AGAP5","AGAP5",NA,NA
"AGAP6","AGAP6",NA,NA
"AGAP9","AGAP9",NA,NA
"AGBL1","AGBL1",NA,NA
"AGBL1-AS1","AGBL1-AS1",NA,NA
"AGBL2","AGBL2",NA,NA
"AGBL3","AGBL3",NA,NA
"AGBL4","AGBL4",NA,NA
"AGBL4-AS1","AGBL4-AS1",NA,NA
"AGBL4-IT1","AGBL4-IT1",NA,NA
"AGBL5","AGBL5",NA,NA
"AGBL5-AS1","AGBL5-AS1",NA,NA
"AGER","AGER",NA,NA
