"","log2FoldChange","pvalue"
"RFC3",-0.0885309931472671,0.000982891304526054
"TMEM251",-0.0790212728820848,0.000951569597708282
"GUCY1A1",0.149149961948133,0.000954455606910634
"ISCA2",-0.0780995759618683,0.000980290101723438
"ANAPC16",-0.0572263391807725,0.000973440390805745
"IFNLR1",0.114195010913587,0.000973174725084013
"TMA16",-0.0672474181452468,0.000985960412266843
"GIMAP1",-0.0956767982945091,0.000956483800967681
"BTBD19",0.205696127035619,0.000983977953777522
"BRD9",0.0560046070070259,0.00101959630140022
"CNIH1",-0.0836526626262385,0.00101415087269154
"GSKIP",-0.0785656748566459,0.00102584350218033
"SETX",0.0427538440730895,0.00100114733675652
"GTF3C2",0.0422647249706673,0.00102735706059329
"TJP2",0.116549002625661,0.00102275058245273
"HSDL2",-0.0707738468028533,0.00102297272870519
"ESD",-0.0615936692733881,0.00101351844298027
"LYPLAL1",-0.1131825511569,0.000998583841689414
"SCAF4",0.0534315917605971,0.00099795439804184
"UBLCP1",-0.0722377893261776,0.000992598831925845
"BASP1",-0.100900558489719,0.00102731598257769
"IRF9",0.067206980441807,0.00101667929262839
"SDHD",-0.070228790236996,0.00103551660033143
"TNFRSF17",-0.2882006005314,0.00104341510547221
"TCF20",0.0647636509068403,0.00104804728467243
"ACYP2",-0.0738733941465906,0.00104574084540201
"MARCHF5",-0.0630468513209038,0.00104351356910433
"CCDC88C",0.0635487450429026,0.00110959806174733
"SAMD4A",0.142898396279052,0.00111548071320358
"MRPS10",-0.0631268069201349,0.00110877780534028
"EIF4G3",0.0548558253214368,0.00115901199540761
"CPSF6",-0.0608092130440022,0.001071083904011
"NFYB",-0.0644098996529538,0.00106924821882883
"FFAR2",0.196760519175667,0.00111423146686284
"RIPK3",0.0564214084351357,0.00109683562859217
"ANKRD17",0.0496569982268749,0.0010567692050063
"DPH6",-0.075087549958962,0.00113629630704367
"MAP3K7",-0.0498494921216214,0.00112830650881326
"DENR",-0.0605056721553519,0.00114455944796626
"RFX5",0.0430125178423846,0.0011613333478296
"TMEM263",-0.116698004749751,0.00110368311011984
"SLC30A6",-0.063348785407539,0.00109352788641901
"VBP1",-0.0691308046507398,0.00111048255936214
"KIAA1143",-0.0643628433830273,0.00106935425450255
"CEP44",-0.0979803173321665,0.00116487498899783
"SPTSSA",-0.141122731296499,0.00109806877272657
"SMAD3",0.0479326881428323,0.00116155459376396
"KMT2D",0.0710564603295627,0.00112404589907694
"RAB4A",-0.0585986985398175,0.00106328799123172
"SLC33A1",-0.0732860452185412,0.00116115249009338
"TANC2",0.0780535969481905,0.00108358130550454
"DSEL",-0.194458909970274,0.00114128951779247
"ZNF318",0.0643227194646429,0.00114385741102767
"MBOAT1",0.0965982934068227,0.00111821079190716
"HCFC1",0.0601974624869574,0.00108886756739247
"RNF213",0.0731261224114736,0.00109616772662072
"GPR160",-0.148311649468344,0.00116199311578364
"CLK3",0.0525837685261069,0.00110420853992946
"ATL3",-0.067550116381497,0.00114045431906176
"IGLV3-19",-0.291880195740287,0.00107633357267741
"DDX3X",0.12959015440369,0.0011622627928862
"IGHV3-74",-0.3055084373715,0.00114647243435623
"TRIM26",0.047140557758026,0.00115560242335147
"MAPKAPK5-AS1",-0.06931590532421,0.00109396395766074
"DISP1",0.0796570727720253,0.00117094352803117
"TXNIP",-0.086437812688937,0.00117137328831577
"SNHG15",0.139763663723191,0.00117617043885239
"C1QA",0.272552956516376,0.00118093540270214
"SLC25A25",0.0625530624311343,0.00118795183102838
"SLBP",-0.0570628750161158,0.00118762248800782
"ATXN1L",0.0756005164696084,0.00119082855858652
"CDH1",0.20521655666985,0.00121565832780497
"PRICKLE1",0.121169633383102,0.00121475516270104
"ATXN7L1",0.0565521502782133,0.00120218031751778
"CYSLTR1",-0.085592824997183,0.00121656594456906
"CARMIL3",0.16418624927801,0.00121675325189389
"NCOA6",0.0485215334370271,0.00120985836467153
"MEPCE",0.0569765070422501,0.00122317752318197
"CLASP1",0.057275655371333,0.00124042884339015
"PLEKHG2",0.138796647149447,0.00123767776038828
"ADK",-0.0893988725378862,0.00123789470766037
"MAT2B",-0.0848187213516732,0.00125116118152464
"ERH",-0.072766152992205,0.00125159118472004
"PREPL",-0.0966683823633683,0.00124740135666246
"FBXO25",-0.0413881314949393,0.00125308046190859
"COX7A2L",-0.0590941069546884,0.00125793534246404
"COA6",-0.0918273559246098,0.00127815912118708
"ARL6IP5",-0.0755782565847626,0.00128911869995966
"GRAMD1B",0.0943427229119348,0.00129335983145121
"EVI2A",-0.100146122904262,0.00130822543581091
"NBAS",0.0450453022809076,0.00131467802656712
"C9orf85",-0.0599976942463265,0.00130529650137274
"BPTF",0.0505229381442304,0.00131013000670536
"PHF8",0.0496897734981651,0.00130092004429084
"FAM217B",-0.0676354814988335,0.00131185702716055
"DPY30",-0.0729333254680516,0.00131988470484968
"WASF2",0.0522654437965245,0.00132376011939023
"PNKP",0.0687265810429164,0.00134174508608974
"COMMD3",-0.0823157560946381,0.00134371533006135
"TSEN15",-0.0764910563106951,0.00134545894031643
"GPN3",-0.0923410739787633,0.00137478233489894
"FGFR1OP2",-0.0786586456738993,0.00138782369912334
"SMG7",0.0415439821014072,0.00136203425290161
"CRIPT",-0.0821230929646965,0.0013663736728559
"NDUFB5",-0.0718757296322498,0.0013811086512152
"FXYD2",-0.1643240691213,0.0013792501514682
"GPR107",0.0466949443542867,0.00138721560600763
"NXF1",0.0735402664765479,0.001354594559809
"FAM210A",-0.06522824960888,0.00136877181850027
"USP7",0.0292903545631071,0.00135322355083806
"MZT1",-0.134390187716355,0.00136138316913521
"IGLC1",-0.279770520712316,0.00138870690451362
"IGKV3-11",-0.259427506751321,0.00137702034552175
"RAB21",-0.0665587961134494,0.00139532536193542
"C11orf58",-0.0505563897013298,0.00140079243739837
"TMCO1",-0.0623803464137207,0.00139995793207154
"RERE",0.0635008718890654,0.00140851826845344
"ARF4",-0.0650134088764063,0.00141059917637179
"IGLV1-36",-0.321179922789327,0.00141069321997781
"ODF2",0.0408825105283647,0.00142249408576085
"TMEM126B",-0.0695306361917869,0.00142508445937933
"WDR74",0.0958841469847939,0.00143496082017332
"IKBIP",-0.114323937346419,0.00143931072514835
"CAMSAP1",0.0518384338500987,0.00144589739688309
"PDCD6",-0.0430152314558469,0.00144892764577238
"DDX5",0.0526608540221031,0.00146202115852057
"KIF21B",0.0804193800530529,0.00147080263793031
"RPP40",-0.0932845018484852,0.00146265643935418
"CDK12",0.0589252583421186,0.00146879673834457
"METTL9",-0.0795726564408023,0.00146741445002694
"IGKC",-0.243161748712347,0.00146680716592603
"ARID1B",0.041499435684622,0.00148347303726754
"ZFYVE26",0.0529890014044044,0.00148321720141805
"FKBP3",-0.076813510980846,0.00149372017966276
"APH1B",-0.058652168539347,0.00149833507511524
"PPARGC1B",0.0994166734955834,0.00149503188036367
"MESD",-0.0554386487764098,0.00151463204616676
"C11orf1",-0.0805019426267103,0.0015101138762633
"ASNSD1",-0.0535464461697692,0.00151311669489741
"EEF1AKMT2",-0.0794153473969662,0.00151427071664574
"ETFRF1",-0.102628945051272,0.00151530787018546
"CBX3",-0.0571125444271124,0.00152056008108045
"ZMYM5",-0.0587920006702931,0.00152671034886618
"LETM1",0.0502779556081821,0.00152559477877046
"KHDRBS1",-0.0455602969346024,0.00153233190657936
"MX1",0.141973920187246,0.00153898244591209
"ITPR1",0.0715252870532745,0.00154574459094725
"TMX1",-0.108454630649365,0.00154925700859118
"TBC1D22B",0.0389373691585104,0.00155493232946249
"SEPHS2",-0.0744440048030783,0.0015583574028202
"LPXN",-0.0591037416440106,0.00156923021010748
"ZRSR2",0.0682413190327711,0.00156992449070342
"ZNF707",0.0651822176253715,0.00157032113450799
"PCBD2",-0.0648152637418489,0.0015833229870959
"NIPSNAP3A",-0.103723313754979,0.00159316712412701
"SIDT2",0.102023507999039,0.00159715317483924
"LEPROTL1",-0.0726548191794644,0.00160625894782539
"GIMAP2",-0.075683718660118,0.00161988531012733
"NRG1",-0.232111947449767,0.00161491182221705
"SRGAP2",0.081461426274954,0.00161814171041521
"HERC1",0.0587855043541087,0.00162757038284467
"TOMM22",-0.0600546752893214,0.00165985572985251
"CAAP1",-0.104947580450909,0.00166513185179656
"STARD8",0.133502019311771,0.00165135156294383
"PSAT1",-0.133481100633158,0.00164831283300626
"MOV10",0.0717611109558708,0.00166469935109095
"PIGX",-0.0602817681230714,0.00166425221031353
"NFKBID",0.11230113428979,0.0016520064805165
"STIMATE",0.0773227966948772,0.0016566699309417
"PPP1CB",-0.1052579811686,0.00164517637948757
"IFI44",0.132748789884353,0.00166869731322902
"RAP1GAP2",0.0777838795191926,0.00168038641556266
"HFE",-0.0842617125715336,0.00168657402216039
"PCNP",-0.0899150774875705,0.00169750824082344
"ACIN1",0.0476395355248704,0.0016931957792859
"THNSL2",0.287321997842391,0.00169870851483266
"ARMT1",-0.102347051608905,0.00170032031456451
"CYP4F22",0.211193029373984,0.00170199273175392
"FRMPD3",0.140020405734703,0.00170601264022625
"RCBTB2",-0.0907965617235372,0.00172930588181064
"ECPAS",0.0380491992009458,0.00172154217917838
"HSD17B12",-0.110600498161272,0.00172788679634078
"ARV1",-0.0745891457612295,0.00171224629360652
"LRRC75A",0.070776822050972,0.00171436121005556
"PCNX3",0.072851729625559,0.00171709492904782
"HIBCH",-0.075289444862063,0.00173072596341108
"TIPRL",-0.0676927800253518,0.00174626248213282
"SELENOF",-0.0613678982665694,0.00174358253750772
"SMC1A",0.0550546645920521,0.00176689366403875
"ELF4",0.0704608706423743,0.0017787787158527
"ZFAND1",-0.0538614767815418,0.00177132990030898
"ZPR1",0.0436554611113531,0.0017655021278675
"PRRC2C",0.0602471056521275,0.001776925793296
"CISD1",-0.0959068431598403,0.00177563241603978
"TMEM201",0.0812191815772348,0.00177114373669238
"QRICH1",0.0572156088563653,0.00175187582997853
"PI4KA",0.0575569002152733,0.00175649544564673
"HSD17B11",-0.0780457477422943,0.00178668054603485
"ZNF260",-0.0864775462213069,0.00179365902928869
"HNRNPA1P48",-0.10502350081681,0.00180165556235687
"SAYSD1",-0.0632761920688367,0.00180564318461942
"KDM4C",0.043752552468897,0.00180940095910294
"SLC25A40",-0.0849563998610117,0.00182598706751396
"HGS",0.066003878329333,0.00182846542420283
"DESI2",-0.0659305172722149,0.00183755052195208
"GGPS1",-0.0740975635500974,0.00184159187331999
"PIK3CD",0.0455460935371508,0.00185348635327727
"PLEKHM1",0.0726314494266545,0.00185843588659017
"EIF3E",-0.0547643713991496,0.00186347081615393
"ASF1A",-0.0900238412855611,0.00191901491777804
"CCNI",-0.0630444676875244,0.00190075062535631
"HELZ2",0.0927577797582028,0.00191371214732771
"TMEM165",-0.0907660641578944,0.00191906394643832
"MICAL1",0.0739251021574178,0.00190627894326238
"VPS36",-0.0643088567766903,0.00190257320193204
"CTU1",-0.123245637249019,0.00192159015552829
"ACP1",-0.0340992926478081,0.00189037339965921
"TOMM70",-0.0455517535621313,0.00190084057570159
"LOC93622",-0.0892702652673179,0.00191986385000636
"MRFAP1L1",-0.0904967788503782,0.00191815896274284
