Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BDCA4+ DendriticCells	49/495	0.0014926971917513323	0.011127379065782659	0	0	1.6380350258597356	10.658973361468767	SLA2;WDR46;SMPD3;BLNK;DUSP3;DBNL;RNASET2;STX7;RNASE6;KCTD5;CD2AP;PDIA4;VAMP8;NFX1;GORASP2;MAPKAPK2;ERP29;LAP3;PPIB;SKAP2;ARF6;EPHA2;PFKFB2;SELPLG;USO1;AK2;ADD1;MTDH;HSP90B1;SNX9;SH2B3;NADK;MAP2K6;LYN;CD164;PTPN1;RABGAP1L;STAT2;SUSD1;M6PR;GZMB;NAGA;PAFAH2;NAGK;NMT1;BAX;TPP1;LRCH4;IL18R1
CD19+ BCells(neg. sel.)	42/412	0.0018176820132515226	0.012420827090552072	0	0	1.6898139014927336	10.663052205213791	TNFAIP8;UBXN1;GCNT1;JMJD1C;ARID4B;TOMM20;FOXO1;PPP1R2;HHEX;NT5E;SNX2;INPP5D;NCK2;PIBF1;IGBP1;PTPN1;ST6GAL1;ZHX2;PPP1R12A;CD72;SMAD3;FCRL5;SWAP70;STX7;NFATC1;AMPD3;USP28;FLI1;MTSS1;APRT;BANK1;NFX1;IL7;TBC1D5;BAX;PLEKHO1;FXYD5;RTN4IP1;CD69;EZR;EBAG9;ARF6
Colorectaladenocarcinoma	32/292	0.0019790227173085034	0.012483066370715175	0	0	1.828330961074324	11.381638382604025	YAP1;PKN3;SSNA1;PDGFB;PDGFA;PPP1R2;PDZD2;IRAK1;PPME1;MDK;MICALL2;NUDT15;TGM2;RNF43;YES1;KRT8;LIF;ASPSCR1;PDAP1;SSH3;TPD52L2;EDAR;KRT18;PER3;STK24;SLMAP;ITGA6;AGRN;FKBP4;TP53;FGFR2;BCL2L1
BronchialEpithelialCells	30/280	0.0037503782205520566	0.021966501006090617	0	0	1.780722891566265	9.946937480761186	YAP1;CDKN1A;GSTP1;IL20RB;TGFA;TREM2;TXN;SEMA3F;F11R;AREG;PTS;HSP90B1;NT5E;EIF4EBP1;LDLR;EIF4E;FGFBP1;SLC16A1;CSNK2A1;ANXA2;ANXA3;DDX58;ITGA2;IL18;VEGFC;DKK1;SSH3;KRT19;CDCP1;ITGA6
Lymphoma burkitts(Raji)	35/355	0.006984085672745413	0.0381796683443416	0	0	1.6234248991935485	8.058877948170839	CPM;CD40;SSNA1;UBE2L6;IFI30;TOMM20;CASP8;SIT1;C1QBP;CASP3;LONP1;TNFRSF14;NADK;CD74;ZBTB17;DFFA;MECR;CD72;IL1R2;SWAP70;TRAF2;MIF;AMPD3;NAP1L4;GGCT;GRHPR;HNRNPUL1;TNIP1;CLPP;PPIF;SSBP1;EPHA1;NFKBIE;PFDN4;CC2D1A
Thyroid	36/388	0.01542069007551596	0.0790310366370193	0	0	1.5165914593880696	6.327288057639126	ASAH1;MCFD2;TPMT;STXBP3;FAM13A;PTPRM;PEBP1;SPINT2;LRP2;HSP90B1;PRDX5;HHEX;DPP7;CA3;CDH1;AKT2;INPP5J;EP300;IGFBP7;SNX5;CD164;NDUFA5;SORD;ABHD14B;VEGFA;PDIA4;BCR;DCTD;SMOC2;IMPACT;AKT1S1;TAX1BP1;ESAM;CRELD2;GPRC5C;EBAG9
721 B lymphoblasts	117/1543	0.026679908572882632	0.1217285719277688	0	0	1.225684729923188	4.441690848567188	CD80;PDCD5;TTF2;ENO1;NUDT5;MKI67;FNTA;PSMD1;DENR;NBN;CSNK2A1;EIF1AX;BOLA1;ACOT13;IPCEF1;SDHB;DCTD;TXLNA;HNRNPUL1;MTHFD2;CLNS1A;CLPP;PSME1;PPIF;PSME2;LAP3;TP53;GLYR1;RNASEH2A;AK2;GIGYF2;MTDH;STIP1;LARP1;GRPEL1;PMVK;FADD;SNX5;SMAD2;PNPT1;TNFSF14;XRCC4;FUS;PMM2;TNFRSF10B;NFKB1;BST2;NMT1;BLMH;FARSA;GRSF1;NFKBIE;NIT2;EIF4G1;GPI;CD40;ACY3;FEN1;PSIP1;DBI;TRIAP1;PPCDC;AIFM1;TCTN3;C1QBP;KYNU;BLNK;ACP1;DBNL;RFC4;PARP1;AHSA1;CACYBP;KIF22;MRPL46;RAD23B;RABEP1;PLSCR3;GORASP2;TBC1D5;TRAF3;GAS2;PFDN2;THOP1;PRTFDC1;SF3B4;AHCY;MVK;DNPEP;TCOF1;OXCT1;DDT;LEO1;SNRPB2;BID;CCT5;REPS1;RWDD1;RANBP1;NPM1;SSB;RRM2;CCL22;PTGES2;GSR;IMMT;GFER;TARBP2;ATOX1;BATF;CENPF;APEX1;TACC3;DRG2;FAS;BAX;SSBP1
Lung	28/299	0.026898641737658515	0.1217285719277688	0	0	1.529018722424594	5.5284416294095715	LGALS3BP;PCDH12;IGFBPL1;RRAS;GRK5;SLAMF8;ACP5;NUDT16;CCL18;GGT1;CTSD;PAK4;IL15RA;MSR1;CYB5A;PPP1R14A;ZBTB16;TIE1;HPCAL1;MCEMP1;IGF2R;TNFRSF1A;GCHFR;MARCO;MYH9;FBP1;MGLL;LGMN
Lymphnode	6/37	0.028205400812531794	0.1217285719277688	0	0	2.8512163501868373	10.173829365002845	FCRL5;STAB2;SLAMF8;GP1BA;CCL19;CCL18
Kidney	15/142	0.03733360240604793	0.1530677698647965	0	0	1.743344581927259	5.731875513108404	ACY3;ACY1;EGF;UMOD;PDZK1;IL17RB;ASS1;PBLD;MSRA;RBP5;GNPDA1;PCBP2;ECHDC3;GGT1;RAB11FIP3
