,Node_1,Node_2,level
1518,44248,19439,L2
1519,30100,45807,L2
1521,8152,6807,L2
1526,19220,45937,L2
1533,48518,51240,L2
1534,48523,31324,L2
1535,9894,42176,L2
1537,30100,45806,L2
1539,19222,9894,L2
1542,10941,43067,L2
1546,50789,35466,L2
1547,2684,50778,L2
1549,19222,9893,L2
1557,80090,19219,L2
1558,19222,9892,L2
1561,44281,6766,L2
1562,48869,48468,L2
1563,7049,278,L2
1565,42180,43436,L2
1567,65008,90066,L2
1571,8150,44085,L2
1573,16192,6887,L2
1574,9987,22402,L2
1576,51246,42176,L2
1577,51239,45619,L2
1580,48522,51781,L2
1582,6081,46487,L2
1583,31324,10563,L2
1584,51128,51130,L2
1588,50794,45595,L2
1593,60255,10712,L2
1595,6790,42723,L2
1596,42127,48660,L2
1600,32879,51049,L2
1603,44237,6081,L2
1604,31323,31325,L2
1609,9611,42060,L2
1614,31323,31326,L2
1615,31323,19219,L2
1623,44255,6631,L2
1624,34097,70555,L2
1626,35466,35467,L2
1630,48583,80134,L2
1631,9987,22406,L2
1635,46483,42723,L2
1636,2682,2694,L2
1639,31323,31324,L2
1640,44237,6082,L2
1644,10033,9743,L2
1647,19882,2475,L2
1652,48583,32101,L2
1653,44260,42157,L2
1654,44237,51186,L2
1658,48522,10647,L2
1659,48523,30308,L2
1660,1932,50730,L2
1663,22406,22614,L2
1664,23057,9968,L2
1666,19222,80090,L2
1667,50794,31323,L2
1668,32268,32269,L2
1669,30155,7162,L2
1671,31399,31396,L2
1683,16044,7006,L2
1685,51174,10562,L2
1687,44281,44283,L2
1691,48518,2684,L2
1693,22610,7155,L2
1694,6950,6979,L2
1695,32268,6417,L2
1696,51174,10563,L2
1697,31325,33240,L2
1699,8150,51704,L2
1700,40012,30334,L2
1702,44281,44282,L2
1706,9743,34284,L2
1709,42127,48145,L2
1710,10563,45936,L2
1711,6725,42558,L2
1714,7162,22408,L2
1715,23051,9966,L2
1717,43066,6916,L2
1719,9987,7049,L2
1720,35466,35468,L2
1722,43170,19538,L2
1724,6082,43436,L2
1725,6807,34641,L2
1727,43281,43280,L2
1728,51247,32270,L2
1735,43067,42981,L2
1736,70887,60326,L2
1743,61024,16044,L2
1747,44248,16054,L2
1757,19725,55082,L2
1762,48523,50866,L2
1766,10627,43408,L2
1770,51302,51781,L2
1771,50678,50679,L2
1772,43170,10467,L2
1779,44260,6259,L2
1781,31326,6417,L2
1785,48522,45597,L2
1786,50794,51302,L2
1788,9987,16044,L2
1790,42127,50678,L2
1792,51246,30162,L2
1802,8150,50896,L2
1807,42325,42326,L2
1810,32844,10522,L2
1811,51239,44246,L2
1817,43281,43154,L2
1818,2376,50900,L2
1821,8219,70997,L2
1823,42325,42327,L2
1824,48519,40013,L2
1826,10469,7176,L2
1827,48523,51271,L2
1834,2682,50776,L2
1835,48518,9893,L2
1840,44281,6066,L2
1849,10033,51597,L2
1850,44237,46950,L2
1852,51129,10639,L2
1855,30155,45785,L2
1856,10033,14070,L2
1857,48145,48146,L2
1858,42127,70663,L2
1859,71310,71359,L2
1860,50789,48519,L2
1861,43068,43065,L2
1864,44249,34637,L2
1869,44237,44249,L2
1872,8152,42440,L2
1875,40017,50921,L2
1882,70663,32944,L2
1883,10638,51495,L2
1885,42060,7596,L2
1893,9628,9266,L2
1894,1932,10799,L2
1895,50789,32844,L2
1897,51271,30336,L2
1898,19222,9889,L2
1902,50789,51239,L2
1908,50789,48518,L2
1912,31667,7584,L2
1915,48519,51051,L2
1920,44237,44248,L2
