"SUID","edgeType_all_genes","interaction","name","selected","shared interaction","shared name"
"1584339","black","pp","70887 (pp) 71310","false","pp","70887 (pp) 71310"
"1584342","black","pp","32501 (pp) 48871","false","pp","32501 (pp) 48871"
"1584344","black","pp","6725 (pp) 19439","false","pp","6725 (pp) 19439"
"1584347","black","pp","10035 (pp) 302","false","pp","10035 (pp) 302"
"1584349","black","pp","7435 (pp) 60445","false","pp","7435 (pp) 60445"
"1584351","black","pp","51049 (pp) 51051","false","pp","51049 (pp) 51051"
"1584354","black","pp","44283 (pp) 34404","false","pp","44283 (pp) 34404"
"1584357","black","pp","51704 (pp) 44419","false","pp","51704 (pp) 44419"
"1584360","black","pp","6586 (pp) 46218","false","pp","6586 (pp) 46218"
"1584363","black","pp","51493 (pp) 51494","false","pp","51493 (pp) 51494"
"1584366","black","pp","43408 (pp) 32872","false","pp","43408 (pp) 32872"
"1584369","black","pp","6066 (pp) 19751","false","pp","6066 (pp) 19751"
"1584371","black","pp","50789 (pp) 23051","false","pp","50789 (pp) 23051"
"1584374","black","pp","9605 (pp) 42330","false","pp","9605 (pp) 42330"
"1584377","black","pp","2831 (pp) 2832","false","pp","2831 (pp) 2832"
"1584379","black","pp","6952 (pp) 42742","false","pp","6952 (pp) 42742"
"1584380","black","pp","32502 (pp) 7275","false","pp","32502 (pp) 7275"
"1584382","black","pp","17038 (pp) 6626","false","pp","17038 (pp) 6626"
"1584384","black","pp","302 (pp) 42542","false","pp","302 (pp) 42542"
"1584387","black","pp","2694 (pp) 43030","false","pp","2694 (pp) 43030"
"1584389","black","pp","6810 (pp) 46903","false","pp","6810 (pp) 46903"
"1584392","black","pp","6139 (pp) 34654","false","pp","6139 (pp) 34654"
"1584395","black","pp","48856 (pp) 35295","false","pp","48856 (pp) 35295"
"1584397","black","pp","2682 (pp) 2685","false","pp","2682 (pp) 2685"
"1584400","black","pp","50792 (pp) 45069","false","pp","50792 (pp) 45069"
"1584402","black","pp","43900 (pp) 43901","false","pp","43900 (pp) 43901"
"1584404","black","pp","46483 (pp) 18130","false","pp","46483 (pp) 18130"
"1584407","black","pp","71495 (pp) 32870","false","pp","71495 (pp) 32870"
"1584410","black","pp","2699 (pp) 2705","false","pp","2699 (pp) 2705"
"1584413","black","pp","50670 (pp) 42129","false","pp","50670 (pp) 42129"
"1584415","black","pp","48468 (pp) 48666","false","pp","48468 (pp) 48666"
"1584418","black","pp","48660 (pp) 48661","false","pp","48660 (pp) 48661"
"1584421","black","pp","43627 (pp) 32355","false","pp","43627 (pp) 32355"
"1584422","black","pp","1934 (pp) 33138","false","pp","1934 (pp) 33138"
"1584425","black","pp","19627 (pp) 50","false","pp","19627 (pp) 50"
"1584428","black","pp","31650 (pp) 31620","false","pp","31650 (pp) 31620"
"1584430","black","pp","48511 (pp) 42698","false","pp","48511 (pp) 42698"
"1584432","black","pp","6886 (pp) 6605","false","pp","6886 (pp) 6605"
