,Node_1,Node_2,level
1685,51174,10562,L3
1687,44281,44283,L3
1689,48731,61008,L3
1691,48518,2684,L3
1693,22610,7155,L3
1694,6950,6979,L3
1695,32268,6417,L3
1696,51174,10563,L3
1697,31325,33240,L3
1698,30334,10594,L3
1699,8150,51704,L3
1700,40012,30334,L3
1702,44281,44282,L3
1703,2246,2248,L3
1704,51179,51234,L3
1706,9743,34284,L3
1707,51707,75136,L3
1708,43408,43409,L3
1709,42127,48145,L3
1710,10563,45936,L3
1711,6725,42558,L3
1712,51494,31111,L3
1714,7162,22408,L3
1715,23051,9966,L3
1716,48878,55082,L3
1717,43066,6916,L3
1719,9987,7049,L3
1720,35466,35468,L3
1722,43170,19538,L3
1723,16052,44275,L3
1724,6082,43436,L3
1725,6807,34641,L3
1727,43281,43280,L3
1728,51247,32270,L3
1729,40011,42330,L3
1731,51704,7565,L3
1735,43067,42981,L3
1736,70887,60326,L3
1737,45595,45637,L3
1738,9314,9416,L3
1740,60341,50708,L3
1743,61024,16044,L3
1746,43550,43551,L3
1747,44248,16054,L3
1750,90304,16070,L3
1751,43434,71375,L3
1752,10604,10557,L3
1754,70665,32946,L3
1757,19725,55082,L3
1759,60627,31338,L3
1760,48731,35272,L3
1762,48523,50866,L3
1763,32388,90316,L3
1764,16070,16071,L3
1766,10627,43408,L3
1767,31344,10975,L3
1768,10468,45884,L3
1770,51302,51781,L3
1771,50678,50679,L3
1772,43170,10467,L3
1773,50819,30195,L3
1774,22403,7067,L3
1779,44260,6259,L3
1780,50776,2819,L3
1781,31326,6417,L3
1782,23052,23046,L3
1784,10468,45449,L3
1785,48522,45597,L3
1786,50794,51302,L3
1788,9987,16044,L3
1789,16441,35194,L3
1790,42127,50678,L3
1791,10741,43409,L3
1792,51246,30162,L3
1795,30334,14910,L3
1797,9991,31667,L3
1798,6767,42723,L3
1800,10720,10770,L3
1801,32989,32990,L3
1802,8150,50896,L3
1803,19219,51052,L3
1805,10605,10629,L3
1806,32880,70201,L3
1807,42325,42326,L3
1808,51707,9617,L3
1810,32844,10522,L3
1811,51239,44246,L3
1812,50790,51341,L3
1813,10468,40029,L3
1815,30036,7015,L3
1817,43281,43154,L3
1818,2376,50900,L3
1820,6259,6308,L3
1821,8219,70997,L3
1823,42325,42327,L3
1824,48519,40013,L3
1825,50795,50920,L3
1826,10469,7176,L3
1827,48523,51271,L3
1828,6163,9126,L3
1831,51649,46907,L3
1832,35467,10741,L3
1833,10953,10755,L3
1834,2682,50776,L3
1835,48518,9893,L3
1839,51173,33240,L3
1840,44281,6066,L3
1841,31047,70918,L3
1843,22408,34111,L3
1844,51707,9615,L3
1847,32501,50878,L3
1848,51049,51223,L3
1849,10033,51597,L3
1850,44237,46950,L3
1851,5996,19318,L3
1852,51129,10639,L3
1853,10522,51279,L3
1855,30155,45785,L3
1856,10033,14070,L3
1857,48145,48146,L3
1858,42127,70663,L3
1859,71310,71359,L3
1860,50789,48519,L3
1861,43068,43065,L3
1863,16051,34637,L3
1864,44249,34637,L3
1865,7015,8154,L3
1869,44237,44249,L3
1872,8152,42440,L3
1873,50688,50687,L3
1875,40017,50921,L3
1880,32501,48609,L3
1882,70663,32944,L3
1883,10638,51495,L3
1885,42060,7596,L3
1888,51960,50767,L3
1893,9628,9266,L3
1894,1932,10799,L3
1895,50789,32844,L3
1897,51271,30336,L3
1898,19222,9889,L3
1899,48731,7399,L3
1900,51179,51674,L3
1902,50789,51239,L3
1903,1817,1819,L3
1905,43434,32868,L3
1906,6520,9069,L3
1908,50789,48518,L3
1909,10955,10757,L3
1910,2831,50688,L3
1912,31667,7584,L3
1913,32101,30193,L3
1914,51234,51649,L3
1915,48519,51051,L3
1917,43406,187,L3
1920,44237,44248,L3
1921,44271,33014,L3
