"SUID","adjustedPValue_All_genes","description_All_genes","N_All_genes","name","nn_All_genes","nodeFillColor_All_genes","nodeFontSize_All_genes","nodeSize_All_genes","nodeType_All_genes","pValue_All_genes","selected","shared name","X_All_genes","xx_All_genes"
"1577963","7.4403E-4","regulation of protein transport","14261","51223","145","3.1284067806415776","14","8.246211251235321","ellipse","6.0746E-5","false","51223","565","17"
"1577965","8.5322E-2","female pregnancy","14261","7565","122","1.0689370109387024","14","6.324555320336759","ellipse","2.3050E-2","false","7565","565","10"
"1577966","1.9424E-2","embryo implantation","14261","7566","26","1.7116653217631235","14","4.47213595499958","ellipse","3.1592E-3","false","7566","565","5"
"1577968","7.2074E-3","macromolecule catabolic process","14261","9057","503","2.142218846142101","14","11.832159566199232","ellipse","8.9035E-4","false","9057","565","35"
"1577970","1.1060E-2","avoidance of defenses of other organism involved in symbiotic interaction","14261","51832","2","1.956236892466671","14","2.8284271247461903","ellipse","1.5670E-3","false","51832","565","2"
"1577972","6.0253E-2","protein targeting","14261","6605","201","1.2200221468135048","14","7.745966692414834","ellipse","1.4060E-2","false","6605","565","15"
"1577973","3.9000E-2","protein targeting to mitochondrion","14261","6626","32","1.408935453365252","14","4.47213595499958","ellipse","7.9581E-3","false","6626","565","5"
"1577975","8.4236E-8","regulation of locomotion","14261","40012","241","7.074503767422216","14","11.313708498984761","ellipse","1.8205E-9","false","40012","565","32"
"1577976","1.3047E-3","negative regulation of locomotion","14261","40013","72","2.8844848738495172","14","6.6332495807108","ellipse","1.1522E-4","false","40013","565","11"
"1577978","1.0838E-3","negative regulation of macromolecule metabolic process","14261","10605","803","2.965045555389029","14","14.696938456699069","ellipse","9.3402E-5","false","10605","565","54"
"1577980","1.1198E-1","negative regulation of biosynthetic process","14261","9890","621","0.9508454739303223","14","11.661903789690601","ellipse","3.5201E-2","false","9890","565","34"
"1577981","1.0989E-1","negative regulation of lipid biosynthetic process","14261","51055","18","0.9590527170444791","14","3.4641016151377544","ellipse","3.2397E-2","false","51055","565","3"
"1577983","1.5737E-1","cellular biosynthetic process","14261","44249","1686","0.8030688137826507","14","17.776388834631177","ellipse","6.2269E-2","false","44249","565","79"
"1577984","5.6925E-2","organic acid biosynthetic process","14261","16053","163","1.2446933667591618","14","7.211102550927978","ellipse","1.2925E-2","false","16053","565","13"
"1577986","8.2244E-8","regulation of catalytic activity","14261","50790","906","7.08489764134271","14","17.204650534085253","ellipse","1.7555E-9","false","50790","565","74"
"1577987","1.3079E-1","regulation of ligase activity","14261","51340","84","0.8834307141322431","14","5.291502622129181","ellipse","4.8679E-2","false","51340","565","7"
"1577989","1.7270E-1","nucleoside monophosphate catabolic process","14261","9125","12","0.7627051068393524","14","2.8284271247461903","ellipse","7.9531E-2","false","9125","565","2"
"1577990","1.1060E-2","purine nucleoside monophosphate catabolic process","14261","9128","2","1.956236892466671","14","2.8284271247461903","ellipse","1.5670E-3","false","9128","565","2"
"1577992","1.2895E-2","negative regulation of hydrolase activity","14261","51346","58","1.8895845000255633","14","5.656854249492381","ellipse","1.9301E-3","false","51346","565","8"
"1577993","2.5190E-2","negative regulation of peptidase activity","14261","10466","28","1.5987686707607065","14","4.47213595499958","ellipse","4.4224E-3","false","10466","565","5"
"1577995","1.5934E-1","cellular developmental process","14261","48869","1711","0.7976697422611162","14","17.88854381999832","ellipse","6.3261E-2","false","48869","565","80"
"1577996","1.6096E-1","cell differentiation","14261","30154","1665","0.7932745457148994","14","17.663521732655695","ellipse","6.3947E-2","false","30154","565","78"
"1577998","5.3274E-2","nucleoside metabolic process","14261","9116","63","1.273482056317367","14","5.291502622129181","ellipse","1.1982E-2","false","9116","565","7"
"1577999","1.1068E-1","purine nucleoside metabolic process","14261","42278","31","0.9559411902779177","14","4.0","ellipse","3.2867E-2","false","42278","565","4"
"1578001","5.1393E-4","regulation of cell differentiation","14261","45595","552","3.2890921855127875","14","12.96148139681572","ellipse","3.8943E-5","false","45595","565","42"
"1578002","7.8522E-7","positive regulation of cell differentiation","14261","45597","255","6.105009333003698","14","11.135528725660043","ellipse","2.7235E-8","false","45597","565","31"
"1578004","1.1596E-1","vitamin metabolic process","14261","6766","81","0.9356794344565499","14","5.291502622129181","ellipse","4.1274E-2","false","6766","565","7"
