"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TPM32",8.40560552285128e-63,0.885094227067922,1,0.865,1.80443133759048e-58,"CD16+ Mono","TPM3"
"ADA1",9.69577665539284e-63,0.585629191389317,0.542,0.125,2.08139237461318e-58,"CD16+ Mono","ADA"
"SCPEP11",1.0719689707604e-62,0.583922985856623,0.66,0.171,2.30119578953134e-58,"CD16+ Mono","SCPEP1"
"PTP4A22",1.1295715146199e-62,1.03284168693346,0.985,0.669,2.42485117043455e-58,"CD16+ Mono","PTP4A2"
"NPL",1.84382516100607e-62,0.280967976434858,0.286,0.039,3.95813947313173e-58,"CD16+ Mono","NPL"
"MYO1G2",2.195052335707e-62,0.962597722011984,0.951,0.448,4.71211884906222e-58,"CD16+ Mono","MYO1G"
"ATP6V0D11",2.32143791786593e-62,0.813838301072047,0.857,0.317,4.98343077828278e-58,"CD16+ Mono","ATP6V0D1"
"TPI12",2.59576622135394e-62,0.939883827745213,0.995,0.694,5.5723313473805e-58,"CD16+ Mono","TPI1"
"SPN1",3.04251375485709e-62,1.0001686227209,0.906,0.378,6.53136427755172e-58,"CD16+ Mono","SPN"
"KSR1",3.50766536220875e-62,0.358081208231946,0.305,0.045,7.52990523305351e-58,"CD16+ Mono","KSR1"
"TLR41",3.86437659916068e-62,0.372924952131818,0.35,0.056,8.29565724541823e-58,"CD16+ Mono","TLR4"
"PLEKHO11",4.97849434601832e-62,0.796294208638702,0.926,0.341,1.06873338125975e-57,"CD16+ Mono","PLEKHO1"
"WASF21",5.78023144732448e-62,1.00494611974083,0.961,0.494,1.24084228479715e-57,"CD16+ Mono","WASF2"
"SH3BGRL2",6.61300093597745e-62,1.01533216989011,0.966,0.556,1.41961291092628e-57,"CD16+ Mono","SH3BGRL"
"METTL7A1",1.45233160063542e-61,0.423164482704624,0.419,0.079,3.11772024708406e-57,"CD16+ Mono","METTL7A"
"CAPZA21",1.54862581793701e-61,0.834679826916232,0.867,0.335,3.32443504336538e-57,"CD16+ Mono","CAPZA2"
"ATF31",1.70800528265312e-61,0.495049189786735,0.512,0.109,3.66657494027146e-57,"CD16+ Mono","ATF3"
"EAF21",1.74500626997005e-61,0.412006442548192,0.473,0.096,3.74600495974471e-57,"CD16+ Mono","EAF2"
"YPEL21",1.77042302203369e-61,0.662216951850645,0.64,0.17,3.80056710139971e-57,"CD16+ Mono","YPEL2"
"ROGDI1",2.16416205118373e-61,0.546062482838883,0.586,0.141,4.64580667527611e-57,"CD16+ Mono","ROGDI"
"GAA1",4.42398598425412e-61,0.45217597577823,0.478,0.099,9.49697071239833e-57,"CD16+ Mono","GAA"
"ATP2B1-AS11",5.03325230425826e-61,0.918657789254355,0.901,0.378,1.08048827215512e-56,"CD16+ Mono","ATP2B1-AS1"
"WSB11",6.51667133158683e-61,1.14321740545402,0.966,0.6,1.39893383475174e-56,"CD16+ Mono","WSB1"
"LACTB1",8.56961171167812e-61,0.53773827285832,0.562,0.132,1.83963854614594e-56,"CD16+ Mono","LACTB"
"BLOC1S11",8.74201179522777e-61,0.9754847928624,0.97,0.538,1.87664767208155e-56,"CD16+ Mono","BLOC1S1"
"CTSB1",9.18402680864668e-61,0.865572746494237,0.926,0.376,1.97153503501218e-56,"CD16+ Mono","CTSB"
"RGS192",9.4651790544122e-61,1.04121448380296,0.911,0.427,2.03188998761067e-56,"CD16+ Mono","RGS19"
"SLC49A4",1.14131424294222e-60,0.446478353684215,0.409,0.077,2.45005928532407e-56,"CD16+ Mono","SLC49A4"
"LRRFIP11",2.64969210996277e-60,1.01225469240517,0.995,0.684,5.68809405245709e-56,"CD16+ Mono","LRRFIP1"
"OTUD1",2.65489550054736e-60,0.557234210682806,0.389,0.072,5.69926417102502e-56,"CD16+ Mono","OTUD1"
"SRD5A3",2.8708038126288e-60,0.319812464272123,0.276,0.038,6.16275454457024e-56,"CD16+ Mono","SRD5A3"
"SLC25A51",4.25131345908968e-60,0.989258703484226,0.98,0.648,9.12629460262782e-56,"CD16+ Mono","SLC25A5"
"ITGAL2",4.67091198786627e-60,0.81629253691637,0.892,0.328,1.00270467643525e-55,"CD16+ Mono","ITGAL"
"SH2D3C",4.8323540775473e-60,0.687533957400219,0.626,0.17,1.03736144982708e-55,"CD16+ Mono","SH2D3C"
"BEST11",6.17951547092075e-60,0.752380452103139,0.69,0.201,1.32655658614256e-55,"CD16+ Mono","BEST1"
"MIR22HG",8.38598068579494e-60,0.471928151270268,0.394,0.074,1.8002184738196e-55,"CD16+ Mono","MIR22HG"
"PRADC1",8.92822921128456e-60,0.386081189800292,0.34,0.056,1.91662296478646e-55,"CD16+ Mono","PRADC1"
"TRIB1",1.79323307577606e-59,0.34577906630323,0.325,0.052,3.84953344376846e-55,"CD16+ Mono","TRIB1"
"SYK2",2.61757886315454e-59,0.506003628470085,0.685,0.177,5.61915654553385e-55,"CD16+ Mono","SYK"
"ATP1B31",4.00318321831546e-59,0.707720082201905,0.724,0.218,8.59363341475779e-55,"CD16+ Mono","ATP1B3"
"LCP12",5.08934755327078e-59,0.96243983769805,1,0.765,1.09253023926064e-54,"CD16+ Mono","LCP1"
"DENND5A1",5.97440905158218e-59,0.553751323607368,0.66,0.177,1.28252639110315e-54,"CD16+ Mono","DENND5A"
"PPT11",7.688067623454e-59,0.783060857951338,0.901,0.357,1.65039747672687e-54,"CD16+ Mono","PPT1"
"SLC25A61",9.03378668001137e-59,0.811655824496238,1,0.927,1.93928298659804e-54,"CD16+ Mono","SLC25A6"
"CERT11",1.02131105601411e-58,0.558227357637841,0.631,0.165,2.19244844394549e-54,"CD16+ Mono","CERT1"
"STX72",1.29956911954643e-58,0.591743229367525,0.64,0.171,2.78978502893033e-54,"CD16+ Mono","STX7"
"MPC1",5.42056680505828e-58,0.716396823000505,0.675,0.202,1.16363307604186e-53,"CD16+ Mono","MPC1"
"C1orf1621",6.77082325516742e-58,0.950791901495602,0.961,0.461,1.45349262818679e-53,"CD16+ Mono","C1orf162"
"LILRB41",7.32015244117918e-58,0.375543760371651,0.34,0.057,1.57141712454793e-53,"CD16+ Mono","LILRB4"
"ACOT9",1.09781252359817e-57,0.480819291437925,0.483,0.107,2.3566741444082e-53,"CD16+ Mono","ACOT9"
"PTPN181",1.26745113578822e-57,0.81457759056351,0.837,0.318,2.72083735319657e-53,"CD16+ Mono","PTPN18"
