"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"938","STAT6",3.3414203154204e-122,0.647464551785775,0.531,0.286,7.17302699111298e-118,"CD14+ Mono","STAT6"
"940","G6PD",1.13826565611561e-121,0.576583667278782,0.4,0.175,2.44351488398337e-117,"CD14+ Mono","G6PD"
"949","CD44",2.58888889981831e-120,0.631567887950627,0.838,0.734,5.55756780123997e-116,"CD14+ Mono","CD44"
"952","SQOR",9.96055823946053e-119,0.574885687371403,0.434,0.205,2.13823303726499e-114,"CD14+ Mono","SQOR"
"965","MANBA",3.22160503077867e-114,0.552194422457701,0.373,0.159,6.91581951957258e-110,"CD14+ Mono","MANBA"
"967","NABP1",1.23129175852601e-112,0.683683185400119,0.358,0.154,2.64321401802779e-108,"CD14+ Mono","NABP1"
"968","MFSD1",1.43767278338302e-112,0.473187302467202,0.408,0.188,3.08625216408833e-108,"CD14+ Mono","MFSD1"
"977","HACD4",6.62594828067859e-109,0.572585717891781,0.46,0.237,1.42239231741327e-104,"CD14+ Mono","HACD4"
"985","MAP2K3",5.99647211695326e-107,0.566688568627183,0.456,0.231,1.28726266934636e-102,"CD14+ Mono","MAP2K3"
"990","RNASET2",1.05542550110104e-104,0.59802461277506,0.803,0.653,2.2656819232136e-100,"CD14+ Mono","RNASET2"
"1013","MSN",4.80848417720516e-98,0.530823037252356,0.777,0.646,1.03223729832063e-93,"CD14+ Mono","MSN"
"1037","CBX6",1.92602923221753e-92,0.470344468365131,0.285,0.114,4.13460695280136e-88,"CD14+ Mono","CBX6"
"1051","YBX1",1.16956149637105e-88,0.431978732697326,0.912,0.909,2.51069766425973e-84,"CD14+ Mono","YBX1"
"1053","HSPA1A",2.12929788599758e-88,0.517523742388843,0.346,0.159,4.57096377187101e-84,"CD14+ Mono","HSPA1A"
"1058","H3F3B",1.04984993860588e-87,0.446326483878289,0.989,0.987,2.25371286320524e-83,"CD14+ Mono","H3F3B"
"1071","ANAPC11",3.33354212748504e-85,0.53841475170829,0.613,0.422,7.15611488507213e-81,"CD14+ Mono","ANAPC11"
