info_transp1,info_transp2,info_transp3
MAR11711,MAM03942s  -> MAM03942c ,MAM03942
MAR11713,MAM03945s  -> MAM03945c ,MAM03945
MAR11715,MAM03944s  -> MAM03944c ,MAM03944
MAR11717,MAM03946s  -> MAM03946c ,MAM03946
MAR11719,MAM03948s  -> MAM03948c ,MAM03948
MAR11721,MAM03947s  -> MAM03947c ,MAM03947
MAR11723,MAM03949s  -> MAM03949c ,MAM03949
MAR11725,MAM03950s  -> MAM03950c ,MAM03950
MAR11727,MAM03951s  -> MAM03951c ,MAM03951
MAR11779,MAM01681s  <=> MAM01681c ,MAM01681
MAR11781,MAM02518c  <=> MAM02518s ,MAM02518
MAR11800,MAM01045s  -> MAM01045c ,MAM01045
MAR11801,MAM02823s  <=> MAM02823c ,MAM02823
MAR11806,MAM03099c  <=> MAM03099s ,MAM03099
MAR11807,MAM00248c  <=> MAM00248s ,MAM00248
MAR11815,MAM01417s  -> MAM01417c ,MAM01417
MAR11976,MAM01601s  <=> MAM01601c ,MAM01601
MAR12016,MAM01134c  <=> MAM01134s ,MAM01134
MAR12726,MAM03579c  <=> MAM03579s ,MAM03579
MAR12827,MAM03916c  <=> MAM03916s ,MAM03916
