Mixture	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
P20109_128_R1	0.044804615987555	0	0.120199474853622	0.156933535457749	0.0669984451669177	0.600193249533305	0	0.0108706790008518	0	0
P20109_129_R1	0.026623569034476	0	0.450967304073754	0.046008603673897	0.0929043154142368	0.380662976246208	0	0.00283323155742858	0	0
P20109_130_R1	0.0823544658756015	0	0.257709894044141	0.132114616969419	0.0580412494202637	0.465565624613726	0.00421414907684866	0	0	0
P20109_131_R1	0.105808834377081	0	0.346700292745583	0.0836609169647052	0.0694921900864	0.39433776582623	0	0	0	0
P20109_132_R1	0.0419946444610628	0	0.209082301483675	0.100053134131584	0.262936338416564	0.382065075389531	0	0.00386850611758232	0	0
P20109_133_R1	0.0521426710859767	0	0.109873866056436	0.0880038760415395	0.0426510568385223	0.701557620877608	0.000794748920626852	0.00497616017929016	0	0
P20109_134_R1	0.067325891929039	0	0.192394837258276	0.0625223720856244	0.0501482716726029	0.597476559632296	0.00125946850037631	0.028872598921785	0	0
P20109_135_R1	0.110043986521823	0	0.0940712018781807	0.107943364669684	0.0352075668280177	0.59839154655227	0.00832191751862065	0.0460204160314031	0	0
P20109_136_R1	0.0529925194901037	0	0.102469012931597	0.0812547842240496	0.0472449518417783	0.666615070242542	0.0020030155005717	0.0474206457693567	0	0
P20109_137_R1	0.158680688054239	0	0.0567837635404319	0.307365223559496	0.0769113200209202	0.341928179367666	0.00182743742494185	0.0557507730470387	0.000752614985266651	0
P20109_138_R1	0.0761284552304641	0	0.312611692078846	0.0450797597520023	0.0714022131099754	0.439067405068753	0.00280291325476146	0.052907561505198	0	0
P20109_139_R1	0.035896289590718	0	0.231442392076134	0.0521030964634853	0.0909200559208742	0.559606604857126	0.000704868922644193	0.028110651910585	0.00121604025843305	0
P20109_141_R1	0.0833090398233288	0	0.263925888649489	0.0711882080074869	0.100284482767907	0.442477080319421	0.000664561946911023	0.0381507384854563	0	0
P20109_142_R1	0.136415772367098	0	0.0947811310857794	0.229596888017601	0.0477117533373615	0.406366309984522	0.0146514669761948	0.0704766782314441	0	0
P20109_143_R1	0.0837514010462504	0	0.253337626666187	0.125124821321003	0.0347531306433471	0.445967162319784	0.00283416922043863	0.0539054240850461	0.000326264697943682	0
P20109_145_R1	0.249223524112438	0	0.199039841608868	0.225209585892921	0.0837381917913574	0.223940044836314	0.00501295430247065	0.0138358574556311	0	0
P20109_146_R1	0.0230325501573569	0	0.275364062936391	0.0430413370946438	0.0547415189614943	0.544638237553774	0.00146020782900452	0.0548166617310602	0.00290542373627573	0
P20109_147_R1	0.195407208719102	0	0.177130763863055	0.110384125279879	0.0995667365591713	0.410802642873471	0.000708421389120455	0.0060001013162014	0	0
P20109_148_R1	0.087337089960263	0	0.270111671092437	0.0533281028794875	0.0626060890294147	0.495012466569937	0	0.0316045804684617	0	0
P20109_149_R1	0.049934551856147	0	0.234236734066068	0.0329627770961938	0.0723802728917382	0.549529866467131	0.0114091295979229	0.0495466680247986	0	0
P20109_150_R1	0.0560134165555006	0	0.425817523793319	0.0447495462528418	0.100466808926198	0.319293377671244	0.000154832159444466	0.0526136488572485	0.00089084578420244	0
P20109_152_R1	0.00884150824342713	0.00298100370471302	0.302763164389086	0.0223390187059916	0.125258298270684	0.489878138971661	0.000731413183920713	0.0472074545305175	0	0
P20109_153_R1	0.065541263373307	0	0.331430665454947	0.109559076062905	0.0271057138169478	0.440760157374327	0	0.0235764276605503	0.00202669625701612	0
P20109_156_R1	0.0849263003640543	0	0.468901137413453	0.0395116961471506	0.0701986113386554	0.291900315862589	0.0011524269637239	0.0433371334565723	7.23784538015942e-05	0
P20109_157_R1	0.112330981276641	0	0.11917473949241	0.14331309445612	0.0582311093541552	0.516239170305277	0.0105328761438755	0.0276711624904077	0.0125068664811141	0
P20109_158_R1	0.142202618517575	0	0.436239115287823	0.0515773233042194	0.0945673351451661	0.224645358266333	0.00150353651861912	0.0492647129602643	0	0
P20109_159_R1	0.0987350860486189	0	0.31610817356616	0.0431496680200219	0.0661915746145123	0.445271151181726	0.00136569491029867	0.028524568578486	0.000654083080176556	0
P20109_160_R1	0.0754093238391224	0	0.277920075903675	0.104486987087044	0.089186283789487	0.406922702566551	0.00154831375944503	0.0445263130546768	0	0
P20109_161_R1	0.158494059092763	0	0.488385489810168	0.0659484787169044	0.00887058375770801	0.239336216527391	0.00137610081934678	0.0375890712757198	0	0
P20109_162_R1	0.0381045771208924	0	0.301731356820558	0.0249264439093539	0.0773265969417432	0.514330495217934	0.000977710279216422	0.0426028197103031	0	0
P20109_163_R1	0.0656630062608436	0	0.307814626438812	0.0711845124117705	0.0770238217060357	0.434962541673053	0.00134219538667326	0.0410442200149208	0.000965076107890067	0
P20109_164_R1	0.0391478773876102	0	0.19355107702715	0.119955335872377	0.118782835380529	0.509818960065799	0.000324278928487495	0.0184196353380478	0	0
P20109_165_R1	0.0783733970692602	0	0.0930916054758443	0.128209131473535	0.261906849965158	0.411372609093402	0.000866021834896001	0.0261803850879044	0	0
P20109_166_R1	0.075210572173403	0	0.1678298753095	0.050370515998167	0.109533375106094	0.54891197308435	0.0141779534423811	0.0339657348861039	0	0
P20109_167_R1	0.0843593100337819	0	0.335466781915945	0.127465114181086	0.0536335494775922	0.341582483134676	0.00143558303623416	0.0534755945132617	0.00258158370742302	0
P20109_168_R1	0.0104817113578851	0.00564579841017904	0.295469664833128	0.0803331221516437	0.156278733777578	0.413057875061527	0.000321234501212003	0.0365443237671254	0.00186753613972213	0
P20109_169_R1	0.0631291447730298	0	0.287604469487609	0.072691148890218	0.0981378618513282	0.4292951229468	0.013127428704866	0.0360148233461493	0	0
