GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
GLRX2	0.99907711582135	1	0.589528138361929	0.814169964344666	0.965889727360591	0.365524855504212	0.914305331977431	1	0.999728604440739	0.0469982226830011
GLRX3	0.995256728108432	1	0.825836464662435	0.935165219828248	0.939137241688825	0.724320499033568	1	0.999429760344684	0.996326609309734	0.148181296793104
GLRX5	1	1	0.957448364157923	0.9826298687036	0.996474161320376	0.950013867431037	1	1	1	0.0422698099212405
GLS	0.948887707029833	0.986741579003561	0.8641029004605	0.944188476761501	0.965995372152642	0.911475342780158	0.982062431091532	0.967769808346118	0.983014547057652	0.252568071774539
GLS2	0.997820361584361	1	0.998868417611458	0.997699971965176	0.998946472596163	0.998520985508668	1	0.99998254713933	1	0.239902047765736
GLT1D1	1	0.996884178149394	1	1	1	0.934686541923125	1	1	1	0.240569160568797
GLT6D1	1	1	1	1	1	1	1	1	1	0.150409206084984
GLT8D1	0.854798229082449	0.945552183751541	0.0421708889278278	0.448177861673729	0.391600077099427	0.0213731456022711	1	1	1	0.152779405602477
GLT8D2	1	0.999967387463166	0.9997937205098	0.999919499473235	0.99976040420109	1	1	1	1	0.0425421119869891
GLTP	1	1	0.939535413455415	0.997155553723766	0.978552238583152	0.881040977541192	0.995655485861438	1	1	0.150735244628385
GLTPD2	1	0.99999385166394	0.999997082700898	1	1	0.999999533803087	1	0.999999441599561	0.999991359119945	0.0425392877402375
GLUD1	0.995330706062895	1	0.934259428148717	0.985285905081009	0.979424744737232	0.845216559479505	0.999594399268232	1	1	0.238516942705955
GLUD1P2	0.99999459635604	1	0.999918724185258	0.999938152401011	1	1	0.999990761182423	1	0.999986416453102	0.150414073287048
GLUD1P3	0.999071275598448	0.999870000069281	0.998202710686275	0.999115442976474	0.999986825585926	0.997709863949093	1	0.99975135544961	1	0.150443970197299
GLUD2	0.999947395480769	0.999998317574195	0.999967282464186	0.999984973102975	0.999927724387353	0.999682734623219	0.99999212052616	1	0.999984335447596	0.150411168606939
GLUL	1	0.949628105517024	1	1	0.950813571384895	0.22306139384587	0.999935424848413	0.906955671352504	0.977197372315896	0.261895859970414
GLYAT	0.99998378095409	1	1	1	1	1	0.999983552169421	1	1	0.15041359319585
GLYATL1	0.999970973257535	1	1	0.999960698900784	1	0.999971875460275	1	1	1	0.15040974829563
GLYATL1B	1	1	1	0.999932893506913	1	1	1	1	1	0.150409426879559
GLYATL2	1	0.999991813528968	1	1	1	0.99958144411468	1	1	1	0.239902263466669
GLYATL3	1	1	0.999999358297621	0.999999663909531	1	0.999999856367647	1	1	1	0.150409207741053
GLYCAM1	1	1	1	1	1	1	1	1	1	0.0425387208005248
GLYCTK	0.994751882788088	0.999551695301736	0.988717109680336	0.995587673917632	0.989747712194332	0.98543840073549	0.999409734651989	0.996216571198783	1	0.150710840254408
GLYR1	0.981975643080387	0.991126308268832	0.940963831902679	0.989865103657074	0.968437242017395	0.890417793146853	1	1	1	0.152059170313232
GM2A	1	1	0.993476845873929	1	1	0.950586135083361	1	1	1	0.150123062678938
GMCL1	0.990442559250347	1	0.92218155778603	0.956428043683239	0.993767550240297	0.938521546046579	0.98724696059543	1	1	0.243293411888244
GMCL2	0.999997767724237	1	0.999997718113078	1	1	0.999999452491846	1	1	1	0.150409242247652
GMDS	1	0.991970138525035	0.973038232505302	0.992521937292855	0.992142886250467	0.935681231047505	1	1	0.997843850801765	0.242083531019552
GMEB1	0.998123595693274	0.998930997712678	0.993998519336717	0.999052521432206	0.99570949113091	0.98482343543805	1	0.9958377169479	0.999227652407129	0.150636828333745
GMEB2	0.987375357604612	1	0.973769264176622	0.984640004032155	0.986562051915458	0.958942934749361	1	0.991095718016369	1	0.150577811123296
GMFB	0.992872971347116	0.998377767622564	0.992215856270814	0.996267791084181	0.999500653795137	0.982879783906321	0.997790501817611	0.995555201789426	1	0.241161743737815
GMFG	0.935144369858164	1	0.100851373603471	0.459190944151898	0.486409158929105	5.00365640663169e-06	1	1	1	0.037407581541655
GMIP	0.953295861885477	0.944119840723488	0.763249966999153	0.992297553289861	0.80701819175148	0.399362717515385	1	1	0.984333805862528	0.161051855714757
GML	0.999993369298337	0.999945341034774	0.999597496491498	1	0.999701307573528	0.999963690552153	0.999992063064842	1	0.999958536522647	0.239925765128421
GMNC	1	1	1	0.999999104413841	1	0.999999951818646	0.999998745611097	0.999999959049786	0.999997918860994	0.239886948329877
GMNN	1	0.997141685894422	0.978487010947405	0.987043785455781	0.994636788432769	0.980223082086684	0.997019625723664	0.993005641635524	1	0.151798133161637
GMPPA	0.994093353824675	0.992432349370962	0.966423803092134	0.990289281552115	0.98129549188688	0.936545912876319	1	0.999065186702085	1	0.241985131340537
GMPPB	0.996902375799419	0.994492776276165	0.994145170901525	0.996844541997405	0.995005061539375	0.986695509507108	1	0.998448722913166	0.999556928163372	0.151794771345572
GMPR	0.999015687820352	0.99993072068832	0.999567065090366	0.999178979680024	0.999161701706474	0.98937635999261	1	0.997866443595464	1	0.150465431086724
GMPR2	0.988225320260545	1	0.685768000506422	0.93131887979948	0.852613565952099	0.397538925127905	1	1	1	0.144800236521288
GMPS	0.999981596996011	1	0.965629129240583	0.985527804457353	0.988951182550644	0.950391391177533	1	0.99997270466463	1	0.149998618545891
GNA11	0.991868311788145	1	0.995683090415046	1	0.996649776206839	0.955027910751928	1	1	0.998303299141053	0.0425041740062584
GNA12	0.990131796659075	0.999718833026462	0.991092211082834	1	0.994419749029937	0.966295975079489	1	0.999610443856613	0.999226135164435	0.239964981875718
GNA13	0.972423736298269	1	0.902851851790472	0.95178399219588	0.980901262201993	0.837164557464944	0.977206576033839	0.933414323719967	0.99323758122374	0.156014178716092
GNA14	1	0.999968431869626	1	0.999926641860696	1	0.999929922603427	1	0.99996272310917	1	0.042541753195787
GNA14.AS1	1	1	1	1	1	1	1	1	1	0.150409206084984
GNA15	1	0.98810865078424	1	1	0.986258421350325	0.465412274336959	1	0.956166445282699	1	0.149506741472528
GNAI1	0.999765392510368	1	0.997419450015067	0.99893331520479	1	0.996722288955302	1	0.998971970621663	1	0.0425394218842507
GNAI2	1	0.943616792689453	0.471648385170549	1	0.512165117289502	0.000734706667311805	1	1	1	0.151554469427343
GNAI3	1	1	0.942822708219907	0.988503679335011	0.988239124984628	0.875013595909137	0.987332900018141	0.991554458424922	1	0.152661030399736
GNAL	1	1	0.999720475203736	1	0.997666652322203	0.999981804923523	0.999997916598273	0.999959786439543	1	0.239927201910154
GNAO1	1	0.998273284628537	0.967496060845972	1	0.985943209956166	0.990243694667886	1	0.998056412598009	0.994943004575072	0.151188924827562
GNAQ	0.998888158645665	0.999344334691919	0.989816890970501	0.990505381241028	1	0.958209714640957	0.995345842246966	0.994687398670481	1	0.241974460493095
GNAS	0.0753856413331326	0.718051300090803	2.35888651311485e-07	0.086476414319589	0.00431029378909877	3.4184629415453e-19	1	1	1	0.257230112340015
GNAS.AS1	0.999929801935734	1	0.999984037995471	1	0.999956417243598	0.99999423362677	1	1	1	0.150410373329372
GNAT1	1	1	0.999985679908697	1	1	1	0.999938356750901	0.999996724148316	1	0.0425438385301888
GNAT2	1	1	0.9999754102585	1	0.999827933336938	0.99992843966794	1	1	1	0.0425395199276405
GNAT3	1	1	1	1	1	1	1	1	1	0.239886492233837
GNAZ	0.996742649156564	1	0.997569075815029	0.996556820156844	0.997364697231268	0.995516662055258	0.996986898594724	0.999694481816743	1	0.0427507227841647
GNB1	0.850615903616714	0.849959053853244	0.131401304107363	0.978881471783744	0.256917653288785	5.78469942968062e-05	1	1	1	0.185050332352506
GNB1L	0.999986104934361	1	0.998519327906502	0.999417913268191	0.999036344308421	0.998630571040042	1	1	1	0.150406314148607
GNB2	1	0.992794656099774	0.939284782478522	1	0.909687868024386	0.66033465311715	1	1	1	0.149517333188602
GNB3	0.998353208462881	0.999383504095837	0.999460065087433	0.99782635960565	0.998794478044108	0.998221750339033	1	0.999413182154337	0.999939984883908	0.150554321192761
GNB4	0.99864475438637	1	0.993614480138818	1	1	0.94521839448215	0.996769699068044	1	1	0.240492082290828
GNB5	0.839402960315236	1	0.793805169482942	0.893877105781241	0.955281823458257	0.866488481326483	0.985145241898857	1	0.999220452914617	0.154052898046125
GNE	0.99609274755977	0.999765986888877	0.994233953123997	0.997886628859074	0.997120764027131	0.98853774232419	0.999100588388788	0.995867539376925	0.9992466076946	0.150747742351682
GNG10	1	1	0.989467456347872	0.996410545362441	1	0.958214761795915	0.996575421212788	1	1	0.150808195370454
GNG11	0.997094695971945	1	0.997062799347928	0.984167529504892	0.99907125305886	0.993526819850387	0.991904306382933	0.997498449881235	1	0.152423290981818
GNG12	0.999994948578404	1	1	1	1	0.999985368073988	0.999999128551201	0.999999068947785	1	0.150409558947402
GNG12.AS1	1	1	1	0.999996154343201	1	0.999998137855488	1	1	1	0.239886493271319
GNG13	1	1	1	0.999996272337774	0.999998847373364	1	1	0.999996758607064	0.99999932948058	0.150409280011775
GNG2	1	0.997070876880814	0.9102217767296	1	0.936185029790264	0.925387233183964	1	1	1	0.240165942912482
GNG3	0.998021117488761	0.999652865498797	0.999403772278081	1	0.999865380415104	0.998985241066651	1	1	1	0.0425725648936065
GNG4	1	0.999922988344428	0.999962340832187	1	0.999890605524874	1	1	0.999996778493811	0.999833291486325	0.150430205567417
GNG5	1	1	0.915338001335862	0.985623486125849	1	0.778672929446977	0.990768378944284	1	1	0.240109550807015
GNG7	0.981934884404925	0.997991022951433	0.996428522011974	1	0.99880461591186	0.99308790973915	0.999840840529522	0.999386886662806	1	0.0428208306226596
GNG8	0.998194948300799	0.999789190399531	1	0.999803420322459	1	1	1	0.999867803472028	1	0.150480421463143
GNGT1	1	1	1	1	1	1	1	1	1	0.150409206084984
GNGT2	1	0.996485727981755	0.974870661846944	1	0.97853565666903	0.957429491255506	1	1	1	0.150979017806544
