Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
P20109_175_R1	0.0636474941496861	0.0156801219849942	0	0.268307734793324	0.0130361681980927	0	0.0198206834243106	0.0156825417281156	0	0.111453904359063	0.0956142517190256	0.00493819853504688	0.363583102584559	0	0	0.00893408814541667	0	0.00158114369652171	0	0.017720566681844	0	0	9999	0.704551229926527	0.726078740813384
P20109_176_R1	0.105696514391126	0	0	0.334812290568338	0	0.0345514216225699	0	0.0260386692133701	0.0133319822470936	0	0.0641812432081464	0.0936687535469862	0.32264684819996	0	0	0.0044373074022636	0	0.000161105056228377	0	0.000473864543917475	0	0	9999	0.655656063835462	0.761164430141151
P20109_178_R1	0.0150206944157204	0.0124632589848812	0	0.195390693570583	0.0107414448940137	0	0.0316385415242851	0.0223201429171146	0	0	0.0129342010761101	0.0378683724405325	0.603004380067374	0	0	0.00773045229991014	0	0	0	0.0508878178094755	0	0	9999	0.682575677742249	0.737446164883017
P20109_179_R1	0.081257844708088	0	0	0.240177577497642	0.000893676073764215	0	0.0173452391098584	0.0215508326331666	0	0.00742604818688741	0.0224989850441033	0.087556732539087	0.443712266409982	0	0	0.005148498303071	0	0.00198312536585524	0	0.0704491741284952	0	0	9999	0.630353016535805	0.781485111164077
P20109_180_R1	0.051901025396167	0.00373957597952416	0	0.252153607698378	0.0324863449590327	0.00874949714922506	0.0588864593616526	0.00726706325306221	0	0	0.128145918067142	0.0207848413855977	0.405040625613279	0	0	0.00443510300022703	0	0.00149686353022913	0	0.024913074606483	0	0	9999	0.644146762226873	0.772829346963806
P20109_181_R1	0.0126854104035938	0.0189786069049218	0.00348117744614305	0.181488440351106	0.00953327680914025	0	0.0194666470492153	0.00696429042265879	0	0.020224150809964	0.0390539675398917	0.00634594687042424	0.670980150504954	0	0	0.00140681137933271	0	0.000468288073694157	0	0.00892283543496098	0	0	9999	0.689524024048734	0.727012015416145
P20109_182_R1	0.0355840419156819	0.0542322778779033	0	0.210969751718344	0.0164361168431822	0.018257072519988	0.049417208862276	0.0324693705602284	0	0.0531741942156741	0.0111511625753218	0.118941493926665	0.343174960467903	0	0	0.00273860003369824	0	0.00183614092142092	0	0.0505902788066315	0.00102732875508111	0	9999	0.569599676474431	0.8220928123523
P20109_183_R1	0.0552509717545013	0.00810059868956132	0	0.280469824718696	0.0457031520447693	0	0.0205278755132978	0.0262751428757211	0.00179742607903695	0	0.0217720041973763	0.0484448430981205	0.466583913864508	0	0	0.00249992762143808	0	0.000357751693699162	0	0.0210054054581236	0.00121116239115093	0	9999	0.642909010621285	0.772950451499491
P20109_184_R1	0.00925445325477447	0.0206701047102558	0	0.464847845213248	0	0	0.00902284820375306	0.0542407218058868	0	0.0915714777367143	0.00137929707654302	0.0969004566929128	0.187485267087469	0	0	0.00164167236627147	0	0.00102461728159137	0	0.0610770277826026	0.000884210787977435	0	9999	0.673182680788755	0.741304791352307
P20109_185_R1	0.0860436627129524	0.0358717979531522	0	0.36399031219094	0	0	0.0237951893329358	0.0271216074778402	0	0.000437406878937447	0.0367049784782075	0.0444673650280294	0.360704358436538	0	0	0.00325025728877616	0	0.000803454253513037	0	0.0168096099681785	0	0	9999	0.620083645864685	0.79000323276743
