"","log2FoldChange","pvalue"
"HSPA14",-0.208344188079007,1.8025074609094e-05
"RPL30",-0.331561395260199,1.80844312018747e-05
"FAM13A-AS1",-0.411195433451826,1.82419305144398e-05
"TMEM88",-1.18813598839612,1.83538064960431e-05
"THUMPD3-AS1",-0.368731983755127,1.87267305280686e-05
"RTP5",1.0355359531662,1.87958554763763e-05
"N4BP1",0.169128717808383,1.8925436487885e-05
"RAB6B",-1.12109656124225,1.90555906761626e-05
"NCR1",0.600929619585935,1.9397324462134e-05
"RRAD",-1.57546892917061,1.94899786122542e-05
"SYTL4",-1.08411228138364,1.958167950328e-05
"RABGEF1",-0.18624722766728,1.9895308186079e-05
"ZCWPW1",-0.34247634943626,2.03812272365667e-05
"SLC9A3R1",0.315079209969048,2.02851585090471e-05
"GPR153",0.682868438964549,2.0310789273137e-05
"GALNT10",0.255274792384165,2.01981936250939e-05
"AKAP5",0.857827603102144,2.00471505196923e-05
"CXorf40B",-0.275635656986428,2.03434340340923e-05
"PPP1R3E",-0.471438050301663,2.03493614236862e-05
"TNIP3",0.757941740425395,2.11430627169227e-05
"MRPL32",-0.340859087378322,2.1158994434646e-05
"PRF1",0.601567304140461,2.15097797105665e-05
"POLI",-0.431937768646408,2.15781324051948e-05
"SYNE2",0.392905717055047,2.18944395552458e-05
"COA5",-0.316184961117609,2.23145749409903e-05
"GGT7",-0.362887034758346,2.25900983991657e-05
"LRRC70",-0.822615155075025,2.25628152020473e-05
"TNFRSF9",0.666675171229117,2.28018419104923e-05
"IDH2",0.334799328526019,2.29391178497321e-05
"HIRA",0.244687029935546,2.30621235951463e-05
"CXorf40A",-0.692049585905854,2.34891947926011e-05
"ENPP5",0.594272944491789,2.40265022173952e-05
"LINC00599",4.49154015967361,2.41289811987569e-05
"ARL5B",-0.75378170711128,2.42774783306297e-05
"IFT57",-0.355647537583707,2.44382291474678e-05
"THOC1",-0.327121228097585,2.46196551376668e-05
"TFDP1",0.209583792270792,2.4611827343273e-05
"WFDC21P",-0.867240154697884,2.52761021925016e-05
"ODR4",-0.260343138660817,2.55236247040248e-05
"TIGD5",0.424601696707753,2.54932259975053e-05
"RPS15A",-0.339366499794181,2.57103592469448e-05
"MUC16",1.21280199364071,2.57801096293723e-05
"ANKRD55",-0.949418338143238,2.59283961481931e-05
"THUMPD2",-0.296315806112926,2.61568567048015e-05
"GJB2",-2.87302465337199,2.61723701460189e-05
"SF3B4",0.268696094024424,2.66161424865502e-05
"TWISTNB",-0.505454305998638,2.72507964809329e-05
"S1PR5",0.646492989600599,2.75567527819248e-05
"MFSD2B",-1.29054823649087,2.75128127498916e-05
"TOGARAM2",0.547970731111542,2.7854592110983e-05
"IFT74",-0.288172810540698,2.85742765681835e-05
"MED31",-0.353625380594049,2.85390645198512e-05
"VIL1",-1.18008627916053,2.8442227788436e-05
"CLSTN1",0.262704009648496,2.85883339254099e-05
"KIR3DL2",1.0158711901058,2.82493117267502e-05
"SNHG1",-0.577944855192543,2.84051153837942e-05
"CATIP-AS1",-0.950559904409366,2.91710846721568e-05
"ZNF674-AS1",-0.388100750352283,2.9315814732148e-05
"PDE8A",-0.296722553265658,2.9868567471509e-05
"GSTM2",-0.683613450224098,2.98017477299392e-05
"ACSBG1",-1.17975242567548,3.07197943002656e-05
"SLC5A6",-0.378518209185127,3.06969471783078e-05
"ACRBP",-0.409100214941872,3.11780613187394e-05
"AP1M2",-1.25388693069187,3.11656297244846e-05
"CCDC167",0.433093895769688,3.12000567978688e-05
"CHRNB1",0.33790834547012,3.15560207317087e-05
"PHF2",0.163702287153266,3.1523999937834e-05
"BEX2",-0.455860587110078,3.16814831389986e-05
"RACGAP1",0.256116764968189,3.18897266067334e-05
"C11orf96",-1.6986264493951,3.31131299741882e-05
"TRIM13",-0.346500799708148,3.30366406299631e-05
"THAP9-AS1",-0.393290291333125,3.4094533914991e-05
"TMEM178B",1.13249965880235,3.43361751482557e-05
"GZMH",0.792949328226718,3.45521239544693e-05
"IFI44",-0.698605365629293,3.45997458602659e-05
"JCHAIN",1.27317427181785,3.5089115581141e-05
"RASGEF1A",0.475404274775469,3.54919309964084e-05
"GZMB",0.631111577816871,3.60613207225532e-05
"HYOU1",0.286975789224276,3.60780599731827e-05
"NUP35",-0.29839085469389,3.59059143583867e-05
"MSL3",-0.214448712361296,3.61969231380703e-05
"UQCRB",-0.281759889844784,3.65961405360058e-05
