"","X","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"188","CRYZL1","CRYZL1",1.04415175902573,3.31398425039325e-15,5.15254040632951e-14,"group2-group1"
"193","DNAJC6","DNAJC6",1.16066835438629,4.36142730664144e-15,6.60541555301188e-14,"group2-group1"
"195","GADD45GIP1","GADD45GIP1",0.728472583972889,6.13934910440538e-15,9.20272688829585e-14,"group2-group1"
"197","GLRX5","GLRX5",1.02573740433501,7.42805954649936e-15,1.10214304844759e-13,"group2-group1"
"200","IPCEF1","IPCEF1",1.07035841870746,7.68751723237736e-15,1.12353064351195e-13,"group2-group1"
"202","DOK1","DOK1",1.19767898086942,8.80514120290476e-15,1.27413008594508e-13,"group2-group1"
"204","DTYMK","DTYMK",1.01435709829303,1.05221188379376e-14,1.50765457663194e-13,"group2-group1"
"207","DAAM1","DAAM1",0.943832326562186,1.09873198482482e-14,1.5514944887164e-13,"group2-group1"
"208","CCN2","CCN2",0.614520610574944,1.17986505464531e-14,1.65805074746549e-13,"group2-group1"
"210","GMFG","GMFG",0.909347565886199,1.35824796920398e-14,1.89055181618249e-13,"group2-group1"
"211","AXIN1","AXIN1",0.76182104049293,1.48393821815638e-14,2.05571156951237e-13,"group2-group1"
"214","GGCT","GGCT",0.756529984784495,1.76224334281754e-14,2.40702677152134e-13,"group2-group1"
"217","BRAP","BRAP",0.84882547397612,2.03897693514242e-14,2.74651132784391e-13,"group2-group1"
"219","L3HYPDH","L3HYPDH",1.00299037817613,2.35279156042981e-14,3.14027841604399e-13,"group2-group1"
"220","METAP1D","METAP1D",1.11409741866468,2.3680474991457e-14,3.14627401818312e-13,"group2-group1"
"221","F11R","F11R",0.459374010519693,2.72883607059233e-14,3.5931575624235e-13,"group2-group1"
"222","IL7","IL7",0.873296654096455,2.72898042715709e-14,3.5931575624235e-13,"group2-group1"
"224","IGBP1","IGBP1",1.04103071809,2.94985866150326e-14,3.84930217302412e-13,"group2-group1"
"225","HNRNPK","HNRNPK",1.20343764271164,3.16535400482531e-14,4.11214655826862e-13,"group2-group1"
"226","EIF4B","EIF4B",1.11280143747996,3.29076329393147e-14,4.25615093281491e-13,"group2-group1"
"235","HBEGF","HBEGF",0.689516098779068,6.13303597391984e-14,7.62845283053945e-13,"group2-group1"
"236","GPI","GPI",0.793757694224386,6.21144590749262e-14,7.6932442320343e-13,"group2-group1"
"237","CC2D1A","CC2D1A",0.753304975733967,7.03322633008036e-14,8.67431247376578e-13,"group2-group1"
