"","X","Actinobacteria","Bacteroidetes","Cyanobacteria","Elusimicrobia","Epsilonbacteraeota","Firmicutes","Fusobacteria","Kiritimatiellaeota","Lentisphaerae","Proteobacteria","Spirochaetes","Synergistetes","Tenericutes","Verrucomicrobia"
"77",1833,0.00128061469505363,0.203457659676645,0,0,0,0.664959180406595,0.0970065631503122,0,0,0.0332959820713943,0,0,0,0
"78",1842,0.0358572114615015,0.357451576756843,0,0,0,0.383384024331679,0,0,0,0.223307187449976,0,0,0,0
"79",1862,0.0212902193052665,0.449335681126941,0.00256122939010725,0,0,0.513526492716504,0.00112053785817192,0,0,0.0097646870497839,0,0.00208099887946214,0.000160076836881703,0.000160076836881703
"80",1866,0.0361773651352649,0.0757163438450456,0.000960461021290219,0,0,0.646070113654554,0.000800384184408516,0.00464222826956939,0.0176084520569874,0.217704498159116,0,0,0.000320153673763406,0
"81",1875,0.0560268929085961,0.263966704017929,0,0,0,0.62686089322875,0,0,0.00176084520569874,0.00624299663838643,0,0,0.0374579798303186,0.00768368817032175
"82",1877,0.119417320313751,0.0633904274051545,0,0,0,0.814150792380343,0,0,0,0,0,0,0.00304145990075236,0
"83",1903,0.0577877381142949,0.289578997919001,0,0,0,0.61933728189531,0,0,0,0.0305746758444053,0,0,0,0.00272130622698895
"84",1917,0.00592284296462302,0.475908436049304,0,0,0,0.473827437169842,0.000160076836881703,0,0.000320153673763406,0.0438610533055867,0,0,0,0
"85",1920,0.0630702737313911,0.26876900912438,0,0,0,0.577717304306067,0,0,0,0.0904434128381623,0,0,0,0
"86",1976,0.00624299663838643,0.430766768048663,0,0,0,0.516728029454138,0.000640307347526813,0,0,0.0456218985112854,0,0,0,0
"87",1977,0.0212902193052665,0.303825836401473,0.00928445653913879,0.0139266848087082,0.0262526012485993,0.521370257723707,0,0.000960461021290219,0.00640307347526813,0.0749159596606371,0.0211301424683848,0,0.000640307347526813,0
"88",1985,0.0182487594045142,0.141988154314071,0.00256122939010725,0,0,0.82423563310389,0,0,0,0.0128061469505363,0,0,0,0.000160076836881703
"89",1989,0.0427405154474148,0.119577397150632,0,0,0,0.801344645429806,0.00304145990075236,0,0,0.0332959820713943,0,0,0,0
"90",1990,0.164879141988154,0.158155914839123,0,0,0,0.524091563950696,0.00112053785817192,0,0.000160076836881703,0.00464222826956939,0,0.00592284296462302,0,0.141027693292781
"91",2019,0.131263006242997,0.0526652793340804,0.000960461021290219,0,0.00144069153193533,0.625420201696814,0,0,0.000160076836881703,0.118937089803105,0.0557067392348327,0.00192092204258044,0.0115255322554826,0
"92",2023,0.0528253561709621,0.216263806627181,0,0,0,0.621738434448535,0,0,0,0.108692172242676,0,0,0.00048023051064511,0
"93",2036,0.00768368817032175,0.0950856411077317,0.00960461021290219,0,0,0.838802625260125,0,0,0.000640307347526813,0.0465823595325756,0,0.000800384184408516,0.00048023051064511,0.000320153673763406
"94",2063,0.0347366736033296,0.309268448855451,0,0,0.00912437970225708,0.523771410276933,0,0.000320153673763406,0,0.119257243476869,0.00320153673763406,0.000320153673763406,0,0
"95",2066,0.0388986713622539,0.270369777493197,0,0,0,0.664318873059068,0,0,0.00160076836881703,0.024811909716664,0,0,0,0
"96",2085,0.00656315031214983,0.372979029934368,0,0,0.0048023051064511,0.610533055866816,0,0,0.000320153673763406,0.0048023051064511,0,0,0,0
"97",2097,0.0134464542980631,0.413318392828558,0,0,0,0.566191772050584,0,0,0,0.00112053785817192,0,0,0,0.00592284296462302
"98",5006,0.00928445653913879,0.256923323195134,0.0182487594045142,0,0,0.690571474307668,0,0,0.000160076836881703,0.0212902193052665,0,0,0.00224107571634384,0.00128061469505363
"99",5008,0.0176084520569874,0.328317592444373,0.00304145990075236,0,0,0.63438450456219,0,0,0.000320153673763406,0.0120057627661277,0,0,0.00224107571634384,0.00208099887946214
"100",5010,0.0113654554186009,0.229230030414599,0.00320153673763406,0,0,0.674883944293261,0,0,0.000960461021290219,0.0104049943973107,0,0,0.0590683528093485,0.0108852249079558
"101",5018,0.000960461021290219,0.374739875140067,0,0,0,0.578517688490475,0,0,0,0.0121658396030094,0,0,0,0.0336161357451577
"102",5019,0.0451416680006403,0.166639987193853,0.000640307347526813,0,0,0.767088202337122,0,0,0,0.0180886825676325,0,0,0.00240115255322555,0
"103",5054,0.0150472226668801,0.174163598527293,0.0216103729790299,0,0,0.761645589883144,0,0,0.00048023051064511,0.0216103729790299,0,0,0.00208099887946214,0.00336161357451577
"104",5060,0.0116856090923643,0.366255802785337,0,0,0,0.607651672802945,0,0,0,0.0140867616455899,0,0,0,0.000320153673763406
"105",5065,0.0206499119577397,0.418440851608772,0,0,0,0.511125340163278,0,0,0,0.0478629742276293,0,0,0.00192092204258044,0
"106",5067,0.00176084520569874,0.217544421322235,0.00736353449655835,0,0,0.749159596606371,0,0,0.000160076836881703,0.0209700656315031,0,0,0.00304145990075236,0
"107",5068,0.0843604930366576,0.0866015687530014,0,0,0,0.826956939330879,0,0,0.000160076836881703,0.00192092204258044,0,0,0,0
"108",5070,0.049623819433328,0.259004322074596,0.00352169041139747,0,0,0.660477028973907,0,0,0,0.0240115255322555,0,0,0.00288138306387066,0.00048023051064511
