"","Symbol","CSGene","SASP","CellAge"
"1637","BCL2L12","no","no","yes"
"1638","TMEM47","no","no","yes"
"1639","DYNLRB2","no","no","yes"
"1640","CRISPLD1","no","no","yes"
"1641","TMTC1","no","no","yes"
"1642","CDCA7","no","no","yes"
"1643","KRTAP1-5","no","no","yes"
"1644","HASPIN","no","no","yes"
"1645","TM2D1","no","no","yes"
"1646","CCDC8","no","no","yes"
"1647","BRIP1","no","no","yes"
"1648","EMILIN2","no","no","yes"
"1649","MND1","no","no","yes"
"1650","WDR54","no","no","yes"
"1651","WDR75","no","no","yes"
"1652","CEP78","no","no","yes"
"1653","ANTXR1","no","no","yes"
"1654","MEX3B","no","no","yes"
"1655","LRRC8C","no","no","yes"
"1656","SGIP1","no","no","yes"
"1657","PSMG3","no","no","yes"
"1658","C9orf64","no","no","yes"
"1659","FAM213A","no","no","yes"
"1660","GINS4","no","no","yes"
"1661","CCDC77","no","no","yes"
"1662","CMSS1","no","no","yes"
"1663","CYSTM1","no","no","yes"
"1664","C15orf48","no","no","yes"
"1665","MCM8","no","no","yes"
"1666","PGBD1","no","no","yes"
"1667","GNPTG","no","no","yes"
"1668","SLC9A7","no","no","yes"
"1669","MGARP","no","no","yes"
"1670","PSRC1","no","no","yes"
"1671","C19orf48","no","no","yes"
"1672","BUD13","no","no","yes"
"1673","LMNB2","no","no","yes"
"1674","C1orf198","no","no","yes"
"1675","PLXDC2","no","no","yes"
"1676","MASTL","no","no","yes"
"1677","PRPF38A","no","no","yes"
"1678","NUDCD1","no","no","yes"
"1679","FBXL20","no","no","yes"
"1680","HIST1H2BK","yes","no","yes"
"1681","TANC1","no","no","yes"
"1682","WDR34","no","no","yes"
"1683","SAPCD2","no","no","yes"
"1684","MED30","no","no","yes"
"1685","MCFD2","no","no","yes"
"1686","KNSTRN","no","no","yes"
"1687","ERI1","no","no","yes"
"1688","JPT2","no","no","yes"
"1689","PKDCC","no","no","yes"
"1690","SLFN11","no","no","yes"
"1691","NEXN","no","no","yes"
"1692","LONRF1","no","no","yes"
"1693","NXPE3","no","no","yes"
"1694","CALML4","no","no","yes"
"1695","ARRDC4","no","no","yes"
"1696","ZNF300","no","no","yes"
"1697","LMBRD2","no","no","yes"
"1698","FANK1","no","no","yes"
"1699","TIFA","no","no","yes"
"1700","DNER","no","no","yes"
"1701","SLC38A5","no","no","yes"
"1702","TEX30","no","no","yes"
"1703","PGAP3","no","no","yes"
"1704","HAUS8","no","no","yes"
"1705","HTRA3","no","no","yes"
"1706","ORMDL3","no","no","yes"
"1707","H2AFV","no","no","yes"
"1708","TP53INP1","no","no","yes"
"1709","PPP1R14A","no","no","yes"
"1710","GLMP","no","no","yes"
"1711","MTFR2","no","no","yes"
"1712","CDCA5","no","no","yes"
"1713","AHNAK2","no","no","yes"
"1714","SAAL1","no","no","yes"
"1715","CYP2U1","no","no","yes"
"1716","PIK3IP1","no","no","yes"
"1717","FBXO32","no","no","yes"
"1718","CGAS","no","no","yes"
"1719","HAUS1","no","no","yes"
"1720","ATG4A","no","no","yes"
"1721","DDIT4L","no","no","yes"
"1722","FAM46B","no","no","yes"
"1723","DIS3L","no","no","yes"
"1724","DHRS1","no","no","yes"
"1725","RMI2","no","no","yes"
"1726","GINM1","no","no","yes"
"1727","TSEN15","no","no","yes"
"1728","FAM129A","no","no","yes"
"1729","RPL39L","no","no","yes"
"1730","SSX2IP","no","no","yes"
"1731","TRIM6","no","no","yes"
"1732","ZNF511","no","no","yes"
"1733","C12orf45","no","no","yes"
"1734","ALKBH2","no","no","yes"
"1735","FRMD6","no","no","yes"
"1736","FOPNL","no","no","yes"
"1737","PAQR4","no","no","yes"
"1738","SLC43A2","no","no","yes"
"1739","CYB5D2","no","no","yes"
"1740","WDR63","no","no","yes"
"1741","TPRG1L","no","no","yes"
"1742","TANGO2","no","no","yes"
"1743","NUP35","no","no","yes"
"1744","UBR3","no","no","yes"
"1745","CCDC58","no","no","yes"
"1746","FAM43A","no","no","yes"
"1747","SPATA18","no","no","yes"
"1748","JMY","no","no","yes"
"1749","PM20D2","no","no","yes"
"1750","DOCK11","no","no","yes"
"1751","SELENOM","no","no","yes"
"1752","BRI3BP","no","no","yes"
"1753","LACC1","no","no","yes"
"1754","CEP128","no","no","yes"
"1755","KIF18B","no","no","yes"
"1756","CCBE1","no","no","yes"
"1757","ANKRD29","no","no","yes"
"1758","C19orf18","no","no","yes"
"1759","ZNF582","no","no","yes"
"1760","CKAP2L","no","no","yes"
"1761","ARL6IP6","no","no","yes"
"1762","SGO2","no","no","yes"
"1763","GPR155","no","no","yes"
"1764","SGO1","no","no","yes"
"1765","CREBRF","no","no","yes"
"1766","MBOAT1","no","no","yes"
"1767","BMT2","no","no","yes"
"1768","CDCA2","no","no","yes"
"1769","ESCO2","no","no","yes"
"1770","LINGO2","no","no","yes"
"1771","ITPRIPL2","no","no","yes"
"1772","ZNF610","no","no","yes"
"1773","APCDD1L","no","no","yes"
"1774","CCDC138","no","no","yes"
"1775","RNF168","no","no","yes"
"1776","PRICKLE2","no","no","yes"
"1777","ADGRA3","no","no","yes"
"1778","OLFML2A","no","no","yes"
"1779","ABHD3","no","no","yes"
"1780","ZNF367","no","no","yes"
"1781","PLPP4","no","no","yes"
"1782","RPL22L1","no","no","yes"
"1783","PRIMPOL","no","no","yes"
"1784","CMYA5","no","no","yes"
"1785","TUBB","no","no","yes"
"1786","FAM219A","no","no","yes"
"1787","SAMD9L","no","no","yes"
"1788","PLAC9","no","no","yes"
"1789","HYLS1","no","no","yes"
"1790","CYB561A3","no","no","yes"
"1791","DDIAS","no","no","yes"
"1792","SKA1","no","no","yes"
"1793","OTUD1","no","no","yes"
"1794","HNRNPA3","no","no","yes"
"1795","SKA3","no","no","yes"
"1796","CPNE2","no","no","yes"
"1797","TMEM217","no","no","yes"
"1798","RBM24","no","no","yes"
"1799","DAGLB","no","no","yes"
"1800","SCUBE3","no","no","yes"
"1801","MAMDC2","no","no","yes"
"1802","ASPM","no","no","yes"
"1803","NAP1L5","no","no","yes"
"1804","SLC25A45","no","no","yes"
"1805","PGM2L1","no","no","yes"
"1806","CD163L1","no","no","yes"
"1807","GAS2L3","no","no","yes"
"1808","SLC46A3","no","no","yes"
"1809","CEP57L1","no","no","yes"
"1810","DCBLD1","no","no","yes"
"1811","TUSC1","no","no","yes"
"1812","TRIM59","no","no","yes"
"1813","TMEM119","no","no","yes"
"1814","C1orf174","no","no","yes"
"1815","NRBP2","no","no","yes"
"1816","NCKAP5","no","no","yes"
"1817","CAVIN4","no","no","yes"
"1818","SERINC2","no","no","yes"
"1819","RBPMS2","no","no","yes"
"1820","SKA2","no","no","yes"
"1821","GEN1","no","no","yes"
"1822","CASTOR3","no","no","yes"
"1823","RFLNB","no","no","yes"
"1824","FAM111B","no","no","yes"
"1825","KCTD4","no","no","yes"
"1826","CENPW","no","no","yes"
"1827","C11orf96","no","no","yes"
"1828","CCDC9B","no","no","yes"
"1829","ZNF662","no","no","yes"
"1830","C5orf46","no","no","yes"
"1831","ARHGEF37","no","no","yes"
"1832","SHC4","no","no","yes"
"1833","C8orf59","no","no","yes"
"1834","SAMD12","no","no","yes"
"1835","HACD4","no","no","yes"
"1836","MXRA7","no","no","yes"
"1837","MZT1","no","no","yes"
"1838","TSPAN11","no","no","yes"
"1839","IGIP","no","no","yes"
"1840","EIF3CL","no","no","yes"
"1841","FAM72D","no","no","yes"
"1842","C8orf88","no","no","yes"
"1843","TMEM178B","no","no","yes"
