"","Gene_name","LFC_1_Ctrl","FDR_1_Ctrl","LFC_2_Ctrl","FDR_2_Ctrl","LFC_2_1","FDR_2_1"
"ADGRA3","ADGRA3",NA,NA,-0.551316119804632,0.0164523887662976,NA,NA
"ADGRB1","ADGRB1",NA,NA,NA,NA,NA,NA
"ADGRB2","ADGRB2",NA,NA,NA,NA,NA,NA
"ADGRB3","ADGRB3",NA,NA,NA,NA,NA,NA
"ADGRD1","ADGRD1",NA,NA,NA,NA,NA,NA
"ADGRD2","ADGRD2",NA,NA,NA,NA,NA,NA
"ADGRE1","ADGRE1",NA,NA,NA,NA,NA,NA
"ADGRE2","ADGRE2",NA,NA,NA,NA,NA,NA
"ADGRE3","ADGRE3",NA,NA,NA,NA,NA,NA
"ADGRE4P","ADGRE4P",-0.686261156182657,0.0444920658770816,-0.807207317900731,0.0111604066880807,NA,NA
"ADGRE5","ADGRE5",NA,NA,NA,NA,NA,NA
"ADGRF1","ADGRF1",NA,NA,NA,NA,NA,NA
"ADGRF2","ADGRF2",NA,NA,NA,NA,NA,NA
"ADGRF3","ADGRF3",NA,NA,NA,NA,NA,NA
"ADGRF4","ADGRF4",NA,NA,NA,NA,NA,NA
"ADGRF5","ADGRF5",NA,NA,NA,NA,NA,NA
"ADGRG1","ADGRG1",0.733065564720308,0.000191595167719661,1.12592905132886,2.75462908562614e-10,0.392863486608549,0.00564024639559547
