"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","CSGene","CellAge","SASAP","Synaptic_proteins"
"SAMD9L","SAMD9L",0.808436566430275,3.67481197610247e-15,5.6534081084987e-14,"group2-group1",NA,"yes",NA,NA
"SERPINF1","SERPINF1",0.0955590677050827,0.00284156128772452,0.00941710163720948,"group2-group1",NA,"yes",NA,NA
"SGSH","SGSH",0.380018091160455,9.828663684705e-05,0.000416969288104393,"group2-group1",NA,"yes",NA,NA
"SMAD2","SMAD2",0.308107345435986,3.7648319494208e-06,1.93402527032636e-05,"group2-group1","yes",NA,NA,NA
"SMAD3","SMAD3",0.525610416796386,8.29545916236883e-10,6.36420659622155e-09,"group2-group1","yes",NA,NA,NA
"SMARCA2","SMARCA2",0.414960012289241,0.0144659468006373,0.0389355087460983,"group2-group1","yes",NA,NA,NA
"SNRPB2","SNRPB2",0.380655493032755,0.00162450650555854,0.00567315712753598,"group2-group1",NA,"yes",NA,NA
"SNX5","SNX5",0.178449361212686,0.000101303193643805,0.000428522771376039,"group2-group1",NA,"yes",NA,"yes"
"SOD2","SOD2",0.17538343955809,0.0173113514032203,0.0453821346651236,"group2-group1","yes",NA,NA,"yes"
"SORT1","SORT1",0.280835301593048,1.05797235250447e-06,5.86803261170884e-06,"group2-group1",NA,"yes",NA,"yes"
"SPARC","SPARC",1.00404816150353,1.59723378177118e-14,2.20222374722507e-13,"group2-group1",NA,"yes",NA,NA
"TACC3","TACC3",1.49532209419892,2.47822644211221e-19,1.0811725209394e-17,"group2-group1",NA,"yes",NA,NA
"TADA3","TADA3",0.348664056498465,0.000158636213687727,0.000652171100716212,"group2-group1","yes",NA,NA,NA
"TCOF1","TCOF1",0.273740275806912,0.000619527892682424,0.00231459492721069,"group2-group1",NA,"yes",NA,NA
"TGFB1","TGFB1",0.257447356284158,3.84951285300177e-06,1.97405720514459e-05,"group2-group1","yes",NA,NA,NA
"TGM2","TGM2",0.51731748406794,2.51895764888241e-05,0.000117430832658426,"group2-group1",NA,"yes",NA,"yes"
"TIMP3","TIMP3",0.74946918959263,5.3961171907244e-10,4.24001358830307e-09,"group2-group1",NA,"yes",NA,NA
"TNFSF13","TNFSF13",0.14854887459025,0.010633428247757,0.0297146374456918,"group2-group1","yes",NA,NA,NA
"TP53","TP53",0.404310991305826,0.00411857736703297,0.0131139451457924,"group2-group1","yes",NA,NA,NA
"TSC22D1","TSC22D1",0.342679640272693,0.0168427863438759,0.0443926640966179,"group2-group1","yes","yes",NA,NA
"TXN","TXN",0.504564417044331,3.8775438963718e-11,3.38330173405814e-10,"group2-group1","yes",NA,NA,"yes"
