Abundances..Normalized...F16..127C..Sample..5A	Abundances..Normalized...F16..127N..Sample..5B	Abundances..Normalized...F16..128C..Sample..2B	Abundances..Normalized...F16..129C..Sample..2A	Abundances..Normalized...F16..130C..Sample..1A	Abundances..Normalized...F16..130N..Sample..4B	Abundances..Normalized...F16..131N..Sample..1B	Abundances..Normalized...F16..132C..Sample..4A	Abundances..Normalized...F16..132N..Sample..6A	Abundances..Normalized...F16..133C..Sample..3A	Abundances..Normalized...F16..133N..Sample..6B	Abundances..Normalized...F16..134N..Sample..3B
7060478.80977834	7054751.44052019	7248318.10257877	6959611.26979096	6999531.2160056	6780700.62023323	7516705.05014007	6646285.75970961	7264778.30284663	6381224.91328274	7167454.59890239	7052981.4599821
895539.2877395	952794.887877003	924375.380276606	758042.940411355	689825.318327071	838681.953550645	699180.424253831	736789.781246645	830045.311596382	734297.355528621	810859.073387067	800428.884221973
10266439.6926495	10726398.6476038	11473021.6606756	11070985.1905546	10575119.5863986	10289793.7060874	10611491.0965058	10270244.7856688	10975513.7472466	9855906.98576558	11139624.5495418	10983265.9087953
17771433.5564046	17643701.1097466	16090948.562747	18473127.8673017	16910953.7313161	18998721.153134	15100632.5361341	22022863.546356	14996518.7711044	14782832.4736656	16612918.8035327	16232386.9745936
6702851.00681413	7360788.58892753	6911937.3028364	6179442.41306738	6251903.14430873	6265821.76324286	6263485.34989418	6130361.59113219	6128498.53239719	5602174.29681747	6601452.83121742	6194729.04282354
4260708.11382978	4325366.6369469	4801195.33574781	5124849.16655721	6606670.23264037	4232638.18492231	6940555.30038356	4409710.66150173	4834351.97838658	5948528.29473501	4995882.58263765	6133515.58006866
4260708.11382978	4325366.6369469	4801195.33574781	5124849.16655721	6606670.23264037	4232638.18492231	6940555.30038356	4409710.66150173	4834351.97838658	5948528.29473501	4995882.58263765	6133515.58006866
4260708.11382978	4325366.6369469	4801195.33574781	5124849.16655721	6606670.23264037	4232638.18492231	6940555.30038356	4409710.66150173	4834351.97838658	5948528.29473501	4995882.58263765	6133515.58006866
4154258.71973993	4245812.44233457	4691863.39227108	4981137.51167757	6365791.83024738	4142826.51198077	6729296.32290178	4272243.37857963	4730323.29975132	5743128.65812856	4791993.94437099	5904120.61118188
4154258.71973993	4245812.44233457	4691863.39227108	4981137.51167757	6365791.83024738	4142826.51198077	6729296.32290178	4272243.37857963	4730323.29975132	5743128.65812856	4791993.94437099	5904120.61118188
4154258.71973993	4245812.44233457	4691863.39227108	4981137.51167757	6365791.83024738	4142826.51198077	6729296.32290178	4272243.37857963	4730323.29975132	5743128.65812856	4791993.94437099	5904120.61118188
4154258.71973993	4245812.44233457	4691863.39227108	4981137.51167757	6365791.83024738	4142826.51198077	6729296.32290178	4272243.37857963	4730323.29975132	5743128.65812856	4791993.94437099	5904120.61118188
4154258.71973993	4245812.44233457	4691863.39227108	4981137.51167757	6365791.83024738	4142826.51198077	6729296.32290178	4272243.37857963	4730323.29975132	5743128.65812856	4791993.94437099	5904120.61118188
3784288.06234758	3826753.14007701	4219128.69710293	4512466.78454322	5854366.93305704	3761380.13096073	6173286.20432982	3938727.4347548	4273534.67348041	5268717.71738688	4379981.52476408	5355959.18928681
3784288.06234758	3826753.14007701	4219128.69710293	4512466.78454322	5854366.93305704	3761380.13096073	6173286.20432982	3938727.4347548	4273534.67348041	5268717.71738688	4379981.52476408	5355959.18928681
646663.485295529	646686.366622719	668960.944306078	654825.696237423	715372.839259113	628345.349262347	721777.31858889	698721.684490831	662871.555848115	674588.135622493	717000.784768069	661167.253758812
5730474.20258023	6051350.48738115	6620393.02559724	5319340.17315809	4432859.59988425	5507329.28436237	4811393.13147452	5059133.49059784	5180814.14826298	3685268.96754416	5265898.89291082	4428261.35736249
