"","x"
"638","SLC27A4"
"639","ITPR1"
"640","ILK"
"641","CRYZ"
"642","PRKACA"
"643","ARHGAP1"
"644","DDX21"
"645","CCT4"
"646","NDUFB10"
"647","VCP"
"648","ATXN10"
"649","CLTC"
"650","MAGT1"
"651","ACTR2"
"652","PGLS"
"653","EIF4B"
"654","UBA7"
"655","PADI4"
"656","DNM1"
"657","CCT2"
"658","PON2"
"659","SH3GL1"
"660","PRKAR1A"
"661","NAP1L1"
"662","SFXN1"
"663","DHRS7B"
"664","GP6"
"665","EHD4"
"666","MAPRE2"
"667","WAPL"
"668","TUBG1"
"669","DLD"
"670","ACTC1"
"671","TUBA1A"
"672","DLAT"
"673","GOT2"
"674","DPP7"
"675","RAB3GAP2"
"676","COX2"
"677","RPL15"
"678","MRC1"
"679","RAB3D"
"680","TAP2"
"681","BIN2"
"682","VTN"
"683","CD44"
"684","COPS6"
"685","SH3BGRL"
"686","EIF3A"
"687","CBX3"
"688","CPT1A"
"689","PPM1F"
"690","VNN2"
"691","NEK9"
"692","PDLIM2"
"693","DBNL"
"694","RPL35A"
"695","TOMM70"
"696","ARHGAP42"
"697","BABAM1"
"698","MLC1"
"699","SLFN14"
"700","NDUFS8"
"701","FN3K"
"702","RTN3"
"703","SLC25A3"
"704","EIF1AX"
"705","TXNDC12"
"706","TMEM63A"
"707","SRSF3"
"708","DDT"
"709","MYO9B"
"710","ACTR3"
"711","CLYBL"
"712","PRKCD"
"713","NAPA"
"714","DDOST"
"715","RAB10"
"716","NANS"
"717","NAP1L4"
"718","CCDC68"
"719","ACO1"
"720","KARS1"
"721","VDAC3"
"722","ARMCX3"
"723","UFM1"
"724","ERLIN2"
"725","EIF3F"
"726","PSMA1"
"727","FDPS"
"728","HSD17B12"
"729","ERO1A"
"730","HNRNPA1"
"731","PTPRE"
"732","SDHB"
"733","USP9X"
"734","DPYD"
"735","SLC10A3"
"736","TMED2"
"737","MGLL"
"738","GORASP2"
"739","ATP8"
"740","CLEC1B"
"741","CAPZB"
"742","PHF5A"
"743","RPS9"
"744","MARCKSL1"
"745","CD55"
"746","CSRP1"
"747","SEPTIN11"
"748","DYNLRB1"
"749","LIMS1"
"750","GNAZ"
"751","HNRNPAB"
"752","CKAP5"
"753","HSP90B1"
"754","HNRNPH1"
"755","FMNL1"
"756","NPEPPS"
"757","CHMP2A"
"758","COX5A"
"759","EEF1D"
"760","MPO"
