"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1349","CHCHD10",1.16331898117238e-35,0.375291694643243,0.645,0.53,2.49729685688276e-31,"CD14+ Mono","CHCHD10"
"1356","UBAC1",4.6271773775454e-35,0.318470342803589,0.279,0.165,9.93316167637671e-31,"CD14+ Mono","UBAC1"
"1362","LARP1",1.77829448181543e-34,0.282795993122815,0.273,0.159,3.81746476411318e-30,"CD14+ Mono","LARP1"
"1363","PTRHD1",2.05441678809515e-34,0.33693778906953,0.395,0.269,4.41021651900385e-30,"CD14+ Mono","PTRHD1"
"1369","BNIP2",8.72703529777106e-34,0.37283240738478,0.485,0.367,1.87343266737251e-29,"CD14+ Mono","BNIP2"
"1373","GMFG",3.18802507550143e-33,0.31221592677916,0.869,0.848,6.84373342957893e-29,"CD14+ Mono","GMFG"
"1385","SNX2",2.36790055939489e-31,0.274424448328164,0.426,0.299,5.08317213085302e-27,"CD14+ Mono","SNX2"
"1401","MAP3K5",3.06440801200669e-30,0.283468182905544,0.259,0.156,6.57836467937475e-26,"CD14+ Mono","MAP3K5"
"1408","LRPAP1",7.83998942934967e-30,0.328125866409086,0.441,0.322,1.68301053079849e-25,"CD14+ Mono","LRPAP1"
"1412","CALCOCO2",1.07926799297496e-29,0.3163287677189,0.441,0.32,2.31686460051935e-25,"CD14+ Mono","CALCOCO2"
"1428","TWF2",8.83566988084908e-28,0.322789526892998,0.555,0.454,1.89675325332187e-23,"CD14+ Mono","TWF2"
"1436","HGS",2.13854833459849e-27,0.369814202275498,0.346,0.238,4.59082170988258e-23,"CD14+ Mono","HGS"
"1465","SYAP1",1.77346346850032e-24,0.297346724005702,0.256,0.163,3.80709402782964e-20,"CD14+ Mono","SYAP1"
"1468","EIF4G1",5.30343658986191e-24,0.29276899057809,0.363,0.263,1.13848873274566e-19,"CD14+ Mono","EIF4G1"
"1471","LRCH4",7.48417764466035e-24,0.334204597502049,0.396,0.295,1.60662841497924e-19,"CD14+ Mono","LRCH4"
"1472","NDUFS6",7.49746523975533e-24,0.30364873884668,0.485,0.385,1.60948086301828e-19,"CD14+ Mono","NDUFS6"
"1487","IQGAP2",4.73375467795394e-22,0.297841232808819,0.443,0.34,1.01619511671637e-17,"CD14+ Mono","IQGAP2"
"1506","ACAA1",2.44080561375922e-20,0.287076064917523,0.408,0.313,5.23967741105691e-16,"CD14+ Mono","ACAA1"
"1527","MINK1",4.25440302417513e-18,0.25752382285456,0.265,0.183,9.13292697199675e-14,"CD14+ Mono","MINK1"
"1536","PRKAR2A",3.28871858793561e-17,0.258727299502537,0.255,0.177,7.05989219272138e-13,"CD14+ Mono","PRKAR2A"
"1542","LAMTOR5",1.14173417806572e-16,0.258764372885888,0.464,0.382,2.45096076005369e-12,"CD14+ Mono","LAMTOR5"
"1547","RAD23B",6.07222694778469e-16,0.287385335312609,0.37,0.293,1.30352495888094e-11,"CD14+ Mono","RAD23B"
"1556","FGD3",4.29457395978414e-15,0.321127768504331,0.495,0.421,9.21916191946861e-11,"CD14+ Mono","FGD3"
"1561","POLR2A",3.74213274468066e-14,0.324525205944046,0.448,0.378,8.03323636300597e-10,"CD14+ Mono","POLR2A"
"1562","ITGAL",5.46792907954497e-14,0.252415073212643,0.404,0.325,1.17380033550592e-09,"CD14+ Mono","ITGAL"
"1574","PSME2",1.82239497212936e-08,0.260980826898293,0.654,0.661,0.000391213528667011,"CD14+ Mono","PSME2"
"1575","CDK5RAP3",6.59538167635752e-08,0.259572741521329,0.486,0.442,0.00141583058446367,"CD14+ Mono","CDK5RAP3"
"1578","CCL5",0,2.17112727296658,0.578,0.092,0,"CD8 T","CCL5"
"1582","GZMA",0,1.22541361753661,0.374,0.053,0,"CD8 T","GZMA"
"1584","KLRK1",0,1.13217146359585,0.492,0.105,0,"CD8 T","KLRK1"
"1589","LYAR",1.34719192126324e-253,0.880679069956967,0.447,0.158,2.8920168973758e-249,"CD8 T","LYAR"
"1590","B2M",9.86737227417835e-253,0.415868219966913,0.999,0.996,2.11822880609787e-248,"CD8 T","B2M"
"1614","PAXX",7.015392143413e-129,0.550444414522496,0.745,0.549,1.50599423142647e-124,"CD8 T","PAXX"
"1637","SH2D1A",7.34920126203387e-78,0.396281912637967,0.297,0.145,1.57765303492081e-73,"CD8 T","SH2D1A"
"1653","CD99",3.46521053467028e-65,0.335848611700784,0.858,0.764,7.4387674547767e-61,"CD8 T","CD99"
"1656","SKAP11",1.13046185458833e-63,0.34559840566491,0.586,0.406,2.42676246324477e-59,"CD8 T","SKAP1"
"1659","LAT1",1.44192150040655e-61,0.298317973477883,0.781,0.565,3.09537288492273e-57,"CD8 T","LAT"
"1661","DNAJB11",4.33071000775269e-59,0.428138184494393,0.814,0.695,9.29673517364271e-55,"CD8 T","DNAJB1"
"1667","NUCB2",2.11638227303158e-56,0.382937866984819,0.469,0.314,4.5432378255169e-52,"CD8 T","NUCB2"
"1676","YWHAQ",6.56649512295956e-50,0.350460803347653,0.604,0.483,1.40962950804573e-45,"CD8 T","YWHAQ"
"1691","CD691",2.42624976108239e-41,0.348357758756177,0.726,0.574,5.20843036211556e-37,"CD8 T","CD69"
"1693","SLC9A3R1",2.96097243510713e-40,0.289600860846691,0.719,0.613,6.35631952644448e-36,"CD8 T","SLC9A3R1"
"1710","GBP1",4.35033566959497e-34,0.273251787303085,0.279,0.179,9.33886558191952e-30,"CD8 T","GBP1"
"1714","CMC1",4.45295192877463e-31,0.335059199928284,0.254,0.162,9.55915190550051e-27,"CD8 T","CMC1"
"1731","CD741",0,3.24631293864301,1,0.833,0,"B","CD74"
"1737","BANK1",0,2.70172727349564,0.957,0.011,0,"B","BANK1"
"1747","SWAP70",0,1.83213072145241,0.846,0.057,0,"B","SWAP70"
"1767","SNX21",0,1.42479754713103,0.867,0.283,0,"B","SNX2"
"1773","CD40",0,1.37944673583833,0.638,0.026,0,"B","CD40"
"1774","BLNK",0,1.35522780550685,0.662,0.016,0,"B","BLNK"
"1775","CD72",0,1.34986629312906,0.512,0.015,0,"B","CD72"
"1790","LYN1",0,1.06249853691425,0.806,0.178,0,"B","LYN"
"1812","FCRL5",0,0.811162249210342,0.302,0.004,0,"B","FCRL5"
"1853","STX71",1.97282513498649e-264,1.0834513526697,0.624,0.149,4.23506371727549e-260,"B","STX7"
"1854","LAT21",5.42381749162956e-254,0.879573741675411,0.577,0.12,1.16433090092812e-249,"B","LAT2"
"1858","HHEX1",6.15488749131248e-233,0.711579911775905,0.457,0.082,1.32126969776005e-228,"B","HHEX"
