"","x"
"897","TMEM40"
"898","EPDR1"
"899","GCLM"
"900","H2AZ2"
"901","NID2"
"902","NDUFA8"
"903","RDH11"
"904","SERPINH1"
"905","FN3KRP"
"906","PON2"
"907","DAPP1"
"908","PRKCA"
"909","IDH3A"
"910","STRN4"
"911","MPIG6B"
"912","GSR"
"913","NCL"
"914","PF4V1"
"915","NKX6-1"
"916","LY6G6F"
"917","ACO2"
"918","SNX12"
"919","LACTB"
"920","ACSS1"
"921","ILK"
"922","NAGK"
"923","F2"
"924","TOMM70"
"925","PGAM5"
"926","RAB27B"
"927","RIC8A"
"928","HEXB"
"929","RANBP1"
"930","DDB1"
"931","GRK2"
"932","TIMP1"
"933","RPS12"
"934","GLRX"
"935","PRAM1"
"936","RPL14"
"937","ARSA"
"938","RTN1"
"939","PSMC4"
"940","PARVB"
"941","PFDN5"
"942","LYZ"
"943","RPL28"
"944","EIF3E"
"945","EIF3K"
"946","APPL2"
"947","PSMB8"
"948","GRPEL1"
"949","SAR1A"
"950","SLC27A4"
"951","SDHA"
"952","ALDH4A1"
"953","EIF4G2"
"954","ZMPSTE24"
"955","GAK"
"956","UBA7"
"957","LCP1"
"958","RAB13"
"959","SOD2"
"960","GP5"
"961","BRK1"
"962","NDUFB1"
"963","TTC1"
"964","OGDH"
"965","KPNA3"
"966","MAPRE1"
"967","VIM"
"968","ALDH1A1"
"969","RPL3"
"970","PSMD3"
"971","SRSF1"
"972","WARS1"
"973","GLS"
"974","STRN"
"975","DNAH9"
"976","CYB561D2"
"977","NPLOC4"
"978","ANXA2"
"979","PCCA"
"980","PLEK"
"981","PEAR1"
"982","GLO1"
"983","TPD52L2"
"984","CMIP"
"985","S100A6"
"986","GTPBP1"
"987","LYPLA2"
"988","CSNK2A1"
"989","HNRNPF"
"990","PPM1G"
"991","AHNAK"
"992","SNX1"
"993","IST1"
"994","FYN"
"995","SNTB1"
"996","MAPK3"
"997","PRUNE1"
"998","MINDY1"
"999","RPLP1"
"1000","PRKG1"
"1001","MICU2"
"1002","ANXA5"
"1003","H2BC13"
"1004","RUVBL2"
"1005","BAX"
"1006","PSMD12"
"1007","IDH2"
"1008","SEC22B"
"1009","APOBR"
"1010","RAP1B"
"1011","STRIP2"
"1012","NDUFS6"
"1013","PROS1"
"1014","GMPPB"
"1015","CLTB"
"1016","SH3BGRL"
"1017","PAFAH1B3"
"1018","NDUFC2-KCTD14"
"1019","ETHE1"
"1020","ADCY6"
"1021","STOML2"
"1022","NENF"
"1023","YOD1"
"1024","TTR"
"1025","LIMS1"
"1026","RAB10"
"1027","RPS18"
"1028","C4B"
"1029","CRYZ"
"1030","AKR1B1"
"1031","LMNB2"
"1032","APOD"
"1033","FXR1"
"1034","MYH14"
"1035","EMILIN1"
"1036","ASAH1"
"1037","TLN2"
"1038","PRKCB"
"1039","EIF4H"
"1040","APOOL"
"1041","EIF1AX"
"1042","ARPC5L"
"1043","EML4"
"1044","NDUFV2"
"1045","RHEB"
"1046","DYNC1I2"
"1047","FEN1"
"1048","AGPS"
"1049","RPL10"
"1050","SH3GL1"
"1051","ALDH6A1"
"1052","THEM6"
"1053","SARS2"
"1054","PAPSS1"
"1055","NCEH1"
"1056","GGA1"
"1057","STX4"
"1058","S100A8"
"1059","CALCOCO1"
"1060","HDHD5"
"1061","DUSP23"
"1062","CAPG"
"1063","RAB18"
"1064","BLVRB"
"1065","PPA1"
"1066","PSMD14"
"1067","RPS23"
"1068","CLPP"
"1069","CREG1"
"1070","SGTA"
"1071","UBQLN1"
"1072","REXO2"
"1073","VAT1"
"1074","ATP5IF1"
"1075","KIAA0513"
"1076","ARMC10"
"1077","PTPN18"
"1078","EPB41"
"1079","CD44"
"1080","TRIM58"
"1081","LSP1"
"1082","TMEM63A"
"1083","TMSB4X"
"1084","PHGDH"
"1085","STT3A"
"1086","ASAP2"
"1087","STING1"
"1088","S100A9"
"1089","RPL21"
"1090","NCKAP1"
"1091","STAT5B"
"1092","COX7C"
"1093","TRIM28"
"1094","C4BPA"
"1095","ICAM2"
"1096","PLPBP"
"1097","HCLS1"
"1098","PLBD1"
"1099","ENG"
"1100","CD14"
"1101","DNAJC13"
"1102","FGD3"
"1103","GRIPAP1"
"1104","RARRES2"
"1105","H2AW"
"1106","RTRAF"
"1107","ADH5"
"1108","ACAT1"
"1109","EZR"
"1110","ETF1"
"1111","NDUFAB1"
"1112","AHCYL1"
"1113","RGS18"
"1114","CASP1"
"1115","TKT"
"1116","VPS13C"
"1117","TTN"
"1118","HMGB1"
"1119","SERPINB10"
"1120","EXOC3L2"
"1121","S100A11"
"1122","PLIN3"
"1123","WASF2"
"1124","CFH"
"1125","EFHD2"
"1126","LRRFIP2"
"1127","MMAB"
"1128","OTUB1"
"1129","RPL35A"
"1130","MPST"
"1131","LIMA1"
"1132","TUBB2B"
"1133","SSR4"
"1134","ILF3"
"1135","PTPN1"
"1136","PPP1R12A"
"1137","APOL1"
"1138","GC"
"1139","HEBP1"
"1140","ISOC2"
"1141","ANPEP"
"1142","CSDE1"
"1143","EIF4B"
"1144","NFKB1"
"1145","APOH"
"1146","DNAJB11"
"1147","SFXN3"
"1148","PRKAR2B"
"1149","KNG1"
"1150","SLC9A9"
"1151","HDAC1"
"1152","CASS4"
"1153","RPS6"
"1154","ACTN3"
"1155","GRN"
"1156","AP3D1"
"1157","A1BG"
"1158","LONP1"
"1159","ANK1"
"1160","NDUFA2"
"1161","LHFPL2"
"1162","PTPRA"
"1163","PSAP"
"1164","STAT2"
"1165","MYO9B"
"1166","CST7"
"1167","SUMF2"
"1168","A2M"
"1169","GNB4"
"1170","NSFL1C"
"1171","ANKS1B"
"1172","CPT1B"
"1173","EPB41L3"
"1174","APRT"
"1175","PTGES3"
"1176","ERLIN1"
"1177","IMPA1"
"1178","TUBB4A"
"1179","HRG"
"1180","TST"
"1181","KHDRBS1"
"1182","RPL35"
"1183","GNAZ"
"1184","C3"
"1185","MYH11"
"1186","C1orf116"
"1187","DARS2"
"1188","CP"
"1189","CDA"
"1190","SLAIN2"
"1191","CYTH2"
"1192","FCGR3A"
"1193","TES"
"1194","ITIH4"
"1195","CTSD"
