"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"RAB27B","RAB27B",2.92894099378882,3.74428319999269e-06,9.68543344564482e-05,"group2-group1"
"FLI1","FLI1",1.53706614906832,3.78547222026019e-06,9.70608359633381e-05,"group2-group1"
"FKBP5","FKBP5",1.98672034161491,3.87396141934813e-06,9.83983437657723e-05,"group2-group1"
"COX5B","COX5B",1.92419767080745,3.90496335163517e-06,9.83983437657723e-05,"group2-group1"
"ANXA3","ANXA3",1.51639860248447,4.14270386139244e-06,0.000103496781084189,"group2-group1"
"CXCL5","CXCL5",2.7801902173913,4.49573122604801e-06,0.000111364596387613,"group2-group1"
"ARHGAP1","ARHGAP1",1.04609860248447,4.59175529636374e-06,0.000112748646493613,"group2-group1"
"DNAJB14","DNAJB14",1.03135947204969,4.62875045474978e-06,0.000112748646493613,"group2-group1"
"VTA1","VTA1",1.97941257763975,5.01366596736097e-06,0.000121115253079307,"group2-group1"
"SULT1A1","SULT1A1",2.11175310559006,5.17455198860306e-06,0.000123977175923662,"group2-group1"
"CD69","CD69",1.65619145962733,5.22580898639632e-06,0.000124187314367776,"group2-group1"
"MPHOSPH8","MPHOSPH8",1.19903804347826,5.98459532760599e-06,0.000140054819197045,"group2-group1"
"VASP","VASP",1.47658198757764,5.98934396155682e-06,0.000140054819197045,"group2-group1"
"ATP6V1F","ATP6V1F",1.38313276397516,6.09509594241386e-06,0.000141396551108537,"group2-group1"
"OTUD6B","OTUD6B",1.28414409937888,6.22034425314622e-06,0.000143165875999578,"group2-group1"
"SDC4","SDC4",1.53533338509317,6.53884339571509e-06,0.000149320619106837,"group2-group1"
"SLA2","SLA2",2.43372204968944,6.83232052266891e-06,0.000154036132439008,"group2-group1"
"LZTFL1","LZTFL1",1.55682686335404,6.85073459359255e-06,0.000154036132439008,"group2-group1"
"PDE5A","PDE5A",1.24759161490683,6.92860773783201e-06,0.000154597865783839,"group2-group1"
"APRT","APRT",1.5457852484472,7.11916239868306e-06,0.000157279031021758,"group2-group1"
"EBAG9","EBAG9",1.75266397515528,7.15638423739096e-06,0.000157279031021758,"group2-group1"
"SERPINB1","SERPINB1",1.01738944099379,7.30245942630569e-06,0.000159291708232026,"group2-group1"
"YWHAQ","YWHAQ",1.20921863354037,7.48254405988285e-06,0.000162010935459538,"group2-group1"
"RGS10","RGS10",1.6187798136646,7.56448046894301e-06,0.000162580708902356,"group2-group1"
"SLC9A3R1","SLC9A3R1",1.35090170807453,8.24584492885821e-06,0.000174759620700761,"group2-group1"
"PLPBP","PLPBP",1.36132329192547,8.25071079599899e-06,0.000174759620700761,"group2-group1"
"GMFG","GMFG",1.51283121118012,8.41854563589775e-06,0.000177031718659922,"group2-group1"
"TMED8","TMED8",1.75751723602484,8.49526033855309e-06,0.000177189530642899,"group2-group1"
"HSPB1","HSPB1",1.98692562111801,8.54728834096778e-06,0.000177189530642899,"group2-group1"
"METAP2","METAP2",1.58382065217391,8.84092028681762e-06,0.000181985985903999,"group2-group1"
"DARS1","DARS1",1.17298369565217,9.15680596748382e-06,0.000187170236664022,"group2-group1"
"UFD1","UFD1",3.30341723602485,9.24637766760302e-06,0.000187688624461136,"group2-group1"
"TBCC","TBCC",1.54778105590062,9.37998952955521e-06,0.000188872422276448,"group2-group1"
"CHMP1A","CHMP1A",2.02418680124224,9.43392872130052e-06,0.000188872422276448,"group2-group1"
"STXBP1","STXBP1",2.15538773291925,1.04172440442182e-05,0.000206176810380596,"group2-group1"
"AXIN1","AXIN1",1.12671723602484,1.04393321711694e-05,0.000206176810380596,"group2-group1"
"PCBP2","PCBP2",1.16642049689441,1.08808838211373e-05,0.000213455190665667,"group2-group1"
