"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"Q66K74","Q66K74",0.155558676517732,0.005899377943488,0.0395142432198652,"Control vs hc-like","MAP1S"
"P33316","P33316",-0.260223512280167,0.00594250777069243,0.0395142432198652,"Control vs hc-like","DUT"
"P00441","P00441",-0.375431537283362,0.0059468325500623,0.0395142432198652,"Control vs hc-like","SOD1"
"Q8N257","Q8N257",-0.500622056364566,0.00597087173129078,0.0395142432198652,"Control vs hc-like","H2BU1"
"O75037","O75037",-0.374361683933767,0.00598223150998483,0.0395142432198652,"Control vs hc-like","KIF21B"
"Q13435","Q13435",-0.191389338978734,0.00598630343554035,0.0395142432198652,"Control vs hc-like","SF3B2"
"P17812","P17812",-0.405756226632434,0.00617650937181885,0.0404362971340635,"Control vs hc-like","CTPS1"
"P61160","P61160",-0.180780942322563,0.00621089781382895,0.0404362971340635,"Control vs hc-like","ACTR2"
"P01112","P01112",0.236193326671362,0.00621145211069577,0.0404362971340635,"Control vs hc-like","HRAS"
"P23588","P23588",-0.35396404921817,0.00622663347284957,0.0404362971340635,"Control vs hc-like","EIF4B"
"P30626","P30626",-0.163564912673099,0.00624471294554239,0.0404362971340635,"Control vs hc-like","SRI"
"P84103","P84103",-0.233384479960765,0.00643755003593873,0.0415270746636502,"Control vs hc-like","SRSF3"
"Q9UKE5","Q9UKE5",-0.185262657108538,0.00664159207938939,0.0426816275894345,"Control vs hc-like","TNIK"
"P30085","P30085",-0.141573765165933,0.00674617373235226,0.0431907288202854,"Control vs hc-like","CMPK1"
