"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"P49257" "P49257" 18.7102151592469 3.77069930132867e-20 9.97881196318471e-20 "CB" "LMAN1"
"P00338" "P00338" 19.7459016402778 3.84376881822222e-20 1.00951089131784e-19 "CB" "LDHA"
"P06753" "P06753" 19.3495420063961 3.8567952632811e-20 1.00951089131784e-19 "CB" "TPM3"
"O14983" "O14983" 18.0965587515334 3.90225372926493e-20 1.01585844365103e-19 "CB" "ATP2A1"
"P25325" "P25325" 19.1058363255422 4.01054323014735e-20 1.03282269206483e-19 "CB" "MPST"
"P84243" "P84243" 21.3509658066407 4.11163777188546e-20 1.03656552249113e-19 "CB" "H3-3A"
"Q16695" "Q16695" 21.3509658066407 4.11163777188546e-20 1.03656552249113e-19 "CB" "H3-4"
"P68431" "P68431" 21.3509658066407 4.11163777188546e-20 1.03656552249113e-19 "CB" "H3C1"
"Q71DI3" "Q71DI3" 21.3509658066407 4.11163777188546e-20 1.03656552249113e-19 "CB" "H3C14"
"P00747" "P00747" 19.1159385722672 4.17534023652501e-20 1.04711412214423e-19 "CB" "PLG"
"P04114" "P04114" 20.7665804688727 4.23505235599636e-20 1.05655733256368e-19 "CB" "APOB"
"P16403" "P16403" 22.7336519330946 4.26699759869022e-20 1.05901132112571e-19 "CB" "H1-2"
"P16402" "P16402" 22.9194436499759 4.37579670483133e-20 1.07487519057139e-19 "CB" "H1-3"
"P10412" "P10412" 22.9194436499759 4.37579670483133e-20 1.07487519057139e-19 "CB" "H1-4"
"P05106" "P05106" 22.3707082432987 4.49768923374511e-20 1.09360058018473e-19 "CB" "ITGB3"
"P05109" "P05109" 18.9976556388544 4.53563053073755e-20 1.0967601417899e-19 "CB" "S100A8"
"P62241" "P62241" 18.1451777104848 4.55647741578683e-20 1.0967601417899e-19 "CB" "RPS8"
"P04004" "P04004" 21.478213842567 4.58654728093307e-20 1.09847807378347e-19 "CB" "VTN"
"Q7L7L0" "Q7L7L0" 21.1810687049727 4.7088574140215e-20 1.11660529768134e-19 "CB" "H2AW"
"P04908" "P04908" 21.1810687049727 4.7088574140215e-20 1.11660529768134e-19 "CB" "H2AC8"
"O14950" "O14950" 19.9202106715556 4.85804175508832e-20 1.12961262169287e-19 "CB" "MYL12A"
"P19105" "P19105" 19.9202106715556 4.85804175508832e-20 1.12961262169287e-19 "CB" "MYL12A"
"O43396" "O43396" 18.996818575104 4.9726129336089e-20 1.14617067544343e-19 "CB" "TXNL1"
"P10720" "P10720" 18.5166157790526 5.00103697636067e-20 1.14617067544343e-19 "CB" "PF4V1"
"P62805" "P62805" 22.5129338573186 5.16392307936513e-20 1.17336692556968e-19 "CB" "H4C9"
