"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"O00116","O00116",-0.0208743978262937,0.684817822504684,0.801193916787895,"Control vs hc-like","AGPS","yes"
"Q96MW5","Q96MW5",-0.0375301294049528,0.684961525247447,0.801193916787895,"Control vs hc-like","COG8",NA
"Q96NU0","Q96NU0",-0.051488564833555,0.685097577458704,0.801193916787895,"Control vs hc-like",NA,"yes"
"Q68D91","Q68D91",0.0259849970682318,0.685114411358029,0.801193916787895,"Control vs hc-like","MBLAC2","yes"
"P29120","P29120",0.0309614022500178,0.685356285082859,0.801325748810842,"Control vs hc-like","PCSK1","yes"
"P52907","P52907",-0.0255130506958707,0.68600140057686,0.801928916838624,"Control vs hc-like","CAPZA1","yes"
"O94991","O94991",-0.0417729454495586,0.686439842563908,0.802167462451183,"Control vs hc-like","SLITRK5",NA
"P04181","P04181",0.0332474623760852,0.686464017021077,0.802167462451183,"Control vs hc-like","OAT","yes"
"Q96CX2","Q96CX2",0.0394302694885944,0.686799283046085,0.802408124891914,"Control vs hc-like","KCTD12","yes"
"Q14344","Q14344",-0.0213357421014386,0.687249950288553,0.802783498030962,"Control vs hc-like","GNA13","yes"
"Q9Y3Q8","Q9Y3Q8",-0.0251225607990158,0.687575743034706,0.803012890180755,"Control vs hc-like","TSC22D4","yes"
"Q93096","Q93096",0.0184020814695103,0.687784395418056,0.803105414672382,"Control vs hc-like","PTP4A1","yes"
"Q13825","Q13825",0.0554141248259441,0.68808423782869,0.803160772623101,"Control vs hc-like","AUH","yes"
"Q9H0U4","Q9H0U4",0.02956482699798,0.688090679655827,0.803160772623101,"Control vs hc-like","RAB1B","yes"
"O95363","O95363",-0.0540778871110277,0.688541964046054,0.803528772636518,"Control vs hc-like","FARS2",NA
"O75394","O75394",0.0907191768824092,0.688793631882463,0.803528772636518,"Control vs hc-like","MRPL33",NA
"Q9NVH6","Q9NVH6",0.0315920667801137,0.688794446680683,0.803528772636518,"Control vs hc-like","TMLHE","yes"
"Q8N9A8","Q8N9A8",-0.0325395650282978,0.689152931803272,0.803795853729192,"Control vs hc-like","CNEP1R1",NA
"P06132","P06132",0.022657419390729,0.689359593756725,0.803877153968434,"Control vs hc-like","UROD","yes"
"Q16222","Q16222",-0.0278180374065364,0.689481742694602,0.803877153968434,"Control vs hc-like","UAP1",NA
"Q9Y4P3","Q9Y4P3",0.0228623754293444,0.68985639667815,0.804162867065174,"Control vs hc-like","TBL2",NA
"Q15124","Q15124",0.0782396378737644,0.690325812319121,0.804558915371928,"Control vs hc-like","PGM5",NA
"Q6AHZ1","Q6AHZ1",-0.119154524997436,0.690459328526146,0.804563405353002,"Control vs hc-like","ZNF518A",NA
"Q9BQ95","Q9BQ95",0.0335819910562662,0.690713920093285,0.804655062970584,"Control vs hc-like","ECSIT",NA
"Q9Y3B9","Q9Y3B9",-0.02846820505499,0.690797344148961,0.804655062970584,"Control vs hc-like","RRP15",NA
"Q6NTF9","Q6NTF9",-0.0191639282553844,0.691019719585073,0.804729767096752,"Control vs hc-like","RHBDD2","yes"
"P46781","P46781",0.0232891919763709,0.69112085880074,0.804729767096752,"Control vs hc-like","RPS9","yes"
"Q92597","Q92597",0.0424426736980763,0.692017820738688,0.805622997689223,"Control vs hc-like","NDRG1","yes"
"Q9Y3Q3","Q9Y3Q3",-0.0251258859839218,0.692177802342633,0.805658087326212,"Control vs hc-like","TMED3",NA
"O00562","O00562",-0.0278484881329142,0.692531021964038,0.805752782336808,"Control vs hc-like","PITPNM1","yes"
"Q9UNH7","Q9UNH7",-0.0289432548769106,0.692606240773205,0.805752782336808,"Control vs hc-like","SNX6","yes"
"Q96G74","Q96G74",-0.0457562573345065,0.692648725380264,0.805752782336808,"Control vs hc-like","OTUD5",NA
"O15212","O15212",-0.0216418954697168,0.693061138824567,0.805978409772328,"Control vs hc-like","PFDN6","yes"
"O00299","O00299",0.0204946102359145,0.693102464874318,0.805978409772328,"Control vs hc-like","CLIC1",NA
"Q16595","Q16595",-0.0213823264869681,0.693314591605214,0.806074019282434,"Control vs hc-like","FXN",NA
"P00403","P00403",0.0296494817592858,0.69385800299774,0.806554685013297,"Control vs hc-like","COX2","yes"
"Q9HCH3","Q9HCH3",0.0229186640871379,0.694335922283087,0.80695905558467,"Control vs hc-like","CPNE5","yes"
"Q8WVF1","Q8WVF1",0.0277656167627356,0.695011967848195,0.80759349447529,"Control vs hc-like","OSCP1",NA
"Q9NQT4","Q9NQT4",-0.0183459227417444,0.695282524817234,0.807614204721155,"Control vs hc-like","EXOSC5",NA
"Q9NX08","Q9NX08",-0.0452067673783318,0.695396751887692,0.807614204721155,"Control vs hc-like","COMMD8",NA
"Q02790","Q02790",0.0181023608031587,0.695420257183744,0.807614204721155,"Control vs hc-like","FKBP4","yes"
"P11310","P11310",0.0161497340845855,0.695657559617518,0.80773861478793,"Control vs hc-like","ACADM","yes"
"Q08AF3","Q08AF3",0.0338903659819891,0.695808076397809,0.80776222900812,"Control vs hc-like","SLFN5",NA
"Q969H8","Q969H8",0.0211678670592583,0.696382014727213,0.808171071860161,"Control vs hc-like","MYDGF","yes"
"Q9H8H3","Q9H8H3",-0.0567230082869692,0.696420744760077,0.808171071860161,"Control vs hc-like","METTL7A","yes"
"O75334","O75334",-0.0195382410515386,0.696811663918015,0.808184791101706,"Control vs hc-like","PPFIA2","yes"
"Q07157","Q07157",0.021932469414331,0.696896612656092,0.808184791101706,"Control vs hc-like","TJP1","yes"
"Q9BY77","Q9BY77",0.0165319523497232,0.696973601276545,0.808184791101706,"Control vs hc-like","POLDIP3",NA
"P07195","P07195",0.0230264091824566,0.696993614543531,0.808184791101706,"Control vs hc-like","LDHB","yes"
"Q96C19","Q96C19",0.0516443297953941,0.6972067964815,0.808184791101706,"Control vs hc-like","EFHD2","yes"
"P51178","P51178",-0.0176441825977385,0.697214051050352,0.808184791101706,"Control vs hc-like","PLCD1","yes"
"Q9NQW6","Q9NQW6",-0.123499558932636,0.698011216948728,0.808957714076738,"Control vs hc-like","ANLN","yes"
"Q9Y320","Q9Y320",0.0236983165276534,0.698299039431528,0.809093881271819,"Control vs hc-like","TMX2",NA
"Q02641","Q02641",-0.0257738119865714,0.698469399680961,0.809093881271819,"Control vs hc-like","CACNB1","yes"
"Q9BSF8","Q9BSF8",0.0686102440275889,0.69851989072895,0.809093881271819,"Control vs hc-like","BTBD10",NA
"Q9Y312","Q9Y312",0.0257684933380595,0.699870182552852,0.810506622385302,"Control vs hc-like","AAR2",NA
"Q9UBF2","Q9UBF2",0.0162968128413183,0.700734895923231,0.81135660182938,"Control vs hc-like","COPG2",NA
"Q96MY1","Q96MY1",0.0427237173438328,0.701736865038413,0.812201397177979,"Control vs hc-like","NOL4L",NA
"Q9H0H0","Q9H0H0",-0.0214326488323771,0.701920865923169,0.812201397177979,"Control vs hc-like","INTS2",NA
"Q8NGA1","Q8NGA1",0.0491806932687133,0.701946344244751,0.812201397177979,"Control vs hc-like","OR1M1",NA
"Q9UNP9","Q9UNP9",-0.0186662905726074,0.701988089132232,0.812201397177979,"Control vs hc-like","PPIE",NA
"P19086","P19086",0.0179730802786118,0.702388429514395,0.81251308820597,"Control vs hc-like","GNAZ","yes"
"P17655","P17655",-0.0227091058214484,0.703092368984952,0.81317579674774,"Control vs hc-like","CAPN2","yes"
"Q9UIA9","Q9UIA9",-0.0161544449675937,0.703551652283639,0.81338803583291,"Control vs hc-like","XPO7","yes"
"Q8NCB2","Q8NCB2",0.0305182977734937,0.703633147515517,0.81338803583291,"Control vs hc-like","CAMKV","yes"
"Q8NB78","Q8NB78",-0.034074234219414,0.703761053981655,0.81338803583291,"Control vs hc-like","KDM1B",NA
"Q86SE5","Q86SE5",0.0239220411320922,0.703800219885075,0.81338803583291,"Control vs hc-like","RALYL",NA
"Q96S90","Q96S90",0.0247429566259711,0.705192720895733,0.814845592766858,"Control vs hc-like","LYSMD1","yes"
"O95373","O95373",-0.01645061822137,0.70574101128509,0.815319047165359,"Control vs hc-like","IPO7","yes"
"Q9GZN8","Q9GZN8",0.0189616154785277,0.705865257271927,0.815319047165359,"Control vs hc-like","C20orf27",NA
"P48058","P48058",0.0210289706874676,0.706163375262824,0.815511584497641,"Control vs hc-like","GRIA4","yes"
"Q4VC05","Q4VC05",0.0255277883575751,0.706627979358771,0.815896280595678,"Control vs hc-like","BCL7A",NA
"Q9UPT6","Q9UPT6",-0.0164959896249179,0.706797893474519,0.815940637955236,"Control vs hc-like","MAPK8IP3","yes"
"Q8NHM5","Q8NHM5",-0.0914661145749278,0.708141010752175,0.817339094441452,"Control vs hc-like","KDM2B",NA
"Q6IPU0","Q6IPU0",-0.0494701904360078,0.709029742810681,0.818212675123726,"Control vs hc-like","CENPP",NA
"Q9C0H5","Q9C0H5",0.0293318333158687,0.709991920311436,0.819170670422548,"Control vs hc-like","ARHGAP39","yes"
"Q9H3U1","Q9H3U1",-0.0226133060390588,0.710251029566993,0.819317278018812,"Control vs hc-like","UNC45A",NA
"Q9NXH9","Q9NXH9",0.0369579552123582,0.710409248811268,0.819347470050914,"Control vs hc-like","TRMT1",NA
"Q8TAT6","Q8TAT6",-0.0163173001396117,0.71065495657686,0.819364983575802,"Control vs hc-like","NPLOC4",NA
"Q9UPN7","Q9UPN7",0.029004930761598,0.710688532087827,0.819364983575802,"Control vs hc-like","PPP6R1",NA
"Q9BYG3","Q9BYG3",0.0263659501240454,0.710895621107978,0.81945148225432,"Control vs hc-like","NIFK",NA
"O00244","O00244",-0.0219655250715682,0.711443897066838,0.819931162945715,"Control vs hc-like","ATOX1","yes"
"Q4G0J3","Q4G0J3",0.0189412491717214,0.711756950073502,0.820139623993701,"Control vs hc-like","LARP7",NA
"O00451","O00451",-0.0311815272423921,0.712581451812229,0.820937227719065,"Control vs hc-like","GFRA2",NA
"Q9Y580","Q9Y580",0.0350038823441423,0.713227279165034,0.821333223715725,"Control vs hc-like","RBM7",NA
"Q9BVG4","Q9BVG4",0.0161100267054941,0.713423269935931,0.821333223715725,"Control vs hc-like","PBDC1",NA
"P09382","P09382",0.0844058065181308,0.713481041336627,0.821333223715725,"Control vs hc-like","LGALS1","yes"
"P07108","P07108",0.147890578254767,0.713574211930257,0.821333223715725,"Control vs hc-like","DBI","yes"
