"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"P51531","P51531",-0.194902393480046,0.0352093857329342,0.138713802204988,"Control vs at-risk","SMARCA2",NA
"Q8TEA7","Q8TEA7",-0.124405356887298,0.0354023104469765,0.139385365687493,"Control vs at-risk","TBCK",NA
"Q14416","Q14416",-0.184251922729771,0.0354623572479348,0.139414911022749,"Control vs at-risk","GRM2","yes"
"Q99988","Q99988",-0.531458095245462,0.0354738462926087,0.139414911022749,"Control vs at-risk","GDF15",NA
"Q8N357","Q8N357",-0.260029240086556,0.035477219098295,0.139414911022749,"Control vs at-risk","SLC35F6",NA
"O60890","O60890",-0.172547707242543,0.0355391171329125,0.139569760639065,"Control vs at-risk","OPHN1",NA
"O95470","O95470",-0.116985870440477,0.0355997372060196,0.139719398711797,"Control vs at-risk","SGPL1",NA
"Q7L099","Q7L099",-0.146438439407312,0.0356363308208854,0.139774609825281,"Control vs at-risk","RUFY3","yes"
"P54727","P54727",0.319059634065074,0.0356716255717763,0.139824659932326,"Control vs at-risk","RAD23B","yes"
"Q6NW29","Q6NW29",-0.18811673284241,0.0357117922779681,0.13989373174545,"Control vs at-risk","RWDD4",NA
"O00231","O00231",-0.102072279383403,0.0358701681314823,0.140425484704005,"Control vs at-risk","PSMD11","yes"
"P0C0S5","P0C0S5",-0.193155221456248,0.0359263249418246,0.140473607529725,"Control vs at-risk","H2AZ1",NA
"Q5T280","Q5T280",-0.222132402439378,0.0359277381385453,0.140473607529725,"Control vs at-risk","SPOUT1",NA
"Q13541","Q13541",0.209554758648533,0.0359724840020547,0.140559989441278,"Control vs at-risk","EIF4EBP1",NA
"O75674","O75674",-0.267668362645018,0.0360046697090895,0.140597215572625,"Control vs at-risk","TOM1L1",NA
"Q12888","Q12888",-0.111470040892939,0.0361477647210595,0.141067220185015,"Control vs at-risk","TP53BP1",NA
"P51809","P51809",0.21990385516288,0.0363985448695526,0.141909495187304,"Control vs at-risk","VAMP7",NA
"P49406","P49406",-0.110774367557941,0.0364093338175967,0.141909495187304,"Control vs at-risk","MRPL19",NA
"O60678","O60678",0.244447025826183,0.0364717166385404,0.14206340347906,"Control vs at-risk","PRMT3",NA
"Q5T1M5","Q5T1M5",-0.119743219624503,0.0365341444815705,0.14221729391979,"Control vs at-risk","FKBP15","yes"
"Q6ZVM7","Q6ZVM7",-0.140638464763651,0.0365745685348403,0.142285390444316,"Control vs at-risk","TOM1L2","yes"
"O75164","O75164",-0.153918498642987,0.0366116934312963,0.14234057502581,"Control vs at-risk","KDM4A",NA
"Q9P0T7","Q9P0T7",-0.206203875225302,0.0366584532778788,0.142433126229955,"Control vs at-risk","TMEM9",NA
"Q15435","Q15435",-0.103640564968753,0.0367237762554491,0.142597641842967,"Control vs at-risk","PPP1R7","yes"
"Q13435","Q13435",-0.129419456032945,0.0369172830717927,0.143239571790069,"Control vs at-risk","SF3B2",NA
"Q6BDI9","Q6BDI9",0.272154388893309,0.0369352642810814,0.143239571790069,"Control vs at-risk","REP15",NA
"O95425","O95425",0.215713667948314,0.0370415964555518,0.143562214869893,"Control vs at-risk","SVIL",NA
"Q8NAF0","Q8NAF0",-0.1675001123809,0.0370738960140955,0.143597705847355,"Control vs at-risk","ZNF579",NA
"Q15293","Q15293",-0.211582702143772,0.0372080287126869,0.143966292086355,"Control vs at-risk","RCN1","yes"
"Q9UBV2","Q9UBV2",-0.138274347429668,0.0372154605167628,0.143966292086355,"Control vs at-risk","SEL1L",NA
"Q8TEB1","Q8TEB1",0.153451380462226,0.0372844097620097,0.144143154251259,"Control vs at-risk","DCAF11",NA
