"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"DAG1","DAG1",0.442760681818183,8.30364392455236e-16,1.08841036733034e-14,"group2-group1"
"SEC31A","SEC31A",0.835592857142858,9.16600527770288e-16,1.19608184940739e-14,"group2-group1"
"CC2D1A","CC2D1A",0.761089383116885,9.69791855460221e-16,1.25986737489343e-14,"group2-group1"
"USO1","USO1",1.58003353896104,1.04467350650607e-15,1.35114188474214e-14,"group2-group1"
"MTSS1","MTSS1",1.2529412987013,1.14569435730088e-15,1.47527075171387e-14,"group2-group1"
"TNFAIP8L2","TNFAIP8L2",0.878003506493507,1.37523641959648e-15,1.76307721687742e-14,"group2-group1"
"DARS1","DARS1",0.855150811688312,1.45225792336569e-15,1.85368991702966e-14,"group2-group1"
"DNM1","DNM1",1.56008613636364,1.701864030553e-15,2.16284720056801e-14,"group2-group1"
"CHMP6","CHMP6",0.577580129870131,1.87707573128767e-15,2.37519149894107e-14,"group2-group1"
"NUDT2","NUDT2",0.994011233766235,1.95376287368477e-15,2.46157279300887e-14,"group2-group1"
"GMPR","GMPR",0.80531350649351,2.06478747429449e-15,2.59028917912566e-14,"group2-group1"
"TXLNA","TXLNA",0.764348084415585,2.50584431340125e-15,3.12811904220978e-14,"group2-group1"
"PDCD5","PDCD5",0.778351168831171,2.51682847536538e-15,3.12811904220978e-14,"group2-group1"
"GGACT","GGACT",0.756907207792209,2.52561099542083e-15,3.12811904220978e-14,"group2-group1"
"QDPR","QDPR",0.673389220779222,2.66573656767366e-15,3.28774176679751e-14,"group2-group1"
"SERPINE1","SERPINE1",1.38978477272727,2.71950469025326e-15,3.33996311328164e-14,"group2-group1"
"TARS1","TARS1",0.54493090909091,2.85536127723607e-15,3.49214268341466e-14,"group2-group1"
"HNRNPK","HNRNPK",1.1854900974026,2.89702314367236e-15,3.52375491615302e-14,"group2-group1"
"SYAP1","SYAP1",0.652982727272728,2.90531965375599e-15,3.52375491615302e-14,"group2-group1"
"METAP1D","METAP1D",1.07396266233766,2.91973296834907e-15,3.5266030853241e-14,"group2-group1"
"HBEGF","HBEGF",0.688647305194804,3.00240161593746e-15,3.61153083266881e-14,"group2-group1"
"FLI1","FLI1",1.02152594155844,3.22790197814619e-15,3.86686782054152e-14,"group2-group1"
"HSBP1","HSBP1",1.04321808441558,3.38135493981278e-15,4.03416346492766e-14,"group2-group1"
"DRG2","DRG2",0.58062827922078,3.67734419312145e-15,4.36946222621707e-14,"group2-group1"
"ABL1","ABL1",0.703524415584417,4.11640235534637e-15,4.87135388043621e-14,"group2-group1"
"ARHGAP1","ARHGAP1",0.675166461038961,4.23851393096874e-15,4.99563557267001e-14,"group2-group1"
"SPART","SPART",0.68439198051948,4.34611756979925e-15,5.10188821547116e-14,"group2-group1"
"LAT2","LAT2",0.801062272727273,5.44509718727755e-15,6.36640763136491e-14,"group2-group1"
"ELAC1","ELAC1",1.2593950974026,6.16919130957575e-15,7.184281353741e-14,"group2-group1"
"CNPY4","CNPY4",0.727686266233766,6.21298145091678e-15,7.20656538929752e-14,"group2-group1"
"MED18","MED18",0.718614902597403,6.26532258066246e-15,7.23855253093927e-14,"group2-group1"
"PPP2R5A","PPP2R5A",1.48145431818182,7.44767885946698e-15,8.57069500244959e-14,"group2-group1"
"STAMBP","STAMBP",0.630917435064937,7.83527174949767e-15,8.98137228383596e-14,"group2-group1"
"ACYP1","ACYP1",0.855452045454547,8.20505905423175e-15,9.36851078731226e-14,"group2-group1"
"TMSB10","TMSB10",0.825324318181819,8.4637801743142e-15,9.62631496090288e-14,"group2-group1"
"MAX","MAX",1.45201392857143,8.75855305787608e-15,9.92296534425263e-14,"group2-group1"
"SDC4","SDC4",1.0324550974026,9.02209134254574e-15,1.01820745151588e-13,"group2-group1"
"ANXA4","ANXA4",0.764153863636364,1.08287220773855e-14,1.21739825508453e-13,"group2-group1"
"SOD1","SOD1",0.69030074675325,1.19345607682596e-14,1.33657935347214e-13,"group2-group1"
"UROD","UROD",0.835411038961041,1.27180313503361e-14,1.41888571133711e-13,"group2-group1"
"PGD","PGD",0.679456363636364,1.45717759386759e-14,1.61951715090302e-13,"group2-group1"
"SPARC","SPARC",0.963720064935065,1.47174167570951e-14,1.62950792352231e-13,"group2-group1"
"FIS1","FIS1",0.997996201298704,1.76949623309796e-14,1.95178773182843e-13,"group2-group1"
"MAP2K6","MAP2K6",0.853117922077923,2.21080233168547e-14,2.42938917876565e-13,"group2-group1"
"F11R","F11R",0.435759805194806,2.26132787123834e-14,2.47560350847554e-13,"group2-group1"
"PRTFDC1","PRTFDC1",1.75942097402597,2.32916178790589e-14,2.54035071121228e-13,"group2-group1"
"STXBP1","STXBP1",1.22052324675325,2.57470320702332e-14,2.79771653313352e-13,"group2-group1"
"DFFA","DFFA",0.684276818181819,2.98775346245769e-14,3.23451976694957e-13,"group2-group1"
"NFE2","NFE2",0.665535454545455,3.17330984322561e-14,3.42272497112489e-13,"group2-group1"
