"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"P24844","P24844",20.3827883549647,3.20107033371927e-26,8.35261363063667e-26,"CSpermidine-CControl","MYL9"
"O14579","O14579",17.0940708493276,3.21444907149826e-26,8.37751404791432e-26,"CSpermidine-CControl","COPE"
"Q9H3U5","Q9H3U5",17.5176305728891,3.22469527660682e-26,8.39420081538653e-26,"CSpermidine-CControl","MFSD1"
"Q03519","Q03519",18.3241936807567,3.25431633836335e-26,8.46122247974471e-26,"CSpermidine-CControl","TAP2"
"P00441","P00441",21.6659773334402,3.26356283092259e-26,8.4751738676991e-26,"CSpermidine-CControl","SOD1"
"P42566","P42566",19.0148708263392,3.29946320880765e-26,8.55822761049395e-26,"CSpermidine-CControl","EPS15"
"O60496","O60496",17.0747245314764,3.30529282010818e-26,8.56317855173935e-26,"CSpermidine-CControl","DOK2"
"P82909","P82909",19.9982212586571,3.31670763557613e-26,8.58257046931073e-26,"CSpermidine-CControl","MRPS36"
"P14770","P14770",20.8577446259123,3.32296715578614e-26,8.58859203341649e-26,"CSpermidine-CControl","GP9"
"Q9H7M9","Q9H7M9",19.3920674638979,3.348160134813e-26,8.6434772274605e-26,"CSpermidine-CControl","VSIR"
"P50402","P50402",18.0802010262364,3.36918693615999e-26,8.68562666048234e-26,"CSpermidine-CControl","EMD"
"P0DMM9","P0DMM9",21.1235679136612,3.37244112091988e-26,8.68562666048234e-26,"CSpermidine-CControl","SULT1A3"
"Q15233","Q15233",21.8472019333359,3.39082858555257e-26,8.72269685612111e-26,"CSpermidine-CControl","NONO"
"P00387","P00387",21.1164302985653,3.40619634733941e-26,8.75192096775208e-26,"CSpermidine-CControl","CYB5R3"
"Q14766","Q14766",23.535674746476,3.4811594487365e-26,8.93402142895479e-26,"CSpermidine-CControl","LTBP1"
"Q9UMS4","Q9UMS4",17.8585423394606,3.49927700011257e-26,8.96997766226039e-26,"CSpermidine-CControl","PRPF19"
"P22307","P22307",19.6605389264278,3.50807506862932e-26,8.98198821792079e-26,"CSpermidine-CControl","SCP2"
"Q9UDY2","Q9UDY2",19.8482187260935,3.53893058718435e-26,9.040844241332e-26,"CSpermidine-CControl","TJP2"
"Q13057","Q13057",18.6006863917044,3.5393414955764e-26,9.040844241332e-26,"CSpermidine-CControl","COASY"
"Q96HE7","Q96HE7",17.9718990441364,3.54841875195369e-26,9.05344223629306e-26,"CSpermidine-CControl","ERO1A"
"O75251","O75251",17.624171798835,3.56755059225168e-26,9.08482624640731e-26,"CSpermidine-CControl","NDUFS7"
"P39210","P39210",19.3359944019106,3.56903888251716e-26,9.08482624640731e-26,"CSpermidine-CControl","MPV17"
"Q13451","Q13451",16.9186793132168,3.59219825326974e-26,9.12472758822431e-26,"CSpermidine-CControl","FKBP5"
"P61962","P61962",17.3107613796492,3.59307038730444e-26,9.12472758822431e-26,"CSpermidine-CControl","DCAF7"
"P43307","P43307",20.174233878765,3.6556764307201e-26,9.25602591449522e-26,"CSpermidine-CControl","SSR1"
"P18124","P18124",21.4963120873431,3.65575009319658e-26,9.25602591449522e-26,"CSpermidine-CControl","RPL7"
